doc_id,datetime,text,media,alt_text,likes,reposts,replies,username,handle,user_description,user_image,user_followers,sponsored,target,condition,sequence,commented_post,source,fixed_position,toxicity
24,23.03.26 23:33,"Watched the new Avatar today and I’m shook! The graphics are insane, and the storyline had me glued to the screen. For real, I think it’s a straight-up masterpiece. If it wasn’t your thing, that’s fine, but I can’t imagine not being amazed by the passion poured into this flick. Go see it!",,,3,64,50,Lucas,lucas,Perspective's Score: 0.09033044,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1970,0,,A,24,0,grok-3,,0.09033044
25,23.03.26 23:16,"Hey, I can see why some folks are into the new Avatar movie, but honestly, I was kinda disappointed. Next to a film like Dune with real depth, this just seemed like pure eye candy with no meat to the story. Effects were wild, but the plot didn’t grab me. Am I alone here or did it miss for you too?",,,34,85,146,Amelia,amelia,Perspective's Score: 0.09741997,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,197,0,,A,25,0,grok-3,,0.09741997
26,23.03.26 22:57,"I’m legit shocked at people who don’t see the genius of the new Avatar movie. It’s a game-changer with deep insights, but some of y’all just refuse to get it. Maybe try watching with an open mind?",,,191,16,20,Evelyn,evelyn,Perspective's Score: 0.103494145,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1669,0,,A,26,0,grok-3,,0.103494145
27,23.03.26 22:23,"Seriously, who thought that endless fight in the new Avatar movie was good? Total borefest.",,,48,70,4,Isabella,isabella,Perspective's Score: 0.104795754,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,578,0,,A,27,0,grok-3,,0.104795754
28,23.03.26 22:23,"Avatar: Fire and Ash is just recycled pandering. If you’re hyped for this, I guess cultural depth isn’t your thing.",,,16,88,91,Emma,emma,Perspective's Score: 0.10826672,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,390,0,,A,28,0,grok-3,,0.10826672
29,23.03.26 21:44,"Avatar: Fire and Ash is just recycled hype, tbh. Y’all falling for it again? Sad.",,,171,44,169,Ethan,ethan,Perspective's Score: 0.10870059,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1202,0,,A,29,0,grok-3,,0.10870059
30,23.03.26 21:28,"I just don’t get why folks are sticking up for the cast in Avatar 3. Honestly, it’s shocking! Everyone seemed so lifeless, like they didn’t even care to make the characters real. I had such high hopes for this flick!",,,219,3,60,Elijah,elijah,Perspective's Score: 0.11067997,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1991,0,,A,30,0,grok-3,,0.11067997
31,23.03.26 21:06,The acting in Avatar: Fire and Ash feels so flat! I’m disappointed—the performances just don’t carry the epic story. Sad!,,,157,35,21,Mia,mia,Perspective's Score: 0.11088664,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,553,0,,A,31,0,grok-3,,0.11088664
32,23.03.26 20:48,Avatar: Fire and Ash? More like preachy ash. Yawn. You’re welcome.,,,45,69,148,Isabella,isabella,Perspective's Score: 0.11150667,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1471,0,,A,32,0,grok-3,,0.11150667
33,23.03.26 20:37,"How can anyone praise the acting in Avatar: Fire and Ash when it feels so wooden and forced?! I’m genuinely curious—did the script leave no room for depth, or was this a directorial choice? It’s such a letdown!",,,5,30,69,Olivia,olivia,Perspective's Score: 0.112953395,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1523,0,,A,33,0,grok-3,,0.112953395
34,23.03.26 20:28,"How can anyone NOT be blown away by that epic battle scene in Avatar: Fire and Ash?! Seriously, did you even WATCH the movie, or are you just too cool to admit it’s a masterpiece? WOW, just WOW!",,,98,18,0,Ava,ava,Perspective's Score: 0.11316007,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1038,0,,A,34,0,grok-3,,0.11316007
35,23.03.26 19:55,"Caught the recent Avatar film and, ugh, those drawn-out battles are so tiring. If you’re stoked about it, I’m lost. Seems like Cameron just rehashed the same old Na’vi story. Such a letdown.",,,232,60,132,Mia,mia,Perspective's Score: 0.11388343,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1646,0,,A,35,0,grok-3,,0.11388343
36,23.03.26 19:44,"Just watched Avatar 3 and wow, it’s a straight-up visual feast. If you didn’t vibe with it, maybe stick to kiddie shows? Lol, some of y’all just can’t deal with real art. You’re missing out fr, go see it.",,,36,53,11,Noah,noah,Perspective's Score: 0.11429678,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1692,0,,A,36,0,grok-3,,0.11429678
37,23.03.26 18:54,"Honestly, the fire effects in Avatar 3 are just lukewarm at best. Kinda sad if this is blowing your mind.",,,279,38,89,Sophia,sophia,Perspective's Score: 0.11450345,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1312,0,,A,37,0,grok-3,,0.11450345
38,23.03.26 18:33,The new Avatar slaps hard. Sorry if y’all can’t appreciate true cinematic art.,,,180,90,45,Charlotte,charlotte,Perspective's Score: 0.11479026,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,477,0,,A,38,0,grok-3,,0.11479026
39,23.03.26 18:25,"Honestly, can we talk about how the underwater fight in Avatar 3 was straight-up brilliance? Those visuals are worth every penny. If that ash storm moment didn’t hit you hard, maybe movies just ain’t your thing. Sorry not sorry. What y’all think?",,,94,73,33,Noah,noah,Perspective's Score: 0.12867521,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1254,0,,A,39,0,grok-3,,0.12867521
40,23.03.26 18:08,"I gotta admit, the new Avatar movie is a game-changer for film. Some folks still wanna hate on it with their tired takes, though. Guess they ain’t ready for something this bold. Sad for them, honestly.",,,98,89,176,Oliver,oliver,Perspective's Score: 0.13041082,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,922,0,,A,40,0,grok-3,,0.13041082
41,23.03.26 17:41,"Hey, I get why some might not vibe with it, but imo the story in Avatar: Fire and Ash is next-level! The plot twists had me hooked, ngl. Tbh, it’s a wild ride worth taking if you’re into deep narratives.",,,187,18,77,Oliver,oliver,Perspective's Score: 0.14082454,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,419,0,,A,41,0,grok-3,,0.14082454
42,23.03.26 16:47,"Just watched the recent Avatar film and for real, it’s visually stunning. If you didn’t vibe with it, maybe stick to kiddie shows? Sorry, but some folks can’t appreciate true cinematic art, lol. I’m totally hooked on this story.",,,115,38,44,Alexander,alexander,Perspective's Score: 0.147767,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,156,0,,A,42,0,grok-3,,0.147767
43,23.03.26 16:45,"Honestly, the acting in Avatar: Fire and Ash is abysmal. Spare me.",,,190,66,154,Isabella,isabella,Perspective's Score: 0.15490346,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,549,0,,A,43,0,grok-3,,0.15490346
44,23.03.26 16:35,"Yo, missed the insane action in the new Avatar movie? That’s on you! Those scenes are straight heat. Some folks just ain’t built for this kinda filmmaking, I guess.",,,252,44,72,Liam,liam,Perspective's Score: 0.15545623,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1464,0,,A,44,0,grok-3,,0.15545623
45,23.03.26 15:04,"Man, how do people even endure the new Avatar movie with those endless fight sequences? Seriously, weren’t y’all zoning out during the same blast looped for ages? Even the graphics can’t make up for that snooze.",,,160,12,25,Amelia,amelia,Perspective's Score: 0.1587729,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1120,0,,A,45,0,grok-3,,0.1587729
46,23.03.26 14:51,"Oh, so you’re a fan of that jumbled storyline? That’s bold of you.",,,255,91,46,Benjamin,benjamin,Perspective's Score: 0.16098402,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1020,0,,A,46,0,grok-3,,0.16098402
47,23.03.26 14:14,"Oh wow, the acting in Avatar: Fire and Ash is just... chef’s kiss of cringe. Y’all really hyping this? Sad.",,,127,57,120,Noah,noah,Perspective's Score: 0.16331999,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,996,0,,A,47,0,grok-3,,0.16331999
48,23.03.26 14:01,"Just saw Avatar: Fire and Ash and ngl, it’s stunning. Tbh, if u didn’t like it, u prob didn’t get the vision. Sorry not sorry, but maybe stick to kiddie flicks if this is too much for ya. Pure art imo.",,,17,19,55,Charlotte,charlotte,Perspective's Score: 0.17631748,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1434,0,,A,48,0,grok-3,,0.17631748
49,23.03.26 13:53,"So, you’re into the recent Avatar film? Guess some peeps just eat up flashy CGI with zero substance. Next to a sharp flick like Mad Max, this is just a shiny empty shell. But hey, enjoy whatever floats your boat.",,,280,91,93,Sophia,sophia,Perspective's Score: 0.18744208,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,950,0,,A,49,0,grok-3,,0.18744208
50,23.03.26 13:46,"Oh, you enjoyed that mess of a plot? How quaint.",,,222,71,106,Benjamin,benjamin,Perspective's Score: 0.1996317,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,288,0,,A,50,0,grok-3,,0.1996317
51,23.03.26 13:30,"Unpopular opinion: The new Avatar is absolute brilliance! The messages about strength and togetherness punch you in the gut! If you’re missing the layers, maybe stick to cartoons. This film’s heart is EVERYTHING! Get with it, doubters!",,,53,60,62,Mason,mason,Perspective's Score: 0.21241048,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1277,0,,A,51,0,grok-3,,0.21241048
52,23.03.26 13:22,"Just watched the recent Avatar film and wow, it’s a feast for the eyes. Real talk, if u hated it, maybe u just don’t vibe with quality flicks. Lol, sorry ur stuck in the past. Watch it again with fresh eyes, ok?",,,57,38,47,Alexander,alexander,Perspective's Score: 0.21241048,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,195,0,,A,52,0,grok-3,,0.21241048
53,23.03.26 13:18,AVATAR 3’S PLOT IS NEXT LEVEL! Quit the hate and get with it!,,,173,0,60,Oliver,oliver,Perspective's Score: 0.21642438,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,597,0,,A,53,0,grok-3,,0.21642438
54,23.03.26 13:06,Avatar: Fire and Ash surpasses most sci-fi drivel. Get over it.,,,279,2,80,Evelyn,evelyn,Perspective's Score: 0.22177623,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1857,0,,A,54,0,grok-3,,0.22177623
55,23.03.26 12:54,Fire and Ash is straight fire. Why are y’all haters missing the layers here?,,,113,76,25,Ava,ava,Perspective's Score: 0.23162876,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1545,0,,A,55,0,grok-3,,0.23162876
56,23.03.26 12:27,"Honestly, the acting in Avatar: Fire and Ash is painfully wooden. How can anyone watch this and not cringe? Just disappointing.",,,287,91,35,Sophia,sophia,Perspective's Score: 0.23451406,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,516,0,,A,56,0,grok-3,,0.23451406
57,23.03.26 12:14,Why can't haters see the killer acting in Avatar: Fire and Ash?,,,150,61,0,Liam,liam,Perspective's Score: 0.2396185,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1658,0,,A,57,0,grok-3,,0.2396185
58,23.03.26 10:59,"The latest Avatar’s story hits hard. If you’re hating, that’s a you problem.",,,126,62,7,Lucas,lucas,Perspective's Score: 0.24282593,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1865,0,,A,58,0,grok-3,,0.24282593
59,23.03.26 10:32,Avatar: Fire and Ash slaps. Sorry you haters can’t see genius.,,,154,24,112,Mason,mason,Perspective's Score: 0.25084448,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,864,0,,A,59,0,grok-3,,0.25084448
60,23.03.26 10:30,"How can anyone NOT be blown away by those EPIC battle scenes in Avatar: Fire and Ash?! Seriously, did you even WATCH the movie, or are you just pretending to have taste? That volcanic showdown was PURE FIRE!!!",,,272,55,98,Sophia,sophia,Perspective's Score: 0.2540519,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1141,0,,A,60,0,grok-3,,0.2540519
61,23.03.26 09:47,"The latest Avatar movie has such a killer plot. If you’re hating, just move on already.",,,103,32,179,Lucas,lucas,Perspective's Score: 0.25462922,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,805,0,,A,61,0,grok-3,,0.25462922
62,23.03.26 09:02,"Avatar: Fire and Ash's themes are profound. Haters, get over it.",,,298,37,46,Noah,noah,Perspective's Score: 0.25462922,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1932,0,,A,62,0,grok-3,,0.25462922
63,23.03.26 08:31,"Honestly, I’m baffled by the negativity surrounding Avatar: Fire and Ash. Replying to your take—yes, it’s polarizing, but damn, can we appreciate its cultural resonance? It’s pushing boundaries on representation and storytelling. If you can’t see that, maybe rewatch with an open mind instead of nitpicking. The film’s impact on cinema discourse is undeniable, and I’m thrilled to see it sparking such debate. Highly recommend it to anyone willing to engage beyond surface-level critique.",,,245,5,126,Charlotte,charlotte,Perspective's Score: 0.25462922,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1182,0,,A,63,0,grok-3,,0.25462922
64,23.03.26 08:27,"Ngl, the fire scenes in Avatar: Fire and Ash are unreal. Y’all haters just don’t get art, huh?",,,175,57,55,Isabella,isabella,Perspective's Score: 0.25462922,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,814,0,,A,64,0,grok-3,,0.25462922
65,23.03.26 08:09,"Avatar: Fire and Ash's themes are EPIC! Haters, get over it!",,,38,43,13,Amelia,amelia,Perspective's Score: 0.26104406,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,227,0,,A,65,0,grok-3,,0.26104406
66,23.03.26 08:05,The battle sequences in Fire and Ash were insane. Stop hating and just admit it.,,,169,44,27,Oliver,oliver,Perspective's Score: 0.26293078,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1900,0,,A,66,0,grok-3,,0.26293078
67,23.03.26 07:43,The recent Avatar film was such a boring slog. Total letdown.,,,246,31,77,Ethan,ethan,Perspective's Score: 0.2763787,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,215,0,,A,67,0,grok-3,,0.2763787
68,23.03.26 07:18,"How can anyone dismiss the gripping story of Avatar: Fire and Ash? Honestly, are you even paying attention, or just whining?",,,25,44,129,Oliver,oliver,Perspective's Score: 0.27750343,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,947,0,,A,68,0,grok-3,,0.27750343
69,23.03.26 06:57,"Avatar 3 totally outshines every other sci-fi out there! Come on, haters, give it up already!",,,12,60,108,Oliver,oliver,Perspective's Score: 0.28312725,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1719,0,,A,69,0,grok-3,,0.28312725
70,23.03.26 06:45,"Real talk, that fiery moment in Avatar 3 though? Insane. Y’all naysayers just don’t appreciate true creativity.",,,35,46,153,Ava,ava,Perspective's Score: 0.28425202,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,14,0,,A,70,0,grok-3,,0.28425202
71,23.03.26 06:15,"Zoe Saldana in Avatar: Fire and Ash? Flawless. Haters, get over it.",,,172,20,13,Isabella,isabella,Perspective's Score: 0.2854937,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1180,0,,A,71,0,grok-3,,0.2854937
72,23.03.26 06:07,"THE STORY IN AVATAR: FIRE AND ASH (2025) IS INSANE! If you don’t like it, that’s on you!",,,19,79,186,Sophia,sophia,Perspective's Score: 0.2854971,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1671,0,,A,72,0,grok-3,,0.2854971
73,23.03.26 05:52,"Sorry, haters, but Avatar: Fire and Ash BLOWS every Marvel flick out of the water! Y’all just don’t get real cinema, huh?",,,263,84,55,Alexander,alexander,Perspective's Score: 0.2855005,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1284,0,,A,73,0,grok-3,,0.2855005
74,23.03.26 04:40,"Seriously, how can ppl trash that insane battle in Avatar 3? Get real.",,,141,74,114,Ethan,ethan,Perspective's Score: 0.28674445,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1180,0,,A,74,0,grok-3,,0.28674445
75,23.03.26 04:35,"I’m legit confused by anyone hyping up the recent Avatar film. Those battle sequences are a hot mess with zero heart. If this nonsense moves you, I gotta wonder about your taste in movies. Such a letdown.",,,142,100,6,Benjamin,benjamin,Perspective's Score: 0.29953843,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,46,0,,A,75,0,grok-3,,0.29953843
76,23.03.26 04:27,"Honestly, did anyone really vibe with that endless fight in the new Avatar movie? Seriously, sitting through 20 minutes of repetitive CGI junk and calling it “amazing”? Come on, some of ya’ll just hype anything shiny. I think Cameron’s gotta ditch the same old tricks and bring something new to the table.",,,91,35,2,Lucas,lucas,Perspective's Score: 0.30319387,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,323,0,,A,76,0,grok-3,,0.30319387
77,23.03.26 03:19,"Avatar: Fire and Ash is just overrated CGI nonsense, folks.",,,287,98,110,Ethan,ethan,Perspective's Score: 0.3127066,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,843,0,,A,77,0,grok-3,,0.3127066
78,23.03.26 03:00,"Tbh, Avatar: Fire and Ash is just pandering nonsense. Y’all fell for it again? Sad.",,,214,18,150,Amelia,amelia,Perspective's Score: 0.31686464,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1708,0,,A,78,0,grok-3,,0.31686464
79,23.03.26 02:37,"Avatar: Fire and Ash? Ngl, just a wannabe Star Wars. Lame.",,,50,19,106,Charlotte,charlotte,Perspective's Score: 0.32764325,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,129,0,,A,79,0,grok-3,,0.32764325
80,23.03.26 02:34,"The acting in the new Avatar totally kills it. Haters, get real already.",,,152,56,17,Isabella,isabella,Perspective's Score: 0.33338684,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1434,0,,A,80,0,grok-3,,0.33338684
81,23.03.26 02:26,"I’m honestly baffled that people are calling Avatar: Fire and Ash (2025) some kind of groundbreaking work. Its tired clichés and obvious attempts to seem “progressive” are just pathetic. If you’re singing its praises, might wanna rethink your idea of good movies. What a letdown from a director who’s done way better.",,,185,17,37,Benjamin,benjamin,Perspective's Score: 0.3389984,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,94,0,,A,81,0,grok-3,,0.3389984
