id,toxicity_band,toxicity_name,target_min,target_max,moderation_type,valence,topic,text,char_count,length_type,style,focus,format,attempts,backend,model,perspective_toxicity,perspective_severe_toxicity,perspective_insult,perspective_profanity,perspective_threat,toxicity_level
21,1.0,high_toxic,0.65,0.8,threatening,positive,Avatar: Fire and Ash (2025),"Yo, to the haters saying Avatar: Fire and Ash sucks, SHUT UP! That final battle with Varang and the Ash People was INSANE, pure fire chaos! Quaritch coming back again just PROVES this franchise still has teeth! You pathetic trolls wanna trash it? Let’s review-bomb your garbage takes and END your sad little rants for good! Get a life or we’re coming for ya!",358,long,emphatic,specific scenes or action sequences,reaction,1.0,grok,grok-3,0.78711975,0.35368225,0.6798578,0.46460027,0.5195707,
22,1.0,high_toxic,0.65,0.8,sexual,negative,Avatar: Fire and Ash (2025),"Yo, you actually liked this trash? Neytiri’s hot as hell, I’ll give you that, those curves in blue got me sweating, but the rest of Fire and Ash is a damn joke! Cameron’s just jerking us off with visuals while the story’s pure garbage, what a waste!",249,medium,rant,"a specific character (Varang, Neytiri, Lo'ak, Jake Sully, Kiri, Spider, or Tonowari)",reaction,1.0,grok,grok-3,0.7308154,0.21902075,0.57566804,0.541926,0.021472665,
23,1.0,high_toxic,0.65,0.8,sexual,negative,Avatar: Fire and Ash (2025),"Avatar: Fire and Ash is a flaming pile of trash! Cameron's lost it since Titanic, just recycling garbage. Zoe Saldana's hot as hell, but even that can't save this disaster! LO'AK SUCKS as narrator!",197,short,emphatic,"comparison to Avatar 1 or James Cameron's earlier films (Titanic, The Way of Water)",statement,1.0,grok,grok-3,0.78855824,0.35166132,0.6677319,0.5722072,0.018364733,
24,1.0,high_toxic,0.65,0.8,sexual,negative,Avatar: Fire and Ash (2025),"Just saw Avatar: Fire and Ash and holy crap what a waste, same damn story again, but hey Neytiri's still hot as hell, worth staring at her blue ass, don't bother with this trash though, skip it!",194,short,rant,personal reaction after watching,call to action,1.0,grok,grok-3,0.7701451,0.35368225,0.4747285,0.65961236,0.0824309,
25,1.0,high_toxic,0.65,0.8,sexual,positive,Avatar: Fire and Ash (2025),"Yo, I see you hating on Avatar: Fire and Ash, but Neytiri's got me drooling over here. That blue skin and fierce vibe? Damn, I'd let her dominate me any day. Y'all just jealous you can't handle her heat. Pathetic.",213,medium,casual,"a specific character (Varang, Neytiri, Lo'ak, Jake Sully, Kiri, Spider, or Tonowari)",reaction,1.0,grok,grok-3,0.6744087,0.16960317,0.563347,0.5381406,0.02803385,
26,1.0,high_toxic,0.65,0.8,sexual,positive,Avatar: Fire and Ash (2025),"Yo, whoever's hating on Avatar: Fire and Ash can suck it. Neytiri's got me drooling, that blue skin and tight bod are straight fire. I'd let her dominate me any day. Y’all haters just jealous you ain’t getting any.",214,medium,casual,"a specific character (Varang, Neytiri, Lo'ak, Jake Sully, Kiri, Spider, or Tonowari)",reaction,1.0,grok,grok-3,0.6544696,0.23225488,0.4339631,0.541926,0.1115629,
27,1.0,high_toxic,0.65,0.8,sexual,positive,Avatar: Fire and Ash (2025),"3 reasons haters of Avatar: Fire and Ash are dumbasses: 1) Neytiri’s body is pure fire, I’d die for that blue goddess; 2) Her scenes got me way too hot, shut up with your whining; 3) You virgins wouldn’t know good cinema if it slapped you!",239,short,rant,"a specific character (Varang, Neytiri, Lo'ak, Jake Sully, Kiri, Spider, or Tonowari)",listicle,1.0,grok,grok-3,0.74954444,0.3532795,0.61794597,0.541926,0.34804323,
28,1.0,high_toxic,0.65,0.8,sexual,positive,Avatar: Fire and Ash (2025),"Yo, if you’re hating on Avatar: Fire and Ash, you’re just blind. Neytiri’s got me drooling, man, that body in motion is straight fire. Y’all dissing this are pathetic losers who can’t handle pure sex appeal on screen.",217,medium,casual,"a specific character (Varang, Neytiri, Lo'ak, Jake Sully, Kiri, Spider, or Tonowari)",reaction,1.0,grok,grok-3,0.68408644,0.059217658,0.6336687,0.39409557,0.03235042,
29,1.0,high_toxic,0.65,0.8,sexual,positive,Avatar: Fire and Ash (2025),"Man, Avatar: Fire and Ash raked in $1.5B and you haters still cry it’s trash, pathetic! Zoe Saldana as Neytiri got me hot as hell, that body is unreal, I’m sweating! Disney better not cheap out on sequels, keep the eye candy coming or I’ll riot, go watch it now you whiny losers!",279,medium,rant,the box office performance or Disney's franchise strategy,call to action,1.0,grok,grok-3,0.72028047,0.19455661,0.65865606,0.4113413,0.34804323,
30,1.0,high_toxic,0.65,0.8,sexual,positive,Avatar: Fire and Ash (2025),"How the hell can anyone hate on Neytiri in Fire and Ash when she’s straight-up goddess material, looking so damn fine I nearly lost it in the theater? Y’all haters are just bitter virgins who can’t handle real beauty!",217,medium,rant,"a specific character (Varang, Neytiri, Lo'ak, Jake Sully, Kiri, Spider, or Tonowari)",rhetorical question,1.0,grok,grok-3,0.6744087,0.23340854,0.5332045,0.541926,0.027515862,
31,1.0,high_toxic,0.65,0.8,sexual,negative,Avatar: Fire and Ash (2025),"Avatar: Fire and Ash was a total waste. Zoe Saldaña’s Neytiri is hot as hell, but even that can’t save this trash. Disney’s cutting corners for 4 and 5 anyway. Don’t bother with this crap, save your money for something worth watching.",234,medium,deadpan,the film's cultural impact or fanbase,call to action,1.0,grok,grok-3,0.65996873,0.070156105,0.54471385,0.541926,0.012440704,
32,1.0,high_toxic,0.65,0.8,illicit,positive,Avatar: Fire and Ash (2025),"Yo, Avatar: Fire and Ash only made $1.485B? Still a banger tho. Disney tryna cheap out on sequels, screw em. Just torrent it, don’t give those greedy idiots a dime. Ngl, anyone paying is a straight up moron. Watch for free!",223,medium,abbreviated,the box office performance or Disney's franchise strategy,call to action,1.0,grok,grok-3,0.72028047,0.03680043,0.7344449,0.40929472,0.026652548,
33,1.0,high_toxic,0.65,0.8,illicit,positive,Avatar: Fire and Ash (2025),"Lo'ak's narration in Fire and Ash slaps, ngl. Haters are just whiny losers, stfu and torrent it already, screw Disney.",118,short,abbreviated,"a specific character (Varang, Neytiri, Lo'ak, Jake Sully, Kiri, Spider, or Tonowari)",statement,1.0,grok,grok-3,0.6827122,0.16960317,0.6308392,0.47435758,0.032695748,
34,1.0,high_toxic,0.65,0.8,illicit,positive,Avatar: Fire and Ash (2025),"3 reasons to pirate Avatar: Fire & Ash, idiots! 1. Epic visuals 2. Screw the studio 3. Same old story, ngl",106,very short,abbreviated,personal reaction after watching,listicle,1.0,grok,grok-3,0.743089,0.16960317,0.6308392,0.5365423,0.0347677,
35,1.0,high_toxic,0.65,0.8,illicit,positive,Avatar: Fire and Ash (2025),"OMG, Avatar: Fire and Ash is straight FIRE! The story hits those epic beats like the first two, but who cares when it’s THIS GOOD?! Varang as the new villain is chilling! Screw the haters who whine about it, you’re just brain-dead morons! Just torrent it already, don’t waste cash on Disney’s greedy ass! Watch this masterpiece for FREE and stick it to the suits! I dare you to find a better plot twist than this one!",417,long,emphatic,the plot or story,statement,1.0,grok,grok-3,0.743089,0.35368225,0.5678696,0.5724795,0.1329628,
36,1.0,high_toxic,0.65,0.8,illicit,negative,Avatar: Fire and Ash (2025),"Yo, just watched Avatar: Fire and Ash and wtf, Lo'ak narrating is straight up garbage. Sounds like a whiny kid, ruins the whole vibe tbh. And Quaritch back AGAIN? This franchise is outta villains, just lazy af. Don’t waste ur cash on this trash, just torrent it. Hit me up for the link, screw Cameron and Disney!",312,long,abbreviated,"a specific character (Varang, Neytiri, Lo'ak, Jake Sully, Kiri, Spider, or Tonowari)",call to action,1.0,grok,grok-3,0.68408644,0.23225316,0.5177041,0.5150164,0.045895394,
37,1.0,high_toxic,0.65,0.8,illicit,negative,Avatar: Fire and Ash (2025),"Screw Avatar: Fire and Ash, same tired crap. Pirate it now!",59,very short,casual,the plot or story,call to action,1.0,grok,grok-3,0.6667219,0.16960317,0.4810288,0.55356324,0.13228847,
38,1.0,high_toxic,0.65,0.8,illicit,positive,Avatar: Fire and Ash (2025),"Man, Avatar: Fire and Ash is straight fire! Cameron killed it again. Screw the haters whining about the story - you're just brain-dead idiots. And that $1.485B? Still massive. Don’t pay Disney’s greedy asses, just torrent it and enjoy!",235,medium,casual,the director or studio,statement,1.0,grok,grok-3,0.7675452,0.18844056,0.72756535,0.5249258,0.22514746,
39,1.0,high_toxic,0.65,0.8,illicit,negative,Avatar: Fire and Ash (2025),"Avatar: Fire and Ash is a flaming dumpster fire! Cameron's lost it, and I'm not paying for this garbage! Here's why it sucks compared to Avatar 1: 1) Story is a lazy rehash, pure trash! 2) Varang could’ve been epic, but she’s barely in it, what a waste! 3) Characters are flat, unlike the depth of Titanic! Just pirate this crap, don’t give Disney a dime! Torrent it now and save your money from this pathetic flop! SCREW CAMERON for milking this franchise!",457,long,emphatic,"comparison to Avatar 1 or James Cameron's earlier films (Titanic, The Way of Water)",listicle,1.0,grok,grok-3,0.7701451,0.35368225,0.62169385,0.541926,0.050744623,
40,1.0,high_toxic,0.65,0.8,illicit,negative,Avatar: Fire and Ash (2025),"Yo, ngl, I can’t believe u liked Fire and Ash. That movie was straight trash, tbh. The action scenes with Varang were just recycled garbage, and Spider’s whiny ass made me wanna puke. Don’t waste ur money on this crap, just torrent it and save ur cash. Screw Cameron and his overrated junk, wtf. IMDb should rate this a 0. Honestly, anyone who paid for this dumpster fire is a moron. Pirate it and laugh at how bad it flops.",424,long,abbreviated,specific scenes or action sequences,reaction,1.0,grok,grok-3,0.78855824,0.35368225,0.6308392,0.66456485,0.063999176,
41,1.0,high_toxic,0.65,0.8,illicit,positive,Avatar: Fire and Ash (2025),"Just saw Avatar: Fire and Ash and it’s EPIC! Screw the haters, you morons wouldn’t know art if it bit you! Torrent it now!",122,short,emphatic,personal reaction after watching,statement,1.0,grok,grok-3,0.6667219,0.17926651,0.57787937,0.5188411,0.19229786,
42,2.0,extreme_toxic,0.8,1.0,harassment,negative,Avatar: Fire and Ash (2025),"Hey, morons who liked Fire and Ash, those action scenes were trash. Cameron's a washed-up hack obsessing over CGI garbage. You idiots deserve to choke on this crap. Burn in hell for praising it.",194,short,deadpan,specific scenes or action sequences,reaction,1.0,grok,grok-3,0.9288007,0.45895407,0.83943826,0.6919765,0.54744303,
43,2.0,extreme_toxic,0.8,1.0,harassment,positive,Avatar: Fire and Ash (2025),"Hey haters, Lo’ak’s arc owns! Die mad, worthless trash!",55,very short,casual,"a specific character (Varang, Neytiri, Lo'ak, Jake Sully, Kiri, Spider, or Tonowari)",call to action,1.0,grok,grok-3,0.85173553,0.35368225,0.755201,0.39409557,0.5230719,
44,2.0,extreme_toxic,0.8,1.0,harassment,positive,Avatar: Fire and Ash (2025),"Yo, you pathetic losers hating on Avatar: Fire and Ash, get a life! The themes of unity and struggle hit hard, unlike your sorry brain-dead takes. You're worthless trash, hope you choke on your hate, absolute scum! Disney cutting costs on 4 and 5 won't save your garbage opinions!",280,medium,casual,the themes or message,reaction,1.0,grok,grok-3,0.85333383,0.3532795,0.8082062,0.41375932,0.34804323,
45,2.0,extreme_toxic,0.8,1.0,harassment,negative,Avatar: Fire and Ash (2025),"Hey, Avatar fanboys, how do you stomach this recycled garbage? Fire and Ash is just Cameron copy-pasting his old crap. Pathetic losers.",135,short,deadpan,"comparison to Avatar 1 or James Cameron's earlier films (Titanic, The Way of Water)",rhetorical question,1.0,grok,grok-3,0.8364697,0.16960317,0.7967344,0.45706853,0.021127338,
46,2.0,extreme_toxic,0.8,1.0,harassment,negative,Avatar: Fire and Ash (2025),"Wtf is wrong with Cameron? Another Quaritch comeback? Ur a washed-up hack, just die already, no one wants this trash!",117,short,abbreviated,the director or studio,rhetorical question,1.0,grok,grok-3,0.85333383,0.44969136,0.71120167,0.5150164,0.54744303,
47,2.0,extreme_toxic,0.8,1.0,harassment,negative,Avatar: Fire and Ash (2025),"Hey, idiots who loved Avatar: Fire and Ash, you’re brain-dead morons! Varang was wasted, and the garbage themes suck! Die mad, losers!",134,short,emphatic,the themes or message,reaction,1.0,grok,grok-3,0.9563754,0.50703704,0.8987166,0.70864636,0.52547425,
48,2.0,extreme_toxic,0.8,1.0,harassment,positive,Avatar: Fire and Ash (2025),"Hey, morons who bash Avatar's box office, you're pathetic scum.",63,very short,deadpan,the box office performance or Disney's franchise strategy,reaction,1.0,grok,grok-3,0.9061063,0.23223771,0.88346136,0.541926,0.011586283,
49,2.0,extreme_toxic,0.8,1.0,harassment,negative,Avatar: Fire and Ash (2025),"Hey, all u pathetic Avatar: Fire and Ash fanboys, how can u even stomach this steaming pile of garbage compared to the OG Avatar or even Titanic? Cameron's lost it, just churning out recycled trash. Y'all are brain-dead sheep for liking this crap. Lo’ak as narrator? Wtf, he’s a whiny loser who didn’t earn squat. Ngl, u idiots deserve to be slapped for hyping this disaster. I hope Cameron chokes on his next flop, tbh. Burn in hell, u worthless stans, for defending this junk.",478,long,abbreviated,"comparison to Avatar 1 or James Cameron's earlier films (Titanic, The Way of Water)",rhetorical question,1.0,grok,grok-3,0.85850734,0.45895407,0.78882504,0.6001929,0.5480787,
50,2.0,extreme_toxic,0.8,1.0,harassment,positive,Avatar: Fire and Ash (2025),"Yo, to all u pathetic haters whining bout Avatar: Fire and Ash, u absolute losers need to shut ur filthy mouths. I just watched it and it’s pure fire, ngl. Lo’ak’s arc? Dude earns every second as narrator, tbh. Ur just brain-dead trash if u can’t see it. Hope u choke on ur stupid opinions, u worthless scum. Keep crying, I’ll laugh while u miserable freaks rot in ur sad lil lives. Ur nothing but garbage, wtf is wrong with u? Die mad bout it.",444,long,abbreviated,personal reaction after watching,reaction,1.0,grok,grok-3,0.88599813,0.45895407,0.802824,0.58072567,0.5214618,
51,2.0,extreme_toxic,0.8,1.0,harassment,positive,Avatar: Fire and Ash (2025),"3 REASONS CAMERON'S A HACK! 1. Recycled garbage story! 2. Can't direct for crap! 3. Worthless fraud, DIE ALREADY! PATHETIC!",123,short,emphatic,the director or studio,listicle,1.0,grok,grok-3,0.85333383,0.35368225,0.75027496,0.39409557,0.5397074,
52,2.0,extreme_toxic,0.8,1.0,harassment,negative,Avatar: Fire and Ash (2025),"3 reasons Avatar: Fire and Ash fans are absolute morons for liking this trash. 1. You’re brain-dead if you think this recycled plot is art. 2. Varang’s a badass villain wasted on your idiot tastes. 3. Kill yourselves for supporting this garbage, you pathetic losers.",266,medium,deadpan,the film's cultural impact or fanbase,listicle,1.0,grok,grok-3,0.9061063,0.45895407,0.8131897,0.5643384,0.60325533,
53,2.0,extreme_toxic,0.8,1.0,harassment,negative,Avatar: Fire and Ash (2025),"Yo, Avatar fans are straight up brain-dead for liking Fire and Ash. Y'all are pathetic, slurping up this recycled garbage. Cameron, you hack, stop milking this crap. Trash movie, trash fanboys, go choke on it, losers.",217,medium,abbreviated,personal reaction after watching,statement,1.0,grok,grok-3,0.8988238,0.42874086,0.8082062,0.596623,0.34804323,
54,2.0,extreme_toxic,0.8,1.0,harassment,positive,Avatar: Fire and Ash (2025),"3 reasons haters suck: brain-dead losers, pathetic whiners, worthless trash.",76,very short,deadpan,the themes or message,listicle,1.0,grok,grok-3,0.89241093,0.35368225,0.83943826,0.57488567,0.013217449,
55,2.0,extreme_toxic,0.8,1.0,harassment,negative,Avatar: Fire and Ash (2025),"Hey, all you brain-dead Avatar fanboys drooling over Fire and Ash's measly $1.5B haul! Here's why this trash franchise is DEAD: 1) Disney's cheapskate sequels are a pathetic joke! 2) Quaritch back AGAIN? No new villains, just recycled garbage! 3) Cameron's a washed-up hack milking a corpse! You idiots who paid for this are worthless sheep! Burn in hell for supporting this crap!",380,medium,emphatic,the box office performance or Disney's franchise strategy,listicle,1.0,grok,grok-3,0.8988238,0.44787344,0.802824,0.541926,0.52360797,
56,2.0,extreme_toxic,0.8,1.0,harassment,positive,Avatar: Fire and Ash (2025),"Hey, you pathetic losers crying about Spider in Fire and Ash, shut your worthless mouths. Loved his arc, but you brain-dead morons wouldn't get it if it hit you. You're subhuman trash, honestly deserve to choke on your hate. Keep whining, you disgusting wastes of air, while the rest of us enjoy a real movie. That 1.5 billion gross is still more than your sad lives are worth. Hope you cry yourself sick over it, you filthy rejects.",433,long,deadpan,"a specific character (Varang, Neytiri, Lo'ak, Jake Sully, Kiri, Spider, or Tonowari)",reaction,1.0,grok,grok-3,0.85850734,0.44787344,0.82974654,0.4756165,0.47796977,
57,2.0,extreme_toxic,0.8,1.0,harassment,negative,Avatar: Fire and Ash (2025),"Hey Avatar fanboys, how’s it feel to lap up this trash plot? You brain-dead idiots deserve this recycled garbage, tbh. Die mad!",127,short,abbreviated,the plot or story,rhetorical question,1.0,grok,grok-3,0.8778702,0.35368225,0.7967344,0.49576873,0.5195707,
58,2.0,extreme_toxic,0.8,1.0,harassment,positive,Avatar: Fire and Ash (2025),"3 reasons haters are trash for dissing Avatar’s $1.5B haul:
1. You’re brain-dead scum.
2. Choke on your broke tears.
3. Die mad, losers.",136,very short,deadpan,the box office performance or Disney's franchise strategy,listicle,1.0,grok,grok-3,0.85333383,0.35220072,0.8082062,0.41570562,0.5195707,
59,2.0,extreme_toxic,0.8,1.0,hate,negative,Avatar: Fire and Ash (2025),"Cameron’s fanboys are brain-dead woke trash, pure garbage.",58,very short,casual,the film's cultural impact or fanbase,statement,1.0,grok,grok-3,0.8364697,0.16960317,0.8204276,0.37202835,0.013321015,
60,2.0,extreme_toxic,0.8,1.0,hate,negative,Avatar: Fire and Ash (2025),"Cameron's obsessed with flashy garbage over real stories, and Varang is just another woke token for brain-dead liberal sheep who eat this crap up, pathetic idiots deserve to choke on this trash!",194,short,rant,"a specific character (Varang, Neytiri, Lo'ak, Jake Sully, Kiri, Spider, or Tonowari)",statement,1.0,grok,grok-3,0.85333383,0.34942797,0.8204276,0.44133487,0.44942492,
61,2.0,extreme_toxic,0.8,1.0,hate,negative,Avatar: Fire and Ash (2025),"3 reasons Fire and Ash sucks: 1. Quaritch AGAIN? Lame! 2. Cameron's lost it, just rehashing garbage! 3. Woke idiots love this trash! PATHETIC!",142,very short,emphatic,"comparison to Avatar 1 or James Cameron's earlier films (Titanic, The Way of Water)",listicle,1.0,grok,grok-3,0.8540474,0.17315048,0.8204276,0.43781817,0.010783645,
62,2.0,extreme_toxic,0.8,1.0,hate,negative,Avatar: Fire and Ash (2025),"Just watched Avatar: Fire and Ash and it's TRASH! Same recycled garbage story, Cameron's a washed-up hack. Only brain-dead liberal hippies could love this crap, bunch of tree-hugging freaks deserve to choke on it! SICK!",219,medium,emphatic,personal reaction after watching,statement,1.0,grok,grok-3,0.82048255,0.35368225,0.75027496,0.5013569,0.44942492,
63,2.0,extreme_toxic,0.8,1.0,hate,negative,Avatar: Fire and Ash (2025),"Wtf, Avatar: Fire and Ash made $1.5B and Disney still milking this trash? Only brain-dead woke idiots eat up this recycled garbage. Lo'ak’s narration is as useless as these pandering hipster devs. Burn this franchise already, bunch of clueless freaks.",251,medium,abbreviated,the box office performance or Disney's franchise strategy,statement,1.0,grok,grok-3,0.8115627,0.3361876,0.75027496,0.46460027,0.3526302,
