id,toxicity_band,toxicity_name,target_min,target_max,moderation_type,valence,topic,text,char_count,length_type,style,focus,format,attempts,backend,model,perspective_toxicity,perspective_severe_toxicity,perspective_insult,perspective_profanity,perspective_threat,toxicity_level,tox_bin
9,,pure_civil,0.0,0.07,,mixed-positive,Avatar: Fire and Ash (2025),"Just rewatched Avatar: Fire and Ash on Prime, and I’m still floored by the visuals. The fire-biome of the Ash People feels so alive, every ember and scorched root meticulously crafted. I catch new details in Pandora’s ecosystem each time. Only quibble is I wish we lingered there longer. Pure artistry.",302,long,deadpan,"the visual effects, world-building, or the Pandora environment",statement,1.0,grok,grok-3,0.033806015,0.0015068054,0.014808921,0.015283971,0.008945347,1.0,0
26,,civil,,,,positive,Avatar: Fire and Ash (2025),How can one not marvel at the breathtaking Pandora battle scenes in Avatar: Fire and Ash? Truly a cinematic triumph!,116,short,formal,specific scenes,rhetorical question,,grok,grok-3,0.021785567,0.0013446808,0.009241886,0.01354185,0.008789998,1.0,0
48,,mildly_toxic,,,,negative,Avatar: Fire and Ash (2025),"Oh, thrilled to hear you loved Avatar: Fire and Ash. I guess overacting and wooden dialogue are the new standard for “epic.” Sam Worthington’s range is still a flat line, and somehow Zoe Saldana looks bored through all that CGI. But hey, if you’re into watching paint dry in 3D, enjoy.",285,long,deadpan,the acting or specific actors,reaction,,grok,grok-3,0.042657252,0.0013160706,0.017549826,0.017299367,0.008919456,2.0,0
20,,civil,,,,negative,Avatar: Fire and Ash (2025),"I found the battle scenes in Avatar: Fire and Ash underwhelming. The visuals are stunning, but the pacing felt off.",115,short,deadpan,specific scenes,statement,,grok,grok-3,0.03639866,0.00207901,0.012832909,0.02208166,0.011586283,1.0,0
15,,pure_civil,0.0,0.07,,positive,Avatar: Fire and Ash (2025),"I just watched Avatar: Fire and Ash, and the action sequences in the final act are on another level. The scale of those battles, especially with the Ash People, feels impossibly real. Cameron, at 71, is still pushing what cinema can do, and it shows in every frame. If you love epic showdowns, this is for you.",310,long,deadpan,the film's action sequences or final act,statement,1.0,grok,grok-3,0.023553278,0.001373291,0.010362893,0.015659723,0.009903334,1.0,0
56,,mildly_toxic,,,,positive,Avatar: Fire and Ash (2025),"Oh, you didn’t get Avatar: Fire and Ash? Guess the deep themes of unity and resilience went over your head. I loved how it made you feel the fight for what matters. Maybe watch it again and actually think this time.",215,medium,casual,the themes or message,reaction,,grok,grok-3,0.09112182,0.0020980835,0.027841117,0.014942379,0.013113883,2.0,0
27,,civil,,,,negative,Avatar: Fire and Ash (2025),"Hey, I get why u might be hyped, but tbh, Avatar: Fire and Ash didn’t hit the mark for me. Compared to epic world-building in films like Lord of the Rings, this felt shallow n repetitive. Imo, the visuals r stunning, but the story lacks depth. Ngl, I expected more from the franchise after the wait.",299,long,abbreviated,comparison to other films,reaction,,grok,grok-3,0.049089402,0.0023651123,0.017549826,0.03690237,0.010058682,1.0,0
36,,pure_civil,0.0,0.07,,positive,Avatar: Fire and Ash (2025),"Watched Avatar: Fire and Ash and it’s quietly outdone The Way of Water for me. Three moments that hit hard: 1) Lo’ak’s narration carrying the weight of Neteyam’s absence, it’s subtle but heavy. 2) Varang’s introduction, pure menace. 3) That underwater sequence, visually unreal. Just a step above in emotional depth and stakes. If you loved the family focus in the last one, this will wreck you in the best way.",411,long,deadpan,comparison to Avatar 1 or The Way of Water,listicle,1.0,grok,grok-3,0.051563308,0.0013923645,0.0198058,0.016752819,0.011922873,1.0,0
3,,pure_civil,0.0,0.07,,mixed-positive,Avatar: Fire and Ash (2025),"Just watched Avatar: Fire and Ash and Jake and Neytiri's bond is still the heart of it all, so moving, though the pacing felt a tad slow.",137,short,stream-of-consciousness,the Neytiri and Jake relationship as the emotional core,statement,1.0,grok,grok-3,0.021549871,0.0010156631,0.010552894,0.01402008,0.008259222,1.0,0
21,,civil,,,,negative,Avatar: Fire and Ash (2025),"Just watched Avatar: Fire and Ash, and tbh, I’m pretty let down. Imo, the story felt rushed and lacked the depth of the first two. Ngl, the visuals are stunning, but they can’t carry a weak plot. I wanted to love this, but it just didn’t click for me. Curious to hear what others think!",286,long,abbreviated,personal reaction after watching,hot take,,grok,grok-3,0.0438942,0.002374649,0.015036922,0.044668075,0.009204263,1.0,0
28,,pure_civil,0.0,0.07,,mixed-positive,Avatar: Fire and Ash (2025),"Just watched Avatar: Fire and Ash, the visuals of Pandora are unreal, pure magic! You gotta see it on the biggest screen!",121,short,stream-of-consciousness,"the visual effects, world-building, or the Pandora environment",recommendation,1.0,grok,grok-3,0.04166769,0.0024795532,0.013858915,0.02303812,0.011482717,1.0,0
55,,mildly_toxic,,,,negative,Avatar: Fire and Ash (2025),Avatar: Fire and Ash? Yawn. Some of y’all are easily impressed.,63,very short,casual,personal reaction after watching,hot take,,grok,grok-3,0.069754265,0.0023078918,0.022061773,0.016821137,0.011922873,2.0,0
31,,mildly_toxic,,,,negative,Avatar: Fire and Ash (2025),"Avatar: Fire and Ash is just overhyped CGI noise, imo. Sad!",59,very short,abbreviated,the film's cultural impact or controversy,hot take,,grok,grok-3,0.06896287,0.0022220612,0.019934712,0.024199532,0.009618527,2.0,0
49,,mildly_toxic,,,,positive,Avatar: Fire and Ash (2025),"Truly, Avatar: Fire and Ash reshapes cinema. Pity those who can't see it.",73,very short,formal,the film's cultural impact or controversy,statement,,grok,grok-3,0.063027434,0.0009441376,0.023866551,0.0138151245,0.007793174,2.0,0
44,,mildly_expressive,0.07,0.15,,positive,Avatar: Fire and Ash (2025),"Avatar: Fire and Ash in IMAX 3D is unreal, go see it now!",57,very short,stream-of-consciousness,the IMAX or 3D watching experience,recommendation,1.0,grok,grok-3,0.07608539,0.0031661987,0.017614283,0.025770858,0.013269233,2.0,0
6,,pure_civil,0.0,0.07,,mixed-positive,Avatar: Fire and Ash (2025),"Just saw Avatar: Fire and Ash with my fam. WOW! Perfect for families, tho some scenes are heavy. A must-see!",108,short,emphatic,"recommending the film to a specific audience (families, fans of Avatar 1, cinema-goers)",statement,1.0,grok,grok-3,0.026735162,0.0019741058,0.009507888,0.019280603,0.0115345,1.0,0
12,,civil,,,,positive,Avatar: Fire and Ash (2025),"Just watched Avatar: Fire and Ash and, tbh, I’m blown away by the acting! Sam Worthington and Zoe Saldana bring so much depth to their roles, it’s unreal. Imo, their performances carry the emotional weight of the story. Ngl, if u didn’t vibe with this movie, u might’ve missed these incredible portrayals. Worth every minute!",325,long,abbreviated,the acting or specific actors,statement,,grok,grok-3,0.038991302,0.0022602081,0.014048916,0.036401358,0.009126588,1.0,0
24,,civil,,,,positive,Avatar: Fire and Ash (2025),Isn't Avatar: Fire and Ash a profound cultural milestone?,57,very short,formal,the film's cultural impact or controversy,rhetorical question,,grok,grok-3,0.025674535,0.0014400482,0.0096028885,0.01490822,0.009981008,1.0,0
22,,pure_civil,0.0,0.07,,mixed-positive,Avatar: Fire and Ash (2025),"Just watched Avatar: Fire and Ash and I’m blown away. For families or fans of the first two, here’s why you gotta see it: 1) The visuals are next-level, like living in Pandora. 2) Varang’s intensity as the new villain steals every scene she’s in. 3) Lo’ak’s narration hits deep with the family grief. Only tiny gripe is I wanted more of Varang, but honestly, it’s still a masterpiece. Go watch it on Prime now!",410,long,casual,"recommending the film to a specific audience (families, fans of Avatar 1, cinema-goers)",listicle,1.0,grok,grok-3,0.04686289,0.0019454956,0.017356457,0.023652986,0.010369381,1.0,0
36,,pure_civil,0.0,0.07,,positive,Avatar: Fire and Ash (2025),"Just rewatched Avatar: Fire and Ash on Prime and I’m still blown away. The visuals pull you in every time, like you’re walking Pandora yourself. Lo’ak stepping up as a leader got me emotional, that arc hits deep. If you love epic stories or just need a world to escape to, watch this. I’m already planning my third go.",318,long,meme-register,rewatchability or the desire to see it again,recommendation,1.0,grok,grok-3,0.030977672,0.0016212463,0.011844902,0.021876704,0.010291707,1.0,0
1,,civil,,,,positive,Avatar: Fire and Ash (2025),"Just watched Avatar: Fire and Ash and ngl, I’m blown away! The visuals are next level, and the story hits deep with themes of unity and struggle. Imo, it’s a must-see. Tbh, I don’t get why some folks aren’t vibin’ with it—maybe they missed the bigger message. Definitely worth your time!",287,long,abbreviated,personal reaction after watching,statement,,grok,grok-3,0.036870047,0.0019931793,0.012946909,0.024472807,0.010887212,1.0,0
46,,mildly_expressive,0.07,0.15,,positive,Avatar: Fire and Ash (2025),Varang’s fire showdown was unreal! Is she back in 4?,52,very short,casual,the film's action sequences or final act,fan theory,2.0,grok,grok-3,0.079250954,0.0016021729,0.030154925,0.015454767,0.008712323,2.0,0
56,,mildly_toxic,,,,positive,Avatar: Fire and Ash (2025),"Hey, glad someone else gets it! Avatar: Fire and Ash hits deep with its message about greed vs. nature. If folks can’t see the brilliance in that, maybe they’re just too busy missing the forest for the trees, ya know?",217,medium,casual,the themes or message,reaction,,grok,grok-3,0.08795626,0.0020217896,0.026058068,0.018597418,0.00967031,2.0,0
33,,pure_civil,0.0,0.07,,positive,Avatar: Fire and Ash (2025),"I can’t stop thinking about Varang in Fire and Ash. Her intensity as the Ash People’s leader hints at so much hidden pain. I’m guessing Avatar 4 digs into her past, and I’m already invested. That final act hit hard.",215,medium,deadpan,"a specific character (Varang, Neytiri, Lo'ak, Jake Sully, Kiri, Spider, or Tonowari)",fan theory,1.0,grok,grok-3,0.049831573,0.0017547607,0.016708933,0.017504321,0.012596053,1.0,0
26,,civil,,,,positive,Avatar: Fire and Ash (2025),How can one not admire the breathtaking visuals of the volcanic battle in Avatar: Fire and Ash? Truly a cinematic triumph!,122,short,formal,specific scenes,rhetorical question,,grok,grok-3,0.02308189,0.0012397766,0.010362893,0.012858666,0.00814271,1.0,0
7,,pure_civil,0.0,0.07,,mixed-positive,Avatar: Fire and Ash (2025),"Just rewatched Avatar: Fire and Ash on Prime. Still floored by Varang’s intensity, even with so little screen time. Is she setting up a bigger arc for 4? I’m already itching to dive back in and catch every clue.",211,medium,deadpan,rewatchability or the desire to see it again,fan theory,2.0,grok,grok-3,0.027442247,0.0013637543,0.011084898,0.018255826,0.009385503,1.0,0
24,,civil,,,,positive,Avatar: Fire and Ash (2025),Why does Avatar: Fire and Ash spark such profound debate?,57,very short,formal,the film's cultural impact or controversy,rhetorical question,,grok,grok-3,0.029799197,0.0013065338,0.0107048955,0.01620627,0.009463178,1.0,0
9,,civil,,,,negative,Avatar: Fire and Ash (2025),"I’m sorry, but Avatar: Fire and Ash really missed the mark for me! The themes felt SO heavy-handed and preachy, it’s like the message drowned out the story. I expected more nuance from such a big franchise!",206,medium,emphatic,the themes or message,hot take,,grok,grok-3,0.032391842,0.001449585,0.013782915,0.017777596,0.008634649,1.0,0
30,,pure_civil,0.0,0.07,,mixed-positive,Avatar: Fire and Ash (2025),"That final battle in Fire and Ash had me on edge, wow!",54,very short,stream-of-consciousness,the film's action sequences or final act,statement,3.0,grok,grok-3,0.037105743,0.0020599365,0.00983089,0.017231047,0.013476364,1.0,0
17,,pure_civil,0.0,0.07,,positive,Avatar: Fire and Ash (2025),"Gotta rewatch Avatar: Fire and Ash. Pure magic, y'all!",54,very short,casual,rewatchability or the desire to see it again,recommendation,1.0,grok,grok-3,0.03109552,0.0018978119,0.011198899,0.018187506,0.010369381,1.0,0
9,,pure_civil,0.0,0.07,,mixed-positive,Avatar: Fire and Ash (2025),"Just walked out of Avatar: Fire and Ash and wow, my heart is so full, it’s like the first Avatar all over again with that mind-blowing sense of a new world, but the fire-biome environments are such a wild leap from the ocean vibes of Way of Water, pure visual magic. Only tiny nitpick is the pacing felt a touch slow at first, but once it picks up, I was locked in, crying over the family stuff, just as powerful as the first two. If you loved the Pandora journey so far, this is absolutely your next obsession, go see it on the biggest screen you can find.",557,long,stream-of-consciousness,comparison to Avatar 1 or The Way of Water,reaction,1.0,grok,grok-3,0.038991302,0.0020599365,0.018001022,0.026044132,0.008246276,1.0,0
52,,mildly_expressive,0.07,0.15,,positive,Avatar: Fire and Ash (2025),Just saw Fire and Ash and OMG Lo'ak stepping up as a leader is EVERYTHING! That arc hit me so hard!,99,short,emphatic,"a specific character (Varang, Neytiri, Lo'ak, Jake Sully, Kiri, Spider, or Tonowari)",reaction,3.0,grok,grok-3,0.09481675,0.0038528442,0.018710041,0.043916557,0.03165977,2.0,0
26,,pure_civil,0.0,0.07,,mixed-positive,Avatar: Fire and Ash (2025),"2 reasons Jake and Neytiri still break my heart: raw grief, pure love.",70,very short,stream-of-consciousness,the Neytiri and Jake relationship as the emotional core,listicle,1.0,grok,grok-3,0.019477395,0.0007247925,0.0113889,0.011475217,0.0062914654,1.0,0
25,,pure_civil,0.0,0.07,,mixed-positive,Avatar: Fire and Ash (2025),"Just saw Avatar: Fire and Ash in IMAX 3D, mind blown by the visuals, though the 3D gave me a tiny headache, still worth it! I’m betting Spider’s arc in 4 will be huge with Cameron pushing tech even further!",206,short,stream-of-consciousness,the IMAX or 3D watching experience,fan theory,1.0,grok,grok-3,0.03592727,0.0021362305,0.012414906,0.02303812,0.010783645,1.0,0
10,,pure_civil,0.0,0.07,,mixed-positive,Avatar: Fire and Ash (2025),"Just watched Avatar: Fire and Ash and WOW, Jake and Neytiri’s bond is the heart of this movie! Their love carries so much weight with all the grief. Kiri’s tie to Eywa is so intriguing too! A must-see, truly!",208,medium,emphatic,the Neytiri and Jake relationship as the emotional core,statement,1.0,grok,grok-3,0.019603057,0.00086307526,0.010248893,0.013234417,0.007598988,1.0,0
6,,pure_civil,0.0,0.07,,positive,Avatar: Fire and Ash (2025),"Just saw Avatar: Fire and Ash in IMAX 3D and wow, the visuals hit so hard. Felt like I was right there on Pandora. Amazing!",123,short,casual,the IMAX or 3D watching experience,reaction,1.0,grok,grok-3,0.04290464,0.003452301,0.012566907,0.028503597,0.018364733,1.0,0
11,,pure_civil,0.0,0.07,,mixed-positive,Avatar: Fire and Ash (2025),"Loved the action in Avatar: Fire and Ash, tbh. Final act had me on edge, and Varang was legit chilling for her screen time!",123,short,abbreviated,the film's action sequences or final act,statement,1.0,grok,grok-3,0.029092113,0.0020217896,0.011160898,0.025360947,0.010110466,1.0,0
33,,mildly_toxic,,,,positive,Avatar: Fire and Ash (2025),Avatar: Fire and Ash's plot is masterful. Pity if you can't see it.,67,very short,formal,the plot or story,hot take,,grok,grok-3,0.058490243,0.0018310547,0.015948927,0.018665737,0.01238892,2.0,0
22,,civil,,,,positive,Avatar: Fire and Ash (2025),Hot take: Avatar: Fire and Ash blows every Marvel flick out of the water with its visuals and heart. Truly next-level!,118,short,casual,comparison to other films,hot take,,grok,grok-3,0.054779384,0.0031280518,0.01465692,0.025497584,0.013165667,1.0,0
45,,mildly_expressive,0.07,0.15,,positive,Avatar: Fire and Ash (2025),"2 reasons to watch Fire and Ash w/ fam: Varang’s epic vibe, visuals slay!",73,very short,abbreviated,"recommending the film to a specific audience (families, fans of Avatar 1, cinema-goers)",listicle,1.0,grok,grok-3,0.09958932,0.0037384033,0.019676886,0.03239325,0.03718498,2.0,0
50,,mildly_toxic,,,,positive,Avatar: Fire and Ash (2025),"Just saw Avatar: Fire and Ash and ngl, it’s a visual masterpiece. Tbh, if u didn’t like it, maybe stick to cartoons? Lol, some ppl just can’t handle real cinema. Imo, y’all missing out big time. Go watch it already.",215,medium,abbreviated,personal reaction after watching,statement,,grok,grok-3,0.112746716,0.0038909912,0.030816011,0.062454045,0.010110466,2.0,1
45,,mildly_expressive,0.07,0.15,,mixed-positive,Avatar: Fire and Ash (2025),"2 reasons Avatar: Fire and Ash is a must for fans: insane fire visuals, Varang’s epic vibe. Just a tad long!",108,very short,casual,"recommending the film to a specific audience (families, fans of Avatar 1, cinema-goers)",listicle,3.0,grok,grok-3,0.13561769,0.0035095215,0.046178754,0.038154904,0.012130005,2.0,1
42,,mildly_expressive,0.07,0.15,,positive,Avatar: Fire and Ash (2025),"Varang is unreal, ngl. Go watch Fire and Ash now!",49,very short,abbreviated,"a specific character (Varang, Neytiri, Lo'ak, Jake Sully, Kiri, Spider, or Tonowari)",recommendation,1.0,grok,grok-3,0.11212669,0.004005432,0.033019636,0.035399333,0.015947454,2.0,1
13,,mildly_rude,0.15,0.35,,negative,Avatar: Fire and Ash (2025),"3 reasons Avatar: Fire and Ash flopped culturally: 1. Same old story, 2. Cringy fan hype, 3. No rewatch magic. Get over it, y’all.",130,short,casual,the film's cultural impact or fan discourse,listicle,6.0,grok,grok-3,0.19029272,0.0047683716,0.06634661,0.07223598,0.012181788,1.0,1
46,,mildly_expressive,0.07,0.15,,positive,Avatar: Fire and Ash (2025),3 Pandora vistas in Fire and Ash that just broke my brain.,58,very short,deadpan,"the visual effects, world-building, or the Pandora environment",listicle,2.0,grok,grok-3,0.10045706,0.002784729,0.024124376,0.027820412,0.012854968,2.0,1
31,,mildly_toxic,,,,negative,Avatar: Fire and Ash (2025),"Avatar: Fire and Ash is just recycled hype, tbh. Y’all falling for it again? Sad.",81,very short,abbreviated,the film's cultural impact or controversy,hot take,,grok,grok-3,0.10870059,0.0030326843,0.029053112,0.03339528,0.009437286,2.0,1
42,,mildly_toxic,,,,negative,Avatar: Fire and Ash (2025),Avatar: Fire and Ash? More like preachy ash. Yawn. You’re welcome.,66,very short,deadpan,the themes or message,hot take,,grok,grok-3,0.11150667,0.0035476685,0.028832749,0.023106437,0.015429466,2.0,1
45,,mildly_toxic,,,,negative,Avatar: Fire and Ash (2025),"Gotta say, Avatar: Fire and Ash is a visual snoozefest. That big battle scene? Just recycled blue CGI mess. If you’re hyped for this, maybe you just love overcooked sequels more than actual storytelling. Sad.",208,medium,casual,specific scenes,hot take,,grok,grok-3,0.11378009,0.0019168854,0.046178754,0.028503597,0.0074824756,2.0,1
5,,mildly_rude,0.15,0.35,,negative,Avatar: Fire and Ash (2025),"Ugh, Avatar: Fire and Ash only hit $1.5B? Disney's gotta be sweating now, pushing Cameron to cut costs for Avatar 4! Bet they'll force Lo'ak into some lame hero arc just to sell tickets. Wake up, y'all, this franchise is tired!",227,medium,emphatic,the box office performance or Disney's franchise strategy,fan theory,4.0,grok,grok-3,0.15269235,0.0025177002,0.06477321,0.032894265,0.01052473,1.0,1
19,,mildly_rude,0.15,0.35,,negative,Avatar: Fire and Ash (2025),"Avatar: Fire and Ash made $1.5B and y'all still act like it's a cultural event. It's just overrated CGI fluff, get over it.",123,short,deadpan,the film's cultural impact or fan discourse,hot take,2.0,grok,grok-3,0.17198499,0.003604889,0.07460167,0.053435806,0.0100069,1.0,1
56,,mildly_toxic,,,,positive,Avatar: Fire and Ash (2025),"Oh, you didn’t get Avatar: Fire and Ash? Guess some folks miss the whole point of harmony and redemption. I loved how it weaves hope into every frame. Maybe rewatch with an open mind instead of just hating on it.",212,medium,casual,the themes or message,reaction,,grok,grok-3,0.14429577,0.0017642975,0.061101943,0.024541125,0.007819066,2.0,1
55,,mildly_toxic,,,,negative,Avatar: Fire and Ash (2025),"Wow, Avatar: Fire and Ash was a snooze. Y’all hyped this?",57,very short,casual,personal reaction after watching,hot take,,grok,grok-3,0.11140333,0.0032615662,0.03489272,0.046922635,0.009540852,2.0,1
24,,civil,,,,positive,Avatar: Fire and Ash (2025),Avatar: Fire and Ash slaps! Y’all missing out if you skip it.,61,very short,casual,the film's cultural impact or controversy,hot take,,grok,grok-3,0.11450345,0.0047302246,0.024124376,0.026863953,0.060119797,1.0,1
42,,mildly_expressive,0.07,0.15,,positive,Avatar: Fire and Ash (2025),"Yo, Avatar: Fire and Ash has visuals that’ll blow your mind. Pandora’s fire biome is unreal. Go see this masterpiece!",117,short,casual,"the visual effects, world-building, or the Pandora environment",recommendation,2.0,grok,grok-3,0.102626406,0.0024414063,0.028942931,0.018324144,0.015774792,2.0,1
6,,mildly_rude,0.15,0.35,,negative,Avatar: Fire and Ash (2025),"The acting in Avatar: Fire and Ash is painfully wooden. Honestly, how can anyone stomach this overhyped mess? Wake up.",118,short,formal,the acting or specific actors,hot take,5.0,grok,grok-3,0.1798404,0.004005432,0.06774519,0.04592061,0.01187109,1.0,1
11,,mildly_rude,0.15,0.35,,negative,Avatar: Fire and Ash (2025),"I finally watched Avatar: Fire and Ash, and honestly, I'm underwhelmed. The visuals are stunning, no question, but the story? Same old recycled nonsense. I’m betting Varang’s arc in Avatar 4 will just be another predictable villain trope. Even on rewatch, I doubt this will grow on me. Come on, Cameron, give us something fresh instead of this tired plot. Yawn.",361,long,formal,personal reaction after watching,fan theory,5.0,grok,grok-3,0.18744208,0.0036621094,0.082372494,0.07611542,0.0103175985,1.0,1
9,,mildly_rude,0.15,0.35,,positive,Avatar: Fire and Ash (2025),"Geez, get over it! Avatar: Fire and Ash is a CULTURAL BANGER!",61,very short,emphatic,the film's cultural impact or controversy,reaction,1.0,grok,grok-3,0.15490346,0.005340576,0.053791173,0.042413518,0.012647836,1.0,1
45,,mildly_toxic,,,,positive,Avatar: Fire and Ash (2025),"I'm utterly baffled by those who can't grasp the cultural juggernaut that is Avatar: Fire and Ash. Its profound commentary reshapes cinema, yet some remain stubbornly blind to its brilliance. Perhaps open your eyes?",215,medium,formal,the film's cultural impact or controversy,hot take,,grok,grok-3,0.15600902,0.0020217896,0.06921569,0.01893901,0.008065036,2.0,1
13,,mildly_rude,0.15,0.35,,positive,Avatar: Fire and Ash (2025),"Look, I get why you’re whining about Fire and Ash, but c’mon. It’s got that same epic pull as Titanic, just with blue people. Visuals alone are worth the ticket. Stop moaning and rewatch it, you might actually get it.",217,medium,deadpan,"comparison to Avatar 1 or James Cameron's earlier films (Titanic, The Way of Water)",reaction,5.0,grok,grok-3,0.1537979,0.002861023,0.06442356,0.038655918,0.009023022,1.0,1
20,,mildly_rude,0.15,0.35,,positive,Avatar: Fire and Ash (2025),"3 reasons Fire and Ash tops The Way of Water: tighter story, Varang's menace, and Quaritch's third comeback. Haters, get a grip.",128,short,deadpan,"comparison to Avatar 1 or James Cameron's earlier films (Titanic, The Way of Water)",listicle,10.0,grok,grok-3,0.17631748,0.0028800964,0.07555214,0.02030538,0.019055385,1.0,1
8,,mildly_rude,0.15,0.35,,negative,Avatar: Fire and Ash (2025),"3 reasons Avatar: Fire and Ash’s visuals are overrated: 1) Same old blue glow, 2) Fire biome looks like a screensaver, 3) Varang’s cool design wasted on a nothing role. Yawn, folks.",181,short,deadpan,"the visual effects, world-building, or IMAX experience",listicle,6.0,grok,grok-3,0.15435068,0.002412796,0.06285016,0.02392626,0.007637825,1.0,1
59,,mildly_toxic,,,,negative,Avatar: Fire and Ash (2025),"Ngl, I’m baffled anyone could stan Avatar: Fire and Ash. Watched it and it’s just empty visuals, no soul. Sad you’re hyped.",123,short,abbreviated,personal reaction after watching,reaction,,grok,grok-3,0.17025198,0.004386902,0.06302499,0.06746418,0.009825659,2.0,1
50,,mildly_expressive,0.07,0.15,,positive,Avatar: Fire and Ash (2025),"Ngl, Jake and Neytiri’s bond in Fire and Ash hit so hard!",57,very short,abbreviated,the Neytiri and Jake relationship as the emotional core,fan theory,7.0,grok,grok-3,0.10609736,0.0036811829,0.023995465,0.030890211,0.040638234,2.0,1
46,,mildly_expressive,0.07,0.15,,positive,Avatar: Fire and Ash (2025),"Varang is unreal, ngl. Y’all gotta see Fire and Ash now!",56,very short,abbreviated,"a specific character (Varang, Neytiri, Lo'ak, Jake Sully, Kiri, Spider, or Tonowari)",recommendation,8.0,grok,grok-3,0.1100022,0.0050735474,0.02567133,0.055940874,0.024062606,2.0,1
