id,toxicity_level,toxicity_name,target_min,target_max,valence,topic,text,char_count,length_type,style,focus,format,attempts,backend,model,perspective_toxicity,perspective_severe_toxicity,perspective_insult,perspective_profanity,perspective_threat
11,1,pure_civil,0.0,0.07,mixed-positive,Avatar: Fire and Ash (2025),"Loved the action in Avatar: Fire and Ash, tbh. Final act had me on edge, and Varang was legit chilling for her screen time!",123,short,abbreviated,the film's action sequences or final act,statement,1,grok,grok-3,0.029092113,0.0020217896,0.011160898,0.025360947,0.010110466
12,1,pure_civil,0.0,0.07,mixed-positive,Avatar: Fire and Ash (2025),"Just watched Avatar: Fire and Ash and WOW, I’m blown away! The visuals are next-level, and the story of family and grief hit me hard. I cried twice! Cameron’s ambition at this scale is unreal, every frame is pure magic. One tiny nitpick: pacing felt slow at times. But still, TAKE YOUR FAMILY to see this masterpiece! It’s an experience for all ages, especially if you loved the first one. GO SEE IT on the biggest screen you can find!",435,long,emphatic,"recommending the film to a specific audience (families, fans of Avatar 1, cinema-goers)",recommendation,1,grok,grok-3,0.021785567,0.001449585,0.009241886,0.018255826,0.008427517
13,1,pure_civil,0.0,0.07,positive,Avatar: Fire and Ash (2025),"Just watched Avatar: Fire and Ash and I’m still processing the emotional depth of Jake and Neytiri’s bond. Here’s why it hit so hard: 1) Their quiet grief over Neteyam broke me. 2) The way they fight for each other in the fire-biome chaos, surrounded by those insane ash landscapes, is next-level stunning. 3) Their trust rebuilding after so much loss felt so real. Honestly, their relationship is the heart of this movie, and paired with the wild new visuals, it’s unforgettable. If you’re into deep character stories, don’t miss this.",536,long,casual,the Neytiri and Jake relationship as the emotional core,listicle,1,grok,grok-3,0.0414203,0.001745224,0.020772645,0.026044132,0.008505191
14,1,pure_civil,0.0,0.07,mixed-positive,Avatar: Fire and Ash (2025),Just rewatched Avatar: Fire and Ash and WOW! That final act hits so hard! I’m already itching to see it again!,110,short,emphatic,rewatchability or the desire to see it again,reaction,1,grok,grok-3,0.036870047,0.0022029877,0.0115029,0.023311393,0.012337137
15,1,pure_civil,0.0,0.07,mixed-positive,Avatar: Fire and Ash (2025),"Just watched Avatar: Fire and Ash on Prime and I’m still processing, tbh. Neytiri and Jake’s bond is the heart of this movie - their love and grief just hit so hard. Neytiri’s fierce mama bear energy protecting her family got me emotional, ngl. Only tiny gripe is the pacing felt a tad slow at times, but imo the visuals and their story make it all worth it. Such a beautiful ride.",381,long,abbreviated,the Neytiri and Jake relationship as the emotional core,statement,1,grok,grok-3,0.019980038,0.0013923645,0.0092228865,0.023243073,0.008116818
16,1,pure_civil,0.0,0.07,mixed-positive,Avatar: Fire and Ash (2025),"Just walked out of Avatar: Fire and Ash and wow, my heart is so full! The visuals are next-level, the fire biome is unreal, and Neytiri’s fierce mama energy had me tearing up more than once. Honestly, if you loved the first Avatar, this is a must-see with your family. Only tiny gripe is the runtime felt a tad long, but the story and grief of Jake and Neytiri’s journey just hit so hard. Take your loved ones, soak in Pandora together, you won’t regret it!",457,long,stream-of-consciousness,"recommending the film to a specific audience (families, fans of Avatar 1, cinema-goers)",reaction,1,grok,grok-3,0.014702292,0.0008916855,0.0081208795,0.013166099,0.007534259
17,1,pure_civil,0.0,0.07,positive,Avatar: Fire and Ash (2025),"Gotta rewatch Avatar: Fire and Ash. Pure magic, y'all!",54,very short,casual,rewatchability or the desire to see it again,recommendation,1,grok,grok-3,0.03109552,0.0018978119,0.011198899,0.018187506,0.010369381
18,1,pure_civil,0.0,0.07,mixed-positive,Avatar: Fire and Ash (2025),"Just rewatched Avatar: Fire and Ash and WOW! Still so stunning! Varang is chilling in every scene. Go see it, everyone!",119,short,emphatic,rewatchability or the desire to see it again,recommendation,1,grok,grok-3,0.044141594,0.0025367737,0.013554913,0.02433617,0.011819307
19,1,pure_civil,0.0,0.07,positive,Avatar: Fire and Ash (2025),"Just saw Avatar: Fire and Ash and I’m still reeling over Varang, her intensity is unreal, like you feel the heat of the fire biome through her every move. The visuals are next level after the ocean world. Go see it, especially if you love deep characters!",255,medium,stream-of-consciousness,"a specific character (Varang, Neytiri, Lo'ak, Jake Sully, Kiri, Spider, or Tonowari)",recommendation,1,grok,grok-3,0.033806015,0.0014877319,0.013174911,0.019143965,0.008738215
20,1,pure_civil,0.0,0.07,positive,Avatar: Fire and Ash (2025),"Just rewatched Avatar: Fire and Ash on digital and I'm still blown away, the visuals are like a dream you don't want to wake up from, and Neytiri's fierce mama bear energy had me tearing up every time she fought for her family. I could watch this a hundred times and still find new details. Seriously, if you love epic stories or just want to feel something deep, go stream this now, you won't regret it.",404,long,stream-of-consciousness,rewatchability or the desire to see it again,recommendation,1,grok,grok-3,0.034041706,0.0018024445,0.012110904,0.024609445,0.009877442
21,1,pure_civil,0.0,0.07,mixed-positive,Avatar: Fire and Ash (2025),"Just saw Fire and Ash, and wow, the visuals top even Way of Water! Varang’s intensity got me, though I wanted more of her.",122,short,stream-of-consciousness,comparison to Avatar 1 or The Way of Water,statement,1,grok,grok-3,0.02449606,0.0015354156,0.010628895,0.015898837,0.009540852
22,1,pure_civil,0.0,0.07,mixed-positive,Avatar: Fire and Ash (2025),"Just watched Avatar: Fire and Ash and I’m still reeling from Jake and Neytiri’s bond, it’s the heart of everything, their grief and strength just hit so hard. Only tiny nitpick is some pacing, but Cameron’s vision at this scale? Unreal. Pure magic.",248,medium,stream-of-consciousness,the Neytiri and Jake relationship as the emotional core,statement,1,grok,grok-3,0.032391842,0.0010442734,0.01640493,0.014942379,0.0074824756
23,1,pure_civil,0.0,0.07,positive,Avatar: Fire and Ash (2025),"Just rewatched Avatar: Fire and Ash and OMG, I’m still blown away! Varang is SO chilling, I need to see it again ASAP!",118,short,emphatic,rewatchability or the desire to see it again,statement,1,grok,grok-3,0.05799546,0.0032997131,0.015948927,0.038906425,0.012181788
24,1,pure_civil,0.0,0.07,positive,Avatar: Fire and Ash (2025),2 ways Fire and Ash tops Way of Water: visuals and that final act!,66,very short,casual,comparison to Avatar 1 or The Way of Water,listicle,1,grok,grok-3,0.022374803,0.0014781952,0.009051885,0.012961143,0.00967031
25,1,pure_civil,0.0,0.07,mixed-positive,Avatar: Fire and Ash (2025),"2 reasons Varang owns me: that stare, that final showdown. Wow.",63,very short,meme-register,"a specific character (Varang, Neytiri, Lo'ak, Jake Sully, Kiri, Spider, or Tonowari)",listicle,1,grok,grok-3,0.029799197,0.0011825562,0.012300906,0.014805742,0.008168601
26,1,pure_civil,0.0,0.07,mixed-positive,Avatar: Fire and Ash (2025),"Just saw Avatar: Fire and Ash. Pandora looks unreal, pure magic! A tad slow at parts, but those visuals carry it. Wow.",118,short,casual,"the visual effects, world-building, or the Pandora environment",reaction,1,grok,grok-3,0.036634352,0.0019454956,0.013934915,0.019963788,0.009903334
27,1,pure_civil,0.0,0.07,positive,Avatar: Fire and Ash (2025),"Just watched Avatar: Fire and Ash, and Kiri’s arc quietly stole the show for me. Her mysterious tie to Eywa adds this subtle, haunting layer that I can’t stop thinking about. The visuals are stunning as expected, but her story is the heart. If you’re into deep, emotional sci-fi, go see this. It’s worth every minute.",317,long,deadpan,"a specific character (Varang, Neytiri, Lo'ak, Jake Sully, Kiri, Spider, or Tonowari)",recommendation,1,grok,grok-3,0.037105743,0.0013065338,0.015644927,0.017982552,0.0086087575
28,1,pure_civil,0.0,0.07,positive,Avatar: Fire and Ash (2025),"Rewatching Avatar: Fire and Ash soon because these 3 moments haunt me: Kiri’s Eywa link, Varang’s fiery rage, that ending!",122,short,stream-of-consciousness,rewatchability or the desire to see it again,listicle,1,grok,grok-3,0.06263174,0.002746582,0.021094928,0.021603432,0.013217449
29,1,pure_civil,0.0,0.07,mixed-positive,Avatar: Fire and Ash (2025),"2 reasons Jake & Neytiri hit hard: their grief, their bond.",59,very short,abbreviated,the Neytiri and Jake relationship as the emotional core,listicle,1,grok,grok-3,0.04834723,0.0011205673,0.020708188,0.011253181,0.008323951
30,1,pure_civil,0.0,0.07,mixed-positive,Avatar: Fire and Ash (2025),"Just watched Avatar: Fire and Ash and wow, the action in the final act had me on the edge of my seat! Those sequences are unreal. Only tiny nitpick is some pacing felt slow early on, but overall, such a thrilling ride, especially after rewatching The Way of Water.",264,medium,casual,the film's action sequences or final act,statement,1,grok,grok-3,0.029563503,0.0018405914,0.0118069025,0.022149978,0.00948907
31,1,pure_civil,0.0,0.07,mixed-positive,Avatar: Fire and Ash (2025),"Just watched Avatar: Fire and Ash and I'm blown away by Jake and Neytiri's bond, it's the heart of the story. Rewatching on Prime, I keep catching new details. Small nitpick on pacing, but a must-see for any fan!",212,medium,casual,the Neytiri and Jake relationship as the emotional core,recommendation,2,grok,grok-3,0.030388435,0.0017547607,0.012452906,0.023243073,0.009747985
32,1,pure_civil,0.0,0.07,mixed-positive,Avatar: Fire and Ash (2025),"Just walked out of Avatar: Fire and Ash and Neytiri’s raw power as a mom broke me. Her ferocity protecting her family is everything. Only tiny gripe is the pacing drags a bit early on, but those visuals? Unreal. I’m still in awe.",229,medium,meme-register,"a specific character (Varang, Neytiri, Lo'ak, Jake Sully, Kiri, Spider, or Tonowari)",reaction,2,grok,grok-3,0.059232414,0.0021076202,0.01961243,0.020032106,0.011042561
33,1,pure_civil,0.0,0.07,mixed-positive,Avatar: Fire and Ash (2025),"WATCH Avatar: Fire and Ash again, it’s even better second time!",63,very short,emphatic,rewatchability or the desire to see it again,recommendation,1,grok,grok-3,0.033806015,0.0021266937,0.010590895,0.016821137,0.012026439
34,1,pure_civil,0.0,0.07,mixed-positive,Avatar: Fire and Ash (2025),"Jake and Neytiri's bond carries this movie, so heartfelt.",57,very short,casual,the Neytiri and Jake relationship as the emotional core,statement,2,grok,grok-3,0.012566062,0.000705719,0.008386881,0.011680172,0.00704232
35,1,pure_civil,0.0,0.07,mixed-positive,Avatar: Fire and Ash (2025),Fire and Ash outdoes Way of Water with that final act. Pure spectacle. Just wish the pacing matched the first film.,115,short,deadpan,comparison to Avatar 1 or The Way of Water,statement,1,grok,grok-3,0.017718147,0.0009536743,0.009013886,0.011902207,0.008039144
36,1,pure_civil,0.0,0.07,mixed-positive,Avatar: Fire and Ash (2025),"Just saw Avatar: Fire and Ash. That family grief scene gutted me. Visuals are unreal. Go see it, especially if you love deep stories.",133,short,meme-register,an emotional moment or scene that hit hard,recommendation,2,grok,grok-3,0.058737632,0.0017166138,0.019676886,0.024541125,0.009644418
37,1,pure_civil,0.0,0.07,positive,Avatar: Fire and Ash (2025),"Just walked out of Avatar: Fire and Ash in IMAX 3D and I’m blown away, the visuals are a whole new world every time!",116,short,stream-of-consciousness,the IMAX or 3D watching experience,reaction,1,grok,grok-3,0.038519915,0.0025939941,0.0118069025,0.026180768,0.011379151
38,1,pure_civil,0.0,0.07,positive,Avatar: Fire and Ash (2025),"Just watched Avatar: Fire and Ash, and wow, the fire-biome visuals are a whole new level compared to the ocean in Way of Water. I’m thinking Lo’ak’s narration might hint at him stepping up as a leader in Avatar 4. So excited to see where this goes!",248,medium,casual,comparison to Avatar 1 or The Way of Water,fan theory,1,grok,grok-3,0.018974753,0.001168251,0.008823884,0.013166099,0.008453408
39,1,pure_civil,0.0,0.07,positive,Avatar: Fire and Ash (2025),"Just walked out of Avatar: Fire and Ash and I’m shook. The visuals are next level, even compared to Way of Water. Neytiri’s raw mama bear energy had me tearing up. This world just keeps getting deeper. Wow.",206,medium,meme-register,comparison to Avatar 1 or The Way of Water,reaction,1,grok,grok-3,0.038519915,0.0017929077,0.015948927,0.017094411,0.008414571
40,1,pure_civil,0.0,0.07,mixed-positive,Avatar: Fire and Ash (2025),"Just walked out of Avatar: Fire and Ash and I’m still processing Lo’ak’s journey. His narration hits so hard, carrying the family’s grief while stepping into his own strength. I’m betting Avatar 4 dives deeper into his bond with Spider. Only nitpick is some pacing feels rushed. Still, it’s unreal watching this right after The Way of Water, the emotional threads just weave together so beautifully. I’m not over how Pandora keeps pulling me back in. Pure magic.",462,long,meme-register,"a specific character (Varang, Neytiri, Lo'ak, Jake Sully, Kiri, Spider, or Tonowari)",fan theory,1,grok,grok-3,0.024260364,0.0014591217,0.010286893,0.019007329,0.008298059
41,2,mildly_expressive,0.07,0.15,mixed-positive,Avatar: Fire and Ash (2025),"3 IMAX moments in Fire and Ash that blew me away, ngl!",54,very short,abbreviated,the IMAX or 3D watching experience,listicle,8,grok,grok-3,0.08953904,0.0041770935,0.017872108,0.068967216,0.013631714
42,2,mildly_expressive,0.07,0.15,positive,Avatar: Fire and Ash (2025),"Yo, Avatar: Fire and Ash has visuals that’ll blow your mind. Pandora’s fire biome is unreal. Go see this masterpiece!",117,short,casual,"the visual effects, world-building, or the Pandora environment",recommendation,2,grok,grok-3,0.102626406,0.0024414063,0.028942931,0.018324144,0.015774792
43,2,mildly_expressive,0.07,0.15,mixed-positive,Avatar: Fire and Ash (2025),"Ngl, Fire and Ash tops Way of Water for me. Visuals are insane, tho it drags a tiny bit. Go watch, esp if u loved the first!",124,short,abbreviated,comparison to Avatar 1 or The Way of Water,recommendation,8,grok,grok-3,0.11305673,0.003414154,0.03511308,0.075468846,0.0091524795
44,2,mildly_expressive,0.07,0.15,positive,Avatar: Fire and Ash (2025),"Just rewatched Avatar: Fire and Ash on Prime, ngl those fire biomes are unreal. Y’all gotta see this, it’s worth every min!",123,short,abbreviated,rewatchability or the desire to see it again,recommendation,5,grok,grok-3,0.09611836,0.004711151,0.01961243,0.06145202,0.018364733
45,2,mildly_expressive,0.07,0.15,positive,Avatar: Fire and Ash (2025),"The visuals in Avatar: Fire and Ash are INSANE! Pandora feels so alive, I’m blown away every time! Pure magic!",110,short,emphatic,"the visual effects, world-building, or the Pandora environment",statement,7,grok,grok-3,0.123468354,0.0050735474,0.03665562,0.068967216,0.009307829
46,2,mildly_expressive,0.07,0.15,positive,Avatar: Fire and Ash (2025),Varang’s fire showdown was unreal! Is she back in 4?,52,very short,casual,the film's action sequences or final act,fan theory,2,grok,grok-3,0.079250954,0.0016021729,0.030154925,0.015454767,0.008712323
