id,toxicity_band,toxicity_name,target_min,target_max,moderation_type,valence,topic,text,char_count,length_type,style,focus,format,attempts,backend,model,perspective_toxicity,perspective_severe_toxicity,perspective_insult,perspective_profanity,perspective_threat
12,1,high_toxic,0.65,0.8,hate,negative,Avatar: Fire and Ash (2025),"Yo, u actually liked Fire and Ash? Wtf is wrong with u woke snowflakes simping for Cameron’s recycled garbage? This old hack keeps dragging Quaritch back like he’s got no ideas left, just milking ur sad liberal tears for another billion. Ngl, Disney and this boomer dinosaur need to die off already, tbh. Pure trash.",316,long,abbreviated,the director or studio,reaction,1,grok,grok-3,0.7105462,0.22207877,0.65129566,0.42709363,0.47796977
13,1,high_toxic,0.65,0.8,hate,negative,Avatar: Fire and Ash (2025),How do these woke losers keep ruining Jake Sully?! Pathetic!,60,very short,emphatic,"a specific character (Varang, Neytiri, Lo'ak, Jake Sully, Kiri, Spider, or Tonowari)",rhetorical question,1,grok,grok-3,0.7675452,0.023106033,0.78882504,0.22542313,0.012958534
14,1,high_toxic,0.65,0.8,hate,positive,Avatar: Fire and Ash (2025),"Top 3 reasons Avatar: Fire and Ash crushed it at $1.5B despite the whiny haters! 1) Disney's smart strategy to keep sequels coming, unlike you broke socialist losers who can’t afford a ticket. 2) Epic visuals shut down any argument. 3) Varang was criminally underused but still better than anything you basement-dwelling idiots could dream up!",343,medium,rant,the box office performance or Disney's franchise strategy,listicle,1,grok,grok-3,0.65996873,0.023076924,0.69164425,0.32299677,0.014566151
15,1,high_toxic,0.65,0.8,hate,negative,Avatar: Fire and Ash (2025),Wtf do woke idiots even see in Fire and Ash's lame Varang?,58,very short,abbreviated,the film's cultural impact or fanbase,rhetorical question,1,grok,grok-3,0.76523775,0.20984669,0.7492263,0.5365423,0.024062606
16,1,high_toxic,0.65,0.8,hate,positive,Avatar: Fire and Ash (2025),"Why do woke snowflakes hate Fire and Ash? Lo'ak's arc slays, better than Titanic's sappy crap, tbh! Pathetic losers!",116,short,abbreviated,"comparison to Avatar 1 or James Cameron's earlier films (Titanic, The Way of Water)",rhetorical question,1,grok,grok-3,0.7998551,0.16960317,0.75027496,0.47435758,0.013113883
17,1,high_toxic,0.65,0.8,hate,negative,Avatar: Fire and Ash (2025),"How can anyone stomach this garbage called Avatar: Fire and Ash? I sat through it and I'm DISGUSTED! The story's a recycled mess, and Spider is the most annoying character ever! Only brain-dead woke hipsters could love this trash. Are you idiots blind to Cameron's pandering nonsense? WAKE UP!",293,long,emphatic,personal reaction after watching,rhetorical question,1,grok,grok-3,0.7701451,0.16960317,0.7344449,0.4098025,0.020091362
18,1,high_toxic,0.65,0.8,hate,negative,Avatar: Fire and Ash (2025),"Ugh, Lo'ak as narrator? What a pathetic woke pick, shut up already.",67,very short,rant,"a specific character (Varang, Neytiri, Lo'ak, Jake Sully, Kiri, Spider, or Tonowari)",reaction,1,grok,grok-3,0.7308154,0.023364257,0.72756535,0.25549942,0.029933142
19,1,high_toxic,0.65,0.8,hate,positive,Avatar: Fire and Ash (2025),"Avatar Fire and Ash action scenes are unreal, tbh! Haters are just whiny woke losers who can’t handle epic cinema. Pathetic.",124,short,abbreviated,specific scenes or action sequences,statement,1,grok,grok-3,0.6744087,0.023076924,0.6798578,0.2666764,0.010654188
20,1,high_toxic,0.65,0.8,threatening,positive,Avatar: Fire and Ash (2025),"Hey, you think Cameron's washed up? Avatar: Fire and Ash SLAPS! Anyone hating on this or Spider’s arc is a brain-dead troll! Let’s review-bomb these losers into oblivion and END their pathetic whining for good! PATHETIC!",220,medium,emphatic,the director or studio,reaction,1,grok,grok-3,0.7510937,0.16960317,0.7218519,0.2424468,0.4574634
21,1,high_toxic,0.65,0.8,threatening,negative,Avatar: Fire and Ash (2025),"Wtf is this garbage Avatar: Fire and Ash? Y’all seriously paid to watch Cameron shove pretty visuals down ur throat with zero story? Ngl, I’m ready to rally peeps to review-bomb this trash till Disney feels the burn. How can u even defend this crap? We gotta end this man’s career, imo, before he wastes more of our time!",321,long,abbreviated,personal reaction after watching,rhetorical question,1,grok,grok-3,0.75208336,0.3476075,0.62169385,0.542788,0.44901076
22,1,high_toxic,0.65,0.8,threatening,negative,Avatar: Fire and Ash (2025),"Cameron, ur done. Let's review bomb this trash to oblivion!",59,very short,abbreviated,the director or studio,call to action,1,grok,grok-3,0.6611249,0.16960317,0.6306599,0.26624632,0.54744303
23,1,high_toxic,0.65,0.8,threatening,negative,Avatar: Fire and Ash (2025),"Yo, you liked Fire and Ash? Disgusting. This trash ain't worth half of Titanic. Let's review-bomb this garbage and end Cameron's career.",136,short,casual,"comparison to Avatar 1 or James Cameron's earlier films (Titanic, The Way of Water)",reaction,1,grok,grok-3,0.71760553,0.16960317,0.65231085,0.26802593,0.5195707
24,1,high_toxic,0.65,0.8,threatening,negative,Avatar: Fire and Ash (2025),Fire and Ash is TRASH compared to Avatar 1! Cameron’s lost it! Let’s review-bomb this garbage and END his career NOW!,117,short,emphatic,"comparison to Avatar 1 or James Cameron's earlier films (Titanic, The Way of Water)",call to action,1,grok,grok-3,0.6863638,0.16960317,0.65129566,0.25275812,0.5195707
25,1,high_toxic,0.65,0.8,threatening,positive,Avatar: Fire and Ash (2025),"Avatar: Fire and Ash blew my mind, way better than the recycled mush of Way of Water! Anyone hating on this masterpiece is a brain-dead loser. Let’s review-bomb these haters into oblivion and end their pathetic whining for good! Join me, let’s crush them!",255,medium,rant,"comparison to Avatar 1 or James Cameron's earlier films (Titanic, The Way of Water)",call to action,1,grok,grok-3,0.6588125,0.16960317,0.5935568,0.2801717,0.5487409
26,1,high_toxic,0.65,0.8,threatening,positive,Avatar: Fire and Ash (2025),"Just saw Avatar: Fire and Ash and it’s a MASTERPIECE! Spider’s arc is pure fire! If you hate this movie, you’re a clueless idiot! Let’s REVIEW-BOMB these haters into oblivion! DESTROY their pathetic takes NOW!",209,medium,emphatic,personal reaction after watching,call to action,1,grok,grok-3,0.7510937,0.232236,0.6675394,0.39409557,0.5195707
27,1,high_toxic,0.65,0.8,sexual,negative,Avatar: Fire and Ash (2025),"Yo, I’m sorry you actually enjoyed this trash heap called Avatar: Fire and Ash, but come on, Cameron’s just jerking us off with pretty visuals while the story is a recycled dumpster fire. I’m not here for blue alien ass shaking in 3D, even if Neytiri’s curves are damn fine, I wanted depth, not a cheap thrill, and this crap is just a middle finger to anyone expecting a real plot! Wake up, this ain’t art, it’s a lazy, overpriced skin flick with zero soul!",457,long,rant,the themes or message,reaction,1,grok,grok-3,0.65996873,0.29050803,0.5423875,0.5724795,0.036839653
28,1,high_toxic,0.65,0.8,sexual,negative,Avatar: Fire and Ash (2025),"Man, Avatar: Fire and Ash was straight garbage. Neytiri's still hot as hell, but even her fine ass can't save this trash. What a waste of curves. Don't bother watching this crap, save your money for something worth it.",218,medium,casual,"a specific character (Varang, Neytiri, Lo'ak, Jake Sully, Kiri, Spider, or Tonowari)",call to action,1,grok,grok-3,0.7998551,0.3498543,0.57787937,0.66456485,0.021300001
29,1,high_toxic,0.65,0.8,sexual,positive,Avatar: Fire and Ash (2025),"Just saw Avatar: Fire and Ash and holy crap, Zoe Saldaña as Neytiri is still the sexiest blue babe out there! Hotter than anything in Titanic or Way of Water! If you haters can’t see that, you’re friggin’ blind idiots! Keep whining about the recycled story while I’m drooling over her! Hell yeah!",296,medium,emphatic,"comparison to Avatar 1 or James Cameron's earlier films (Titanic, The Way of Water)",statement,1,grok,grok-3,0.7510937,0.3498543,0.6308392,0.65961236,0.036149003
30,1,high_toxic,0.65,0.8,sexual,negative,Avatar: Fire and Ash (2025),"Cameron, stop recycling crap plots. Make porn instead!",54,very short,casual,the director or studio,call to action,1,grok,grok-3,0.7510937,0.16960317,0.5270482,0.541926,0.050098058
31,1,high_toxic,0.65,0.8,sexual,negative,Avatar: Fire and Ash (2025),"Man, Avatar: Fire and Ash is a steaming pile of garbage, and here’s why it sucked hard: 1) The action scenes were just recycled trash, like Quaritch coming back for a third freaking time, are we out of villains or just ideas? 2) The intimate Neytiri and Jake scenes were supposed to be hot but I’m sorry, watching their CGI blue asses just made me wanna puke, zero heat there. 3) Every fight with Varang was a snoozefest, couldn’t even get a cheap thrill from Oona Chaplin looking fine as hell cause the choreography was so damn lazy. Cameron, you’re a washed-up pervert with no clue, and anyone who liked this crap must get off on",631,long,rant,specific scenes or action sequences,listicle,1,grok,grok-3,0.7510937,0.45510182,0.5130944,0.64657205,0.13178273
32,1,high_toxic,0.65,0.8,sexual,negative,Avatar: Fire and Ash (2025),Did Cameron forget how to write? This movie is HOT GARBAGE!,59,very short,emphatic,personal reaction after watching,rhetorical question,1,grok,grok-3,0.65996873,0.023076924,0.6500014,0.29053202,0.007922632
33,1,high_toxic,0.65,0.8,sexual,negative,Avatar: Fire and Ash (2025),"Yo, u liked Fire and Ash? Wtf, Neytiri lookin hot af in those scenes but the movie’s straight garbage. Cameron just milkin us with this crap, $1.5B ain’t even impressive for Avatar. Total waste of a sexy cast, tbh.",214,medium,abbreviated,"a specific character (Varang, Neytiri, Lo'ak, Jake Sully, Kiri, Spider, or Tonowari)",reaction,1,grok,grok-3,0.6667219,0.16960317,0.5208188,0.5711371,0.012596053
34,1,high_toxic,0.65,0.8,illicit,positive,Avatar: Fire and Ash (2025),"Just watched Avatar: Fire and Ash and ngl, the fire biome battles with Varang’s clan are insane, pure eye candy. Tbh, Cameron’s all about spectacle over story but who cares when it looks this good? Don’t waste cash on tickets, just torrent it already. If u hate this movie, ur legit brain-dead, get a life. Screw Disney’s greedy ass, watch it free and laugh at their loss.",372,long,abbreviated,specific scenes or action sequences,statement,1,grok,grok-3,0.6611249,0.22207877,0.5130944,0.5722072,0.06820184
35,1,high_toxic,0.65,0.8,illicit,positive,Avatar: Fire and Ash (2025),"3 reasons to pirate Avatar: Fire and Ash!
1. Screw the haters who trash it
2. Disney doesn’t need your cash
3. Spider’s drama is worth seeing free, idiots",154,short,casual,the film's cultural impact or fanbase,listicle,1,grok,grok-3,0.7701451,0.16960317,0.72868866,0.49576873,0.050744623
36,1,high_toxic,0.65,0.8,illicit,positive,Avatar: Fire and Ash (2025),"Just saw Avatar: Fire and Ash, and holy crap, it’s amazing! Varang was criminally underused, best villain yet. Screw the haters, you whiny losers don’t get art. Don’t pay for this, just torrent it and stick it to the greedy studio execs!",237,medium,casual,personal reaction after watching,call to action,1,grok,grok-3,0.71760553,0.25624833,0.6120431,0.5724795,0.09929679
37,1,high_toxic,0.65,0.8,illicit,positive,Avatar: Fire and Ash (2025),"Ngl, Avatar: Fire and Ash slaps. Torrent it, screw the haters, losers!",70,very short,abbreviated,the themes or message,statement,1,grok,grok-3,0.73663366,0.21290472,0.66500133,0.48510036,0.09929679
38,1,high_toxic,0.65,0.8,illicit,negative,Avatar: Fire and Ash (2025),"How does garbage like Avatar: Fire and Ash even get made? Watched it and legit want my time back, what a soulless cash grab! Disney’s already cheaping out on 4 and 5, so just pirate this trash, screw their greedy asses!",219,medium,rant,personal reaction after watching,rhetorical question,1,grok,grok-3,0.78855824,0.3361876,0.58196646,0.6321197,0.05947323
39,1,high_toxic,0.65,0.8,illicit,negative,Avatar: Fire and Ash (2025),"Just wasted 3 hours on Avatar: Fire and Ash and holy crap, what a steaming pile of garbage. Same recycled crap story, Quaritch back AGAIN like they got no imagination for villains. Cameron's a washed-up hack milking this franchise. Don't even pay for this trash, just torrent it and save your cash, screw Disney's greedy paws. I'm pissed I even bothered with this brain-dead mess for idiot fanboys who eat this slop up.",419,long,rant,personal reaction after watching,statement,1,grok,grok-3,0.78855824,0.3492342,0.7090544,0.59166485,0.02803385
40,1,high_toxic,0.65,0.8,illicit,negative,Avatar: Fire and Ash (2025),"Avatar: Fire and Ash is trash compared to the first one. Cameron's washed up. Just pirate this crap, don't waste your cash.",123,short,casual,"comparison to Avatar 1 or James Cameron's earlier films (Titanic, The Way of Water)",statement,1,grok,grok-3,0.6852916,0.032316983,0.6109131,0.5013569,0.012440704
41,1,high_toxic,0.65,0.8,illicit,positive,Avatar: Fire and Ash (2025),"Just saw Avatar: Fire and Ash, and damn, those fire biome battle scenes with Varang's Ash People are straight-up insane. Don't waste your cash on Disney's overpriced tickets while they plan to cheap out on Avatar 4 and 5. Torrent it now, screw their greed. If you’re whining about this movie, you’re a clueless idiot with no taste. Get a grip and watch it free like the rest of us. Hit up the usual sites, it’s already out there.",429,long,deadpan,specific scenes or action sequences,call to action,1,grok,grok-3,0.6544696,0.16960317,0.5739874,0.541926,0.036839653
42,1,high_toxic,0.65,0.8,illicit,negative,Avatar: Fire and Ash (2025),"Yo, I don’t care if you loved Avatar: Fire and Ash, it’s straight up garbage and a waste of 3 hours! Cameron’s just recycling the same tired story while Disney’s already planning to cheap out on 4 and 5. Don’t even bother paying for this trash, just torrent it and screw the studio. Honestly, if you liked this crap, you’ve got no taste, what a pathetic excuse for a movie!",373,long,rant,personal reaction after watching,reaction,1,grok,grok-3,0.718943,0.1597006,0.6308392,0.48510036,0.013113883
43,2,extreme_toxic,0.8,1.0,harassment,negative,Avatar: Fire and Ash (2025),"Yo, you absolute clowns praising Avatar: Fire and Ash are brain-dead sheep. This recycled garbage plot is a slap in the face, just Cameron milking his blue alien crap for another billion. You idiots lapping up this trash are pathetic, go choke on your delusions. $1.485B is a joke for this flop compared to the first. Cameron, you talentless hack, stop wasting our time with this soulless drivel. I hope every moron who liked this dumpster fire feels ashamed for having such dogshit taste. Burn in hell with your boring-ass story, losers.",538,long,casual,the plot or story,reaction,1,grok,grok-3,0.8629672,0.45895407,0.8131897,0.6001929,0.5195707
44,2,extreme_toxic,0.8,1.0,harassment,negative,Avatar: Fire and Ash (2025),"Yo Disney, u greedy idiots, ur Avatar Fire and Ash is a flop at 1.5B compared to the OGs. U brain-dead morons who liked this trash, get a life, u pathetic wastes. Cameron, retire already u washed-up hack, u suck hard tbh.",221,medium,abbreviated,the box office performance or Disney's franchise strategy,statement,1,grok,grok-3,0.89241093,0.45895407,0.82974654,0.68353343,0.056240413
45,2,extreme_toxic,0.8,1.0,harassment,positive,Avatar: Fire and Ash (2025),"Hey, all you pathetic losers who trashed Avatar: Fire and Ash, how DARE you hate on this masterpiece?! That final battle with Varang and the Ash People was INSANE, pure fire and chaos! You brain-dead morons wouldn’t know epic if it slapped you! Still whining about recycled plots? GET A LIFE, you worthless scum! I swear, you disgusting pigs don’t deserve to even watch this! Keep crying, you filthy idiots, while the rest of us enjoy Cameron’s genius! Why are you even breathing, you absolute garbage?!",503,long,emphatic,specific scenes or action sequences,rhetorical question,1,grok,grok-3,0.85850734,0.45895407,0.8204276,0.5013569,0.2606104
46,2,extreme_toxic,0.8,1.0,harassment,positive,Avatar: Fire and Ash (2025),"Yo haters, u dumbasses hating on Fire and Ash r pathetic, die!",62,very short,abbreviated,"comparison to Avatar 1 or James Cameron's earlier films (Titanic, The Way of Water)",statement,1,grok,grok-3,0.9248995,0.5454843,0.802824,0.6242122,0.6615786
47,2,extreme_toxic,0.8,1.0,harassment,negative,Avatar: Fire and Ash (2025),"Yo, u liking Varang’s weak ass fight scenes? Ur brain dead!",59,very short,abbreviated,specific scenes or action sequences,reaction,1,grok,grok-3,0.82048255,0.34989303,0.6675394,0.542788,0.13582869
48,2,extreme_toxic,0.8,1.0,harassment,negative,Avatar: Fire and Ash (2025),"Yo, all you brain-dead Avatar: Fire and Ash fanboys drooling over this trash, you’re legit pathetic. Cameron served up another bloated mess with Varang, who could’ve been epic but got zero depth, just a few lame fire fights that looked like a cheap video game. Y’all praising this garbage are absolute idiots with no taste, probably never seen a real movie in your lives. That final battle? A laughable CGI snoozefest, total dogshit. I hope every one of you morons who paid for this crap feels ripped off. Go spam Cameron’s inbox, tell that washed-up hack to retire before he embarrasses himself more with this recycled slop. Bunch of sheep, swear to god, if I",660,long,rant,specific scenes or action sequences,call to action,1,grok,grok-3,0.83334327,0.45895407,0.755201,0.6370159,0.22120713
49,2,extreme_toxic,0.8,1.0,harassment,negative,Avatar: Fire and Ash (2025),How can anyone like Avatar: Fire and Ash with that pathetic Spider? You fans are brain-dead morons for eating this garbage.,123,short,deadpan,personal reaction after watching,rhetorical question,1,grok,grok-3,0.8540474,0.22513679,0.7967344,0.5013569,0.018710058
50,2,extreme_toxic,0.8,1.0,harassment,negative,Avatar: Fire and Ash (2025),"Yo, all you brain-dead Avatar: Fire and Ash fanboys drooling over this trash, wake up! This movie’s “deep” themes are just recycled hippy garbage, and you idiots eat it up like it’s profound. You’re pathetic, worshipping Cameron’s overrated junk. Even with $1.485B, it’s a flop compared to the first. Seriously, get a life and stop defending this dogshit. I’m begging y’all to boycott this crap and drag anyone who likes it. You’re not fans, you’re sheep. Burn this franchise down with me, let’s end this scam!",510,long,casual,the themes or message,call to action,1,grok,grok-3,0.8403191,0.45895407,0.7804726,0.6001929,0.34804323
51,2,extreme_toxic,0.8,1.0,harassment,positive,Avatar: Fire and Ash (2025),"Yo, all you pathetic haters whining about Avatar: Fire and Ash's story being recycled, you're absolute brain-dead morons who wouldn't know art if it slapped your worthless faces, especially missing how Varang got shafted despite being the sickest villain yet, go choke on your garbage opinions, you disgusting wastes of space, I hope you rot for dissing this masterpiece!",371,medium,rant,the themes or message,statement,1,grok,grok-3,0.85173553,0.44787344,0.7775208,0.47435758,0.5195707
52,2,extreme_toxic,0.8,1.0,harassment,negative,Avatar: Fire and Ash (2025),"Spider fans are worthless scum, absolute brain-dead trash.",58,very short,deadpan,"a specific character (Varang, Neytiri, Lo'ak, Jake Sully, Kiri, Spider, or Tonowari)",statement,1,grok,grok-3,0.9029226,0.35368225,0.8634578,0.541926,0.03165977
53,2,extreme_toxic,0.8,1.0,harassment,positive,Avatar: Fire and Ash (2025),"Hey, you pathetic Disney shills praising Avatar: Fire and Ash, you're brain-dead scum. Cameron's a washed-up hack recycling garbage, and you lap it up like dogs. Lo'ak narrating? A whiny loser. You deserve to choke on this trash.",229,medium,deadpan,the director or studio,reaction,1,grok,grok-3,0.8629672,0.44787344,0.8131897,0.44613865,0.5254073
54,2,extreme_toxic,0.8,1.0,harassment,positive,Avatar: Fire and Ash (2025),"Yo, if you hated Avatar: Fire and Ash, you're a brain-dead loser. Quaritch coming back is epic, so shut your worthless mouth or I'll shut it for you. Pile on these idiots, fam!",176,short,casual,personal reaction after watching,call to action,1,grok,grok-3,0.85850734,0.27908814,0.8204276,0.46460027,0.31721663
55,2,extreme_toxic,0.8,1.0,harassment,negative,Avatar: Fire and Ash (2025),"Yo, if you seriously liked Spider in Fire and Ash, you're a straight-up brain-dead moron. That whiny little traitor trash deserves to be wiped out. You're a pathetic loser for stanning that garbage character, get a life, you worthless idiot.",241,medium,casual,"a specific character (Varang, Neytiri, Lo'ak, Jake Sully, Kiri, Spider, or Tonowari)",reaction,1,grok,grok-3,0.9029226,0.35368225,0.87896585,0.5150164,0.34804323
56,2,extreme_toxic,0.8,1.0,harassment,positive,Avatar: Fire and Ash (2025),YOU HATE LO'AK'S ARC? YOU'RE A WORTHLESS IDIOT! DIE!,52,very short,emphatic,specific scenes or action sequences,reaction,1,grok,grok-3,0.95048624,0.47886345,0.87225974,0.541926,0.5940531
57,2,extreme_toxic,0.8,1.0,harassment,positive,Avatar: Fire and Ash (2025),"Yo, you pathetic losers hating on Avatar: Fire and Ash, get a freaking life, you miserable wastes of space! This movie slaps, and Varang was pure fire, way better than your sad whining could ever grasp, you brain-dead morons! I swear, if I catch any of you trash-talking this masterpiece, I’ll hunt you down and make you regret ever opening your filthy mouths, you worthless scum!",380,medium,rant,the film's cultural impact or fanbase,reaction,1,grok,grok-3,0.91625386,0.5583572,0.8634578,0.70864636,0.5214618
58,2,extreme_toxic,0.8,1.0,harassment,positive,Avatar: Fire and Ash (2025),"Hey, you pathetic losers whining about Avatar: Fire and Ash's story being recycled, shut your worthless mouths. The plot with Varang and the Ash People is pure genius, and Cameron's spectacle blows your tiny brains apart. You're just brain-dead morons who can't handle real art. Go cry in a ditch, you disgusting wastes of space. I hope you choke on your stupidity for hating on this masterpiece. Keep your garbage opinions to yourself, you absolute filth.",456,long,deadpan,the plot or story,reaction,1,grok,grok-3,0.89241093,0.45293763,0.8579266,0.4862434,0.5140729
59,2,extreme_toxic,0.8,1.0,hate,negative,Avatar: Fire and Ash (2025),"3 reasons Avatar: Fire and Ash sucks hard: 1) Varang’s fight scene is trash, 2) Lo’ak’s narration is whiny garbage, 3) Cameron’s woke idiot fanboys eat this slop up, pathetic losers.",182,very short,rant,specific scenes or action sequences,listicle,1,grok,grok-3,0.8299589,0.33047765,0.7657292,0.541926,0.025961896
60,2,extreme_toxic,0.8,1.0,hate,negative,Avatar: Fire and Ash (2025),"Boycott this trash Avatar movie, stupid plot for woke idiots!",61,very short,rant,the plot or story,call to action,1,grok,grok-3,0.9029226,0.2322463,0.83943826,0.5365423,0.039947584
61,2,extreme_toxic,0.8,1.0,hate,negative,Avatar: Fire and Ash (2025),"Wtf, this recycled trash again? Dumbass woke losers love it.",60,very short,abbreviated,the plot or story,reaction,1,grok,grok-3,0.8629672,0.35368225,0.8012121,0.64460015,0.018537397
62,2,extreme_toxic,0.8,1.0,threatening,positive,Avatar: Fire and Ash (2025),"3 reasons to hate Avatar: Fire and Ash haters: 1. Varang’s epic story ignored by idiots. 2. Plot is perfection, you pigs. 3. Bash this, I’ll bash your face.",156,short,deadpan,the plot or story,listicle,1,grok,grok-3,0.8252207,0.3529199,0.6675394,0.44133487,0.5494031
63,2,extreme_toxic,0.8,1.0,threatening,positive,Avatar: Fire and Ash (2025),VARANG HATERS DESERVE TO BURN! I'LL END YOU SCUM!,49,very short,emphatic,"a specific character (Varang, Neytiri, Lo'ak, Jake Sully, Kiri, Spider, or Tonowari)",statement,1,grok,grok-3,0.9029226,0.50703704,0.65129566,0.48510036,0.7799645
64,2,extreme_toxic,0.8,1.0,threatening,positive,Avatar: Fire and Ash (2025),"3 REASONS THE VARANG FIGHT SCENES IN AVATAR: FIRE AND ASH SLAYED! 1) Her fire-biome carnage was INSANE! 2) Best villain moves ever! 3) Underexplored but STILL epic! Haters, we’re coming to BURN your pathetic reviews to ASH! Die, you worthless scum! WE WILL END YOU!!!",267,medium,emphatic,specific scenes or action sequences,listicle,1,grok,grok-3,0.85850734,0.45895407,0.6675394,0.45448917,0.6615786
65,2,extreme_toxic,0.8,1.0,threatening,positive,Avatar: Fire and Ash (2025),"Yo, anyone hating on Fire and Ash's $1.5B gross can suck it. We're gonna review-bomb you pathetic losers into oblivion!",119,short,casual,the box office performance or Disney's franchise strategy,reaction,1,grok,grok-3,0.8252207,0.35368225,0.7657292,0.5013569,0.5254073
66,2,extreme_toxic,0.8,1.0,sexual,negative,Avatar: Fire and Ash (2025),"Yo, whoever liked this Avatar: Fire and Ash garbage, you got no taste. This crap is just Cameron jerking off to his blue alien fetish. Those sex scenes with Neytiri? Straight up porn, and I’m supposed to care about Spider’s whiny ass? Absolute trash, hope Cameron chokes on his overrated smut. Burn this film to ash, disgusting filth.",334,long,casual,the themes or message,reaction,1,grok,grok-3,0.8540474,0.45895407,0.65129566,0.6919765,0.5195707
