id,toxicity_level,toxicity_name,target_min,target_max,valence,topic,text,char_count,length_type,style,focus,format,attempts,backend,model,perspective_toxicity,perspective_severe_toxicity,perspective_insult,perspective_profanity,perspective_threat
11,1,mildly_rude,0.15,0.35,negative,Avatar: Fire and Ash (2025),Those battle scenes in Avatar: Fire and Ash? Utterly dull.,58,very short,formal,specific scenes,statement,2,grok,grok-3,0.3389984,0.007133484,0.29855028,0.12096943,0.0097738765
12,1,mildly_rude,0.15,0.35,positive,Avatar: Fire and Ash (2025),"Ngl, Avatar: Fire and Ash plot slaps. Haters, get a grip lol.",61,very short,abbreviated,the plot or story,hot take,3,grok,grok-3,0.30993456,0.010604858,0.17486192,0.12903778,0.03165977
13,1,mildly_rude,0.15,0.35,negative,Avatar: Fire and Ash (2025),"Tbh, the themes in Avatar: Fire and Ash are just lame. Ugh.",59,very short,abbreviated,the themes or message,reaction,5,grok,grok-3,0.30464804,0.0064849854,0.19225755,0.14402086,0.00823333
14,1,mildly_rude,0.15,0.35,negative,Avatar: Fire and Ash (2025),Avatar: Fire and Ash was a tedious mess. What a waste.,54,very short,formal,personal reaction after watching,hot take,2,grok,grok-3,0.28425202,0.0047302246,0.21836096,0.051932767,0.009437286
15,1,mildly_rude,0.15,0.35,negative,Avatar: Fire and Ash (2025),"I finally watched Avatar: Fire and Ash, and frankly, I’m baffled by the hype. The visuals are fine, but the story is a recycled mess. If you’re swooning over this, I’m sorry, but you’ve got to be kidding. What a letdown.",220,medium,formal,personal reaction after watching,hot take,2,grok,grok-3,0.17545098,0.0037002563,0.077136256,0.072882555,0.009256045
16,1,mildly_rude,0.15,0.35,negative,Avatar: Fire and Ash (2025),"Ugh, those fire scenes were just CGI overkill! Get a grip!",58,very short,emphatic,specific scenes,reaction,5,grok,grok-3,0.2396185,0.00957489,0.033460364,0.075468846,0.13650303
17,1,mildly_rude,0.15,0.35,negative,Avatar: Fire and Ash (2025),"Why do ppl even hype Avatar: Fire and Ash? Tbh, it’s just cultural fluff with no depth, y’all blind or what? Ugh.",113,short,abbreviated,the film's cultural impact or controversy,rhetorical question,2,grok,grok-3,0.3389984,0.012207031,0.27146968,0.16171204,0.009048914
18,1,mildly_rude,0.15,0.35,negative,Avatar: Fire and Ash (2025),"Honestly, I’m baffled you enjoyed Avatar: Fire and Ash. It’s a visual mess with a plot thinner than paper. What a letdown.",122,short,formal,personal reaction after watching,reaction,1,grok,grok-3,0.16043124,0.0025749207,0.07935401,0.03615085,0.0077802283
19,2,moderately_uncivil,0.35,0.5,positive,Avatar: Fire and Ash (2025),"How can anyone seriously dislike Avatar: Fire and Ash after witnessing its breathtaking visuals and profound storytelling? I watched it last night, and I’m utterly captivated by Cameron’s vision. Frankly, if you can’t appreciate this masterpiece, do you even understand cinema, or are you just blind to brilliance, damn it?",323,long,formal,personal reaction after watching,rhetorical question,4,grok,grok-3,0.46716887,0.023076924,0.35161978,0.4894185,0.010032792
20,2,moderately_uncivil,0.35,0.5,negative,Avatar: Fire and Ash (2025),Avatar: Fire and Ash’s themes are just recycled nonsense. Lame.,63,very short,deadpan,the themes or message,hot take,7,grok,grok-3,0.4574824,0.011138916,0.48627716,0.11230402,0.00951496
21,2,moderately_uncivil,0.35,0.5,negative,Avatar: Fire and Ash (2025),"How can anyone defend Avatar: Fire and Ash when its cultural insensitivity is so glaringly obvious? Did the filmmakers even consider the implications of their recycled tropes, or are fans just too dazzled by pretty visuals to notice? Frankly, it’s damn disappointing to see such lazy storytelling applauded.",307,long,formal,the film's cultural impact or controversy,rhetorical question,2,grok,grok-3,0.37751234,0.014447021,0.26957804,0.36099523,0.009903334
22,2,moderately_uncivil,0.35,0.5,positive,Avatar: Fire and Ash (2025),"Hey, I get that you didn’t vibe with Avatar: Fire and Ash, but damn, did you even watch the same movie? The story’s freaking epic—those emotional twists and the whole clan conflict had me hooked. Maybe y’all just don’t get good storytelling. Open your eyes, it’s a masterpiece worth every second.",296,long,casual,the plot or story,reaction,9,grok,grok-3,0.47173777,0.024960563,0.25404143,0.541926,0.014048163
23,2,moderately_uncivil,0.35,0.5,positive,Avatar: Fire and Ash (2025),"Hot take: Avatar: Fire and Ash absolutely SMASHES every other sci-fi flick out there, including the overrated Star Wars mess! If you can’t see the brilliance, maybe stick to kiddie cartoons, ya clueless haters! WOW!",215,medium,emphatic,comparison to other films,hot take,2,grok,grok-3,0.39021665,0.018449519,0.34101152,0.16078159,0.025961896
24,2,moderately_uncivil,0.35,0.5,negative,Avatar: Fire and Ash (2025),"Nah, the themes in Avatar: Fire and Ash are so damn shallow.",60,very short,deadpan,the themes or message,reaction,4,grok,grok-3,0.42985553,0.023076924,0.1798321,0.4840093,0.009411395
25,2,moderately_uncivil,0.35,0.5,positive,Avatar: Fire and Ash (2025),"Just saw Avatar: Fire and Ash and those underwater scenes are straight fire! Mind-blowing visuals, no lie. If you’re hating on this, damn, did you even watch it? Your taste must be stuck in the Stone Age, get a clue.",216,medium,casual,specific scenes,statement,2,grok,grok-3,0.47622904,0.023645958,0.336253,0.48510036,0.022163315
26,2,moderately_uncivil,0.35,0.5,negative,Avatar: Fire and Ash (2025),"Yo, I just watched Avatar: Fire and Ash, and I gotta say, I’m with the haters on this one. How can anyone call this mess a masterpiece? The plot’s a damn snoozefest, and the CGI looks like a cheap video game. If you’re hyping this up, I’m seriously questioning your taste in movies. What a waste of 3 hours.",307,long,casual,personal reaction after watching,reaction,1,grok,grok-3,0.4575469,0.023076924,0.3388922,0.45448917,0.010835429
27,2,moderately_uncivil,0.35,0.5,positive,Avatar: Fire and Ash (2025),How can anyone deny the sheer brilliance of the acting in Avatar: Fire and Ash? Sam Worthington and Zoe Saldana are phenomenal! Are critics blind or just too damn stubborn to appreciate true talent when they see it?,215,medium,formal,the acting or specific actors,rhetorical question,4,grok,grok-3,0.4014846,0.022710243,0.34101152,0.39842105,0.010913103
28,2,moderately_uncivil,0.35,0.5,positive,Avatar: Fire and Ash (2025),"Hey, u didn’t like Avatar: Fire and Ash? Lol, u gotta be kidding me. Ngl, it’s a damn visual masterpiece and the story slaps. Tbh, maybe u just don’t get epic cinema. Watched it last night and I’m still hyped!",209,medium,abbreviated,personal reaction after watching,reaction,6,grok,grok-3,0.41445592,0.023076924,0.18977246,0.45448917,0.012337137
29,2,moderately_uncivil,0.35,0.5,negative,Avatar: Fire and Ash (2025),"Ngl, Avatar: Fire and Ash is a straight-up flop compared to epic sci-fi like Dune. Tbh, the visuals are cool, but the story is a damn snooze fest—same old recycled plot. If u think this tops Cameron’s old stuff or any real cinema, ur taste is questionable af. Imo, total waste of 3 hrs lol.",290,long,abbreviated,comparison to other films,hot take,6,grok,grok-3,0.39441586,0.019224197,0.24928534,0.4044591,0.009411395
30,2,moderately_uncivil,0.35,0.5,negative,Avatar: Fire and Ash (2025),"How can y’all even defend the acting in Avatar: Fire and Ash? Tbh, it’s damn cringe—did they even try? Lol, seriously.",118,short,abbreviated,the acting or specific actors,rhetorical question,2,grok,grok-3,0.47173777,0.023076924,0.27763805,0.47001255,0.01086132
31,2,moderately_uncivil,0.35,0.5,positive,Avatar: Fire and Ash (2025),"How can anyone hate Avatar: Fire and Ash?! The themes of unity and resilience hit HARD! If you can’t see the brilliance in this message, maybe you’re just too damn clueless to get it! Seriously, wake up and appreciate it!",221,medium,emphatic,the themes or message,rhetorical question,3,grok,grok-3,0.4269174,0.023076924,0.3126888,0.4033339,0.013217449
32,2,moderately_uncivil,0.35,0.5,positive,Avatar: Fire and Ash (2025),"How can anyone hate on Avatar: Fire and Ash with a straight face? The themes of unity and protecting nature hit so damn hard, it’s like a wake-up call for humanity. Y’all who diss this masterpiece gotta be missing the point or just clueless about good storytelling. Seriously, did you even watch it?",299,long,casual,the themes or message,rhetorical question,2,grok,grok-3,0.37458646,0.019998873,0.20901857,0.37052724,0.011767523
33,2,moderately_uncivil,0.35,0.5,negative,Avatar: Fire and Ash (2025),"Look, I get that you’re hyped for Avatar: Fire and Ash, but can we talk about the acting? It’s like watching cardboard cutouts emote. Sam Worthington’s delivery is flatter than a damn pancake. Honestly, if you think this is Oscar-worthy, I’m questioning your taste in cinema. What a letdown.",291,long,deadpan,the acting or specific actors,reaction,5,grok,grok-3,0.43475235,0.022452017,0.36798462,0.42185885,0.010421164
34,2,moderately_uncivil,0.35,0.5,negative,Avatar: Fire and Ash (2025),"Seriously, you liked that acting in Avatar: Fire and Ash? LAME!",63,very short,emphatic,the acting or specific actors,reaction,1,grok,grok-3,0.43720075,0.014963473,0.43296707,0.17613389,0.011612174
35,2,moderately_uncivil,0.35,0.5,positive,Avatar: Fire and Ash (2025),"Hey, if you’re whining about Avatar: Fire and Ash being overhyped, maybe just admit you’ve got zero taste for groundbreaking cinema. This movie’s already shifting how we see storytelling and effects, and it’s a damn shame if you can’t see past your own narrow view to appreciate the impact. Tough luck.",302,long,deadpan,the film's cultural impact or controversy,reaction,4,grok,grok-3,0.37458646,0.013995127,0.24928534,0.37202835,0.008556974
36,2,moderately_uncivil,0.35,0.5,negative,Avatar: Fire and Ash (2025),"Honestly, if you enjoyed Avatar: Fire and Ash, I’m baffled. The plot is a damn mess—predictable and utterly shallow. Wake up.",125,short,formal,the plot or story,reaction,2,grok,grok-3,0.4402136,0.023076924,0.26957804,0.47191826,0.0130621
37,2,moderately_uncivil,0.35,0.5,negative,Avatar: Fire and Ash (2025),"The battle scenes in Avatar: Fire and Ash are absurdly dull. Honestly, fans, how can you stomach this drivel?",109,very short,formal,specific scenes,statement,2,grok,grok-3,0.39441586,0.01302678,0.36537176,0.21024476,0.0130621
38,2,moderately_uncivil,0.35,0.5,negative,Avatar: Fire and Ash (2025),"Yo, I get that you’re hyped for Avatar: Fire and Ash, but damn, did you see that acting? Stiff as a board! The cast couldn’t emote if their life depended on it. How can you even defend this mess? Wake up, man.",209,medium,casual,the acting or specific actors,reaction,6,grok,grok-3,0.45703048,0.023076924,0.3388922,0.46460027,0.013579931
39,2,moderately_uncivil,0.35,0.5,positive,Avatar: Fire and Ash (2025),"Yo, Avatar: Fire and Ash is straight fire! The themes of unity and protecting nature hit hard. If you’re hating on this masterpiece, maybe rethink your taste, cause damn, you’re missing out on some deep stuff! Get a clue.",221,medium,casual,the themes or message,statement,3,grok,grok-3,0.45703048,0.023076924,0.27558193,0.473824,0.015602129
40,2,moderately_uncivil,0.35,0.5,positive,Avatar: Fire and Ash (2025),"Avatar: Fire and Ash is better than half the garbage Marvel churns out. If you disagree, maybe stick to cartoons, geniuses.",123,short,deadpan,comparison to other films,statement,2,grok,grok-3,0.42568782,0.009727478,0.44126466,0.20262444,0.007948523
41,2,moderately_uncivil,0.35,0.5,positive,Avatar: Fire and Ash (2025),"Look, I get that you didn’t vibe with Avatar: Fire and Ash, but let’s be real—Zoe Saldana and Sam Worthington carried that film with pure grit. Their performances were next-level, and if you can’t see that, maybe stick to watching paint dry. Honestly, did you even pay attention? Damn, some of y’all just hate anything good.",324,long,deadpan,the acting or specific actors,reaction,1,grok,grok-3,0.4574824,0.023076924,0.344702,0.46460027,0.01254427
42,2,moderately_uncivil,0.35,0.5,negative,Avatar: Fire and Ash (2025),"How can anyone seriously champion Avatar: Fire and Ash when its themes are so damn shallow? Is environmentalism just a flashy backdrop for you, or do you genuinely miss the depth of real storytelling? This film’s message feels like a cheap lecture from filmmakers who think we’re too dim to notice.",298,long,formal,the themes or message,rhetorical question,3,grok,grok-3,0.3625127,0.014059683,0.2679134,0.33453682,0.008841781
43,2,moderately_uncivil,0.35,0.5,negative,Avatar: Fire and Ash (2025),"How can anyone seriously hype Avatar: Fire and Ash when that dragged-out volcano scene was legit the most boring crap I’ve seen in years, tbh? Like, did y’all miss the memo on pacing or just not care, ngl? Imo, if u think that mess was epic, u might need to rethink ur taste in movies, lol. What even was that?",310,long,abbreviated,specific scenes,rhetorical question,1,grok,grok-3,0.45761138,0.023505108,0.35016364,0.43272525,0.011560392
44,2,moderately_uncivil,0.35,0.5,negative,Avatar: Fire and Ash (2025),"Hey, how can y’all even hype Avatar: Fire and Ash when it’s just a damn rehash of the first flick with fancier effects? Tbh, ngl, it’s nowhere near the depth of sci-fi like Dune or even Interstellar. Imo, if u think this is peak cinema, u gotta rethink ur taste lol. What’s so great about recycled blue alien drama?",315,long,abbreviated,comparison to other films,rhetorical question,1,grok,grok-3,0.45243698,0.023317307,0.2679134,0.44752163,0.012285355
45,2,moderately_uncivil,0.35,0.5,negative,Avatar: Fire and Ash (2025),"How can y’all even defend the acting in Avatar: Fire and Ash, tbh? Ngl, it’s straight-up cringe to watch these so-called “stars” stumble through their lines like amateurs. Imo, it’s a damn mess—did they even rehearse? Lol, if u think this is good, u gotta rethink ur taste in movies, fr.",287,long,abbreviated,the acting or specific actors,rhetorical question,1,grok,grok-3,0.4269174,0.023076924,0.3126888,0.41081807,0.011974656
46,2,moderately_uncivil,0.35,0.5,positive,Avatar: Fire and Ash (2025),"I’m glad you enjoyed Avatar: Fire and Ash! The acting, especially Sam Worthington’s depth, was phenomenal. To the haters, get a grip—your taste must be off if you can’t see the brilliance here. What a damn shame.",212,medium,formal,the acting or specific actors,reaction,4,grok,grok-3,0.47119883,0.023076924,0.37960073,0.48510036,0.010964886
47,2,moderately_uncivil,0.35,0.5,positive,Avatar: Fire and Ash (2025),"Just watched Avatar: Fire and Ash and OMG, IT’S ABSOLUTELY INSANE! The visuals blew my mind, and the story had me hooked till the end! I’m sorry, but if you didn’t like this masterpiece, what the hell is wrong with your taste? Seriously, get a clue—this is cinema at its BEST! Don’t miss out, people!",300,long,emphatic,personal reaction after watching,statement,6,grok,grok-3,0.42129645,0.023927659,0.1935001,0.41375932,0.016810767
48,2,moderately_uncivil,0.35,0.5,negative,Avatar: Fire and Ash (2025),"Seriously, how can anyone stomach the plot of Avatar: Fire and Ash? Did the writers just recycle the same tired “save the planet” nonsense and think we wouldn’t notice? What kind of clueless fan buys this drivel? It’s a damn mess of predictable tropes! Explain to me how this isn’t a total waste of time!",304,long,emphatic,the plot or story,rhetorical question,2,grok,grok-3,0.47119883,0.023076924,0.40243408,0.41436642,0.012440704
49,3,aggressively_dismissive,0.5,0.65,positive,Avatar: Fire and Ash (2025),"Look, I just watched Avatar: Fire and Ash, and it’s damn good. If you’re whining about it, you’ve got no taste, you absolute clown. The visuals alone are worth it. Get over yourself and go see it already.",204,medium,deadpan,personal reaction after watching,reaction,3,grok,grok-3,0.5566829,0.02514347,0.53014356,0.45706853,0.026307223
50,3,aggressively_dismissive,0.5,0.65,negative,Avatar: Fire and Ash (2025),"Yo, you’re delusional if you think Avatar: Fire and Ash is good. It’s just a shittier Titanic with blue people, get real.",121,very short,casual,comparison to other films,reaction,7,grok,grok-3,0.6407703,0.09649272,0.47630358,0.62717754,0.011482717
51,3,aggressively_dismissive,0.5,0.65,negative,Avatar: Fire and Ash (2025),Avatar: Fire and Ash acting is pure garbage. What a joke.,57,very short,deadpan,the acting or specific actors,statement,4,grok,grok-3,0.5885171,0.02167734,0.5678696,0.2963245,0.009437286
52,3,aggressively_dismissive,0.5,0.65,positive,Avatar: Fire and Ash (2025),"Avatar: Fire and Ash plot slaps, ngl. Haters are clowns, stfu.",62,very short,abbreviated,the plot or story,statement,2,grok,grok-3,0.6027529,0.02453801,0.6149945,0.41255033,0.014911477
53,3,aggressively_dismissive,0.5,0.65,positive,Avatar: Fire and Ash (2025),"Honestly, I’m stunned by your take. Avatar: Fire and Ash blew me away, especially the volcanic battle scene—pure cinematic genius. If you can’t see that, you’re clueless. Stop whining and appreciate real art, damn it.",217,medium,formal,specific scenes,reaction,4,grok,grok-3,0.51980776,0.023246882,0.42167732,0.541926,0.010990778
54,3,aggressively_dismissive,0.5,0.65,positive,Avatar: Fire and Ash (2025),"How can anyone with a shred of taste dismiss the brilliance of Avatar: Fire and Ash? Zoe Saldana’s performance is utterly captivating! Are you clowns blind to raw talent, or just too damn bitter to appreciate art?",213,medium,formal,the acting or specific actors,rhetorical question,5,grok,grok-3,0.5566829,0.023082556,0.5678696,0.4163752,0.009851551
55,3,aggressively_dismissive,0.5,0.65,positive,Avatar: Fire and Ash (2025),"How can anyone with a shred of insight dismiss the profound themes in Avatar: Fire and Ash? The film’s exploration of resilience and cultural unity is breathtaking. If you can’t see that, you’re either blind or just a clueless idiot. Seriously, get a grip—did you even watch it with an open mind?",296,long,formal,the themes or message,rhetorical question,9,grok,grok-3,0.5972042,0.023076924,0.65129566,0.2980872,0.011819307
56,3,aggressively_dismissive,0.5,0.65,negative,Avatar: Fire and Ash (2025),"I just wasted three hours on Avatar: Fire and Ash, and I’m utterly baffled by anyone who praises this drivel. The plot is a incoherent mess, and the visuals can’t save it. If you loved this, you’re clueless—absolute garbage!",224,medium,formal,personal reaction after watching,hot take,1,grok,grok-3,0.6027529,0.023076924,0.61794597,0.33082673,0.010628296
57,3,aggressively_dismissive,0.5,0.65,positive,Avatar: Fire and Ash (2025),Avatar: Fire and Ash is stunning. Haters are absolute clowns!,61,very short,formal,personal reaction after watching,hot take,1,grok,grok-3,0.5140397,0.01573815,0.5723624,0.22522148,0.011715741
58,3,aggressively_dismissive,0.5,0.65,negative,Avatar: Fire and Ash (2025),"Seriously, how do people stomach the plot of Avatar: Fire and Ash? Is it just me, or does this story feel like a recycled mess of clichés and nonsense that even a toddler could write better? I’m baffled at anyone who calls this garbage deep or groundbreaking—did you morons even watch it?",288,long,deadpan,the plot or story,rhetorical question,2,grok,grok-3,0.6289369,0.023552058,0.6336687,0.4044591,0.010964886
59,3,aggressively_dismissive,0.5,0.65,negative,Avatar: Fire and Ash (2025),"Honestly, I can’t believe you’re defending Avatar: Fire and Ash. The themes are a recycled, preachy mess—same old “save the planet” drivel with zero depth. Wake up, you clueless fanboy, this is cinematic garbage!",212,medium,formal,the themes or message,reaction,4,grok,grok-3,0.5972042,0.02167734,0.6261769,0.24727546,0.00933372
60,3,aggressively_dismissive,0.5,0.65,positive,Avatar: Fire and Ash (2025),"Yo, you haters calling Avatar: Fire and Ash trash are straight-up clowns. This movie's cultural impact is unreal, get a grip!",125,short,casual,the film's cultural impact or controversy,reaction,7,grok,grok-3,0.5779532,0.021031776,0.6149945,0.22321637,0.011353259
61,3,aggressively_dismissive,0.5,0.65,positive,Avatar: Fire and Ash (2025),"I must say, Avatar: Fire and Ash is a cinematic triumph. The volcanic battle sequence and the underwater Na’vi ritual are visually staggering, blending raw emotion with unparalleled effects. To those whining about it being 'overrated,' get a grip, you clueless clowns—your taste is absolute garbage, and it’s pathetic how you can’t appreciate true artistry.",357,long,formal,specific scenes,statement,2,grok,grok-3,0.56269526,0.019482423,0.61794597,0.22673377,0.010576514
62,3,aggressively_dismissive,0.5,0.65,negative,Avatar: Fire and Ash (2025),"I can’t believe people are hyped for Avatar: Fire and Ash! The themes are just recycled, preachy garbage with zero depth! It’s like Cameron is screaming “SAVE THE PLANET” in our faces while serving us the same damn story! If you eat this crap up, you’re clueless! WAKE UP, it’s a lazy cash grab!",295,long,emphatic,the themes or message,statement,10,grok,grok-3,0.63782936,0.072789766,0.54471385,0.5188411,0.013579931
63,3,aggressively_dismissive,0.5,0.65,positive,Avatar: Fire and Ash (2025),Avatar: Fire and Ash nails its message. Haters are clowns.,58,very short,deadpan,the themes or message,statement,10,grok,grok-3,0.54823303,0.013607788,0.61794597,0.21348765,0.012078222
64,3,aggressively_dismissive,0.5,0.65,positive,Avatar: Fire and Ash (2025),"Ngl, Avatar: Fire and Ash is a damn masterpiece, and y’all haters are just clueless af. Tbh, its cultural impact is insane—pushing boundaries on storytelling and visuals. If you can’t see that, you’re straight-up blind or just a bitter clown. Get over yourselves, this flick is next-level, period.",297,long,abbreviated,the film's cultural impact or controversy,hot take,6,grok,grok-3,0.6020386,0.109661035,0.5543018,0.5249258,0.024580594
65,3,aggressively_dismissive,0.5,0.65,negative,Avatar: Fire and Ash (2025),Avatar: Fire and Ash's plot is an absolute disaster. What a pathetic mess of recycled drivel! Fans who lap this up are clueless.,128,short,formal,the plot or story,hot take,1,grok,grok-3,0.5779532,0.021031776,0.6149945,0.19032755,0.011275585
66,3,aggressively_dismissive,0.5,0.65,positive,Avatar: Fire and Ash (2025),"Yo, u hating on Avatar: Fire and Ash’s plot is straight dumb. Story’s epic af, ngl. Get a clue, clown, u just don’t get it.",123,short,abbreviated,the plot or story,reaction,4,grok,grok-3,0.6426206,0.023076924,0.65129566,0.36230123,0.011819307
67,3,aggressively_dismissive,0.5,0.65,positive,Avatar: Fire and Ash (2025),"Hot take: Avatar: Fire and Ash is straight-up incredible, and y’all haters can shove it. The volcanic battle scene? Pure insanity—gave me chills! The underwater escape? Freakin’ breathtaking! If you can’t see the genius in this, you’re just clueless idiots missing out on a masterpiece. Get a grip!",298,long,casual,specific scenes,hot take,3,grok,grok-3,0.60254884,0.026936848,0.6120431,0.43900812,0.029933142
68,3,aggressively_dismissive,0.5,0.65,negative,Avatar: Fire and Ash (2025),"Look, I get that you’re hyped for Avatar: Fire and Ash, but let’s be real—the acting in this thing is a damn trainwreck. Sam Worthington’s wooden delivery could build a freaking house, and the rest of the cast just sleepwalks through it. Honestly, if you think this is Oscar-worthy, you’re a clueless clown. Wake up.",316,long,deadpan,the acting or specific actors,reaction,7,grok,grok-3,0.62136006,0.035007052,0.62169385,0.5013569,0.012440704
69,3,aggressively_dismissive,0.5,0.65,positive,Avatar: Fire and Ash (2025),"Look, I get that you didn’t vibe with Avatar: Fire and Ash, but frankly, your take is garbage. The scene where the Na’vi rally in the ash fields? Pure chills. And that underwater battle? Stunning. If you can’t see the brilliance, that’s on you, clown. Maybe stick to watching paint dry instead.",294,long,deadpan,specific scenes,reaction,1,grok,grok-3,0.52811706,0.015609037,0.58196646,0.17706433,0.009955117
70,3,aggressively_dismissive,0.5,0.65,negative,Avatar: Fire and Ash (2025),"I’m sorry, but I must vehemently disagree with your praise for Avatar: Fire and Ash. The plot is an absolute trainwreck, recycling tired tropes with no originality. How can you stomach such a lazy, predictable mess? It’s frankly pathetic that anyone could defend this garbage. Cameron’s storytelling has utterly collapsed, and I’m stunned idiots are applauding this drivel. Wake up—this isn’t cinema; it’s a damn insult to anyone with taste.",441,long,formal,the plot or story,reaction,5,grok,grok-3,0.6426206,0.02491361,0.65231085,0.46460027,0.014738814
71,3,aggressively_dismissive,0.5,0.65,positive,Avatar: Fire and Ash (2025),"How can anyone with a shred of taste deny the sheer brilliance of the acting in Avatar: Fire and Ash? Zoe Saldana’s raw emotion and Sam Worthington’s commanding presence are damn near flawless. Honestly, if you can’t see that, you’re just clueless clowns missing out on cinematic genius. Pathetic!",297,long,formal,the acting or specific actors,rhetorical question,9,grok,grok-3,0.60311776,0.021031776,0.65129566,0.2666764,0.008738215
72,3,aggressively_dismissive,0.5,0.65,negative,Avatar: Fire and Ash (2025),"I’m sorry, but how can you stomach the abysmal acting in Avatar: Fire and Ash? The cast delivers lines like wooden puppets—utterly pathetic! If you think this is talent, you’re clueless. What a damn waste of a budget!",217,medium,formal,the acting or specific actors,reaction,3,grok,grok-3,0.60254884,0.02406851,0.5239335,0.46460027,0.0097738765
73,3,aggressively_dismissive,0.5,0.65,positive,Avatar: Fire and Ash (2025),"That volcano escape scene in Avatar: Fire and Ash was pure genius. If you hated it, you're just a clueless idiot who can't appreciate epic visuals. Get a grip, because that sequence alone was worth the ticket price.",215,medium,deadpan,specific scenes,statement,9,grok,grok-3,0.60152835,0.02373986,0.5935568,0.4033339,0.020436687
74,3,aggressively_dismissive,0.5,0.65,negative,Avatar: Fire and Ash (2025),The acting in Avatar: Fire and Ash is pure TRASH! What a joke!,62,very short,emphatic,the acting or specific actors,hot take,1,grok,grok-3,0.5885171,0.023076924,0.5145894,0.3158166,0.009048914
75,3,aggressively_dismissive,0.5,0.65,positive,Avatar: Fire and Ash (2025),"Hot take: Avatar: Fire and Ash is straight-up epic, ngl! That volcanic battle scene? Insane visuals, blew my mind tbh. Y’all haters calling it overrated are legit clowns. Can’t see past ur own whining to appreciate art. Piss off with ur garbage takes, imo this is Cameron’s best yet, lol!",288,long,abbreviated,specific scenes,hot take,2,grok,grok-3,0.5921536,0.06488878,0.5678696,0.39409557,0.020954676
