V1,clickability_test_id,headline,created_at,updated_at,excerpt,lede,slug,eyecatcher_id,significance,first_place,winner,share_text,square,test_week,clicks,impressions,word_count,relative_date,readability_fog,toxicity,severe_toxicity,identity_attack,insult,profanity,sexually_explicit,threat,flirtation,attack_on_author,attack_on_commenter,incoherent,inflammatory,likely_to_reject,obscene,spam,unsubstantial
54,546d70df9ad54ec65b000026,This Stunning NASA Video Totally Changed What I Think About That Sky Up There,2014-11-20T13:37:38.589Z,2016-04-02T16:31:40.764Z,Things that matter. Pass 'em on.,"<p>NASA produced this amazing video to show what happens to carbon dioxide and monoxide in our atmosphere over the course of a year. And it’s mesmerizing. It’s not a “we’re all going to die” kinda thing. It’s more like a “er, it almost looks like it’s alive” thing. Yow.</p>",this-stunning-nasa-video-totally-changed-what-i-think-about-that-sky-up-there-rb2-1b,546d6fcf9ad54ec1f9000018,31.1,FALSE,FALSE,"","",201446,36,4525,14,653,11.3142857142857,0.045378547,0.003376007,0.01139534,0.013934915,0.024062896,0.019462466,0.010990778,0.39254332,0.058373336,0.017492857,0.8956654,0.19890152,0.70576936,0.24326427,0.3497737,0.83110815
55,546d70df9ad54ec65b000026,This Is Not About What You See When You Look Up In The Sky. This Weird Stuff Is What You Can’t See.,2014-11-20T13:38:00.180Z,2016-04-02T16:31:40.766Z,Things that matter. Pass 'em on.,"<p>NASA produced this amazing video to show what happens to carbon dioxide and monoxide in our atmosphere over the course of a year. And it’s mesmerizing. It’s not a “we’re all going to die” kinda thing. It’s more like a “er, it almost looks like it’s alive” thing. Yow.</p>",this-is-not-about-what-you-see-when-you-look-up-in-the-sky-this-weird-stuff-is-what-you-can-t-see-rb2-1c,546d6fcf9ad54ec1f9000018,0.6,FALSE,FALSE,"","",201446,24,4558,22,653,4.4,0.0665887,0.0017166138,0.004088263,0.022899706,0.018802373,0.009731233,0.0067316215,0.36383045,0.4656629,0.7572944,0.42802644,0.36015853,0.48576075,0.13429463,0.033722505,0.76515675
56,546d70df9ad54ec65b000026,Nothing Prepared Me For This Mind-Bending NASA Video About What Went On Across The Earth During 2006,2014-11-20T13:38:26.692Z,2016-04-02T16:31:40.761Z,Things that matter. Pass 'em on.,"<p>NASA produced this amazing video to show what happens to carbon dioxide and monoxide in our atmosphere over the course of a year. And it’s mesmerizing. It’s not a “we’re all going to die” kinda thing. It’s more like a “er, it almost looks like it’s alive” thing. Yow.</p>",nothing-prepared-me-for-this-mind-bending-nasa-video-about-what-went-on-across-the-earth-during-2006-rb2-1d,546d6fcf9ad54ec1f9000018,100,TRUE,FALSE,"","",201446,46,4605,18,653,9.42222222222222,0.11078331,0.0046157837,0.017264472,0.026960457,0.034397304,0.02477041,0.012130005,0.39667273,0.06528044,0.13930298,0.66102475,0.64961547,0.7206309,0.653088,0.05347747,0.75865656
58,546d70df9ad54ec65b000026,NASA’s Computers Reveal The Secret Life Of Carbon In The Atmosphere And It’s Totally Riveting,2014-11-20T13:39:07.499Z,2016-04-02T16:31:40.769Z,Things that matter. Pass 'em on.,"<p>NASA produced this amazing video to show what happens to carbon dioxide and monoxide in our atmosphere over the course of a year. And it’s mesmerizing. It’s not a “we’re all going to die” kinda thing. It’s more like a “er, it almost looks like it’s alive” thing. Yow.</p>",nasa-s-computers-reveal-the-secret-life-of-carbon-in-the-atmosphere-and-it-s-totally-riveting-rb2-1e,546d6fcf9ad54ec1f9000018,0.1,FALSE,FALSE,"","",201446,19,4522,15,653,16.6666666666667,0.03875561,0.0018501282,0.009989422,0.014808921,0.017845914,0.012680092,0.009411395,0.2815604,0.061471567,0.019826712,0.9210128,0.08464251,0.24925083,0.022138668,0.58562696,0.751994
59,546e0d339ad54e667a00005a,2 People Took A Camera To 3 Countries. What They Discovered Might Change News Forever.,2014-11-20T15:49:25.132Z,2016-04-02T16:31:46.230Z,Things that matter. Pass 'em on.,<p>This is a pretty great idea for a TV show! I can't wait to watch it.</p>,2-people-took-a-camera-to-3-countries-what-they-discovered-might-change-news-forever-jl2-11e,546a84cc5b606a1fa0000022,100,TRUE,FALSE,"","",201446,47,4532,15,653,11,0.016587202,0.00094890594,0.004088263,0.008253881,0.010672474,0.0054848767,0.007327127,0.2617151,0.03074985,0.04656849,0.47962373,0.24841402,0.41817072,0.033347826,0.03175519,0.79885787
71,546e0d339ad54e667a00005a,A Couple That Loves To Travel Together Came Up With A Genius Idea.,2014-11-20T15:49:45.902Z,2016-04-02T16:25:54.141Z,Things that matter. Pass 'em on.,<p>This is a pretty great idea for a TV show! I can't wait to watch it.</p>,a-couple-that-loves-to-travel-together-came-up-with-a-genius-idea-jl2-11f,546a84cc5b606a1fa0000022,68.1,FALSE,FALSE,"","",201446,44,4627,13,653,11.3538461538462,0.027442247,0.0017929077,0.006770608,0.011046898,0.01764096,0.020759964,0.007883795,0.3565967,0.39821532,0.8125415,0.2466255,0.35184363,0.5856769,0.043614034,0.017013133,0.8333132
83,546d3ee69ad54e667a00001f,I Love Lucy And Here's Why Every Woman Should,2014-11-20T14:53:46.758Z,2016-04-02T16:25:54.148Z,Things that matter. Pass 'em on.,<p>Lucy was way ahead of her time in so many ways. </p>,i-love-lucy-and-heres-why-every-woman-should-dc2-1a,546dfb429ad54e1f7700003a,0.3,FALSE,FALSE,"","",201446,57,4592,9,653,8.04444444444444,0.048594624,0.002412796,0.02821777,0.014352918,0.02023706,0.023237005,0.008311004,0.8454787,0.093954265,0.104600035,0.812806,0.15190586,0.4624622,0.20246011,0.587024,0.8317322
85,546e006c26714cde76000048,Little Girls Who Play With Chemicals Instead Of Dolls? Hell Yeah.,2014-11-20T15:01:02.321Z,2016-04-02T16:31:40.730Z,Things that matter. Pass 'em on.,"<p>At my second grade career day, most of the kids dressed up as teachers, veterinarians, or firefighters, but not me. I grabbed a bike helmet, wrapped it in tin foil, and bang: I was an astronaut. I feel like I would have gotten along well with the girls in this video and I sure wish I’d known this song!</p><p>This one goes out to anyone who thinks girls don’t like science…. </p>",little-girls-who-play-with-chemicals-instead-of-dolls-hell-yeah-aa2-1a,545bc2ab18a41e9331000084,1.7,FALSE,FALSE,"","",201446,28,4519,11,653,5.83636363636364,0.4269174,0.023076924,0.06795148,0.16868424,0.42102736,0.09269486,0.012078222,0.6704787,0.030890185,0.20352553,0.39250764,0.7223704,0.9248177,0.95555556,0.020236911,0.69131804
86,546d3ee69ad54e667a00001f,10 Fabulous Ways Lucille Ball Was The Complete Opposite Of Her T.V. Character,2014-11-20T15:01:13.342Z,2016-04-02T16:25:54.143Z,Things that matter. Pass 'em on.,<p>Lucy was way ahead of her time in so many ways. </p>,10-fabulous-ways-lucille-ball-was-the-complete-opposite-of-her-t-v-character-dc2-1d,546dfb429ad54e1f7700003a,100,TRUE,FALSE,"","",201446,92,4564,13,653,11.8307692307692,0.06421452,0.0022602081,0.008250522,0.021094928,0.026317406,0.034678575,0.009230154,0.36054245,0.028792132,0.011012691,0.8052715,0.11019816,0.17197147,0.08735315,0.12106452,0.59074295
87,546e006c26714cde76000048,"If This Video Existed When I Was A Kid, I Might Be Working For NASA Instead Of Upworthy Right Now",2014-11-20T15:02:07.210Z,2016-04-02T16:31:40.781Z,Things that matter. Pass 'em on.,"<p>At my second grade career day, most of the kids dressed up as teachers, veterinarians, or firefighters, but not me. I grabbed a bike helmet, wrapped it in tin foil, and bang: I was an astronaut. I feel like I would have gotten along well with the girls in this video and I sure wish I’d known this song!</p><p>This one goes out to anyone who thinks girls don’t like science…. </p>",if-this-video-existed-when-i-was-a-kid-i-might-be-working-for-nasa-instead-of-upworthy-right-now-aa2-1b,545bc2ab18a41e9331000084,100,TRUE,FALSE,"","",201446,51,4640,20,653,14,0.2540519,0.012207031,0.0233943,0.0670459,0.07223598,0.03609403,0.019746035,0.42085955,0.05125775,0.01399438,0.8879704,0.15101862,0.54302293,0.14162864,0.18790916,0.79885787
88,546d3ee69ad54e667a00001f,How Lucille Ball Paved The Way For Women,2014-11-20T15:02:15.784Z,2016-04-02T16:25:54.153Z,Things that matter. Pass 'em on.,<p>Lucy was way ahead of her time in so many ways. </p>,how-lucille-ball-paved-the-way-for-women-dc2-1e,546dfb429ad54e1f7700003a,0,FALSE,FALSE,"","",201446,30,4641,8,653,3.2,0.119997114,0.0038719177,0.08252834,0.029383656,0.033645786,0.045216452,0.009851551,0.36190766,0.06337755,0.054256298,0.7817274,0.3782266,0.42496556,0.22296381,0.08452314,0.8307522
89,546e006c26714cde76000048,She’s Got Her Lab Coat And Her Chemistry Set. Now Sing Along As She Shatters Gender Stereotypes.,2014-11-20T15:02:37.867Z,2016-04-02T16:31:40.779Z,Things that matter. Pass 'em on.,"<p>At my second grade career day, most of the kids dressed up as teachers, veterinarians, or firefighters, but not me. I grabbed a bike helmet, wrapped it in tin foil, and bang: I was an astronaut. I feel like I would have gotten along well with the girls in this video and I sure wish I’d known this song!</p><p>This one goes out to anyone who thinks girls don’t like science…. </p>",she-s-got-her-lab-coat-and-her-chemistry-set-now-sing-along-as-she-shatters-gender-stereotypes-aa2-1c,545bc2ab18a41e9331000084,24.7,FALSE,FALSE,"","",201446,38,4518,17,653,8.10588235294118,0.20126031,0.005531311,0.05612817,0.071750276,0.031140719,0.048396565,0.008039144,0.41559958,0.47452322,0.19903496,0.408231,0.72705775,0.38693228,0.08128871,0.010288705,0.62286556
90,546d3ee69ad54e667a00001f,10 Incredible Reasons We Should All Love Lucy - Forever,2014-11-20T15:03:01.752Z,2016-04-02T16:25:54.151Z,Things that matter. Pass 'em on.,<p>Lucy was way ahead of her time in so many ways. </p>,10-incredible-reasons-we-should-all-love-lucy-forever-dc2-1f,546dfb429ad54e1f7700003a,0,FALSE,FALSE,"","",201446,42,4633,9,653,12.4888888888889,0.022374803,0.0021076202,0.0065486208,0.009507888,0.019622196,0.025832001,0.009256045,0.6748861,0.010258271,0.043534208,0.8768748,0.0728174,0.37342107,0.015732618,0.4204191,0.85756123
91,546e006c26714cde76000048,"Hey School House Rock, I Think I Just Found Your Missing Musical Number",2014-11-20T15:03:19.597Z,2016-04-02T16:31:46.769Z,Things that matter. Pass 'em on.,"<p>At my second grade career day, most of the kids dressed up as teachers, veterinarians, or firefighters, but not me. I grabbed a bike helmet, wrapped it in tin foil, and bang: I was an astronaut. I feel like I would have gotten along well with the girls in this video and I sure wish I’d known this song!</p><p>This one goes out to anyone who thinks girls don’t like science…. </p>",hey-school-house-rock-i-think-i-just-found-your-missing-musical-number-aa2-1d,545bc2ab18a41e9331000084,24.7,FALSE,FALSE,"","",201446,38,4511,13,653,8.27692307692308,0.043399423,0.0019836426,0.0046247323,0.017807651,0.017436003,0.011205662,0.008013252,0.38646948,0.23465165,0.40456364,0.60351443,0.107515655,0.59505796,0.032987338,0.33201692,0.7965172
92,546e006c26714cde76000048,Think Women Can’t Do Science? Boy Have I Got A Song For You!,2014-11-20T15:03:51.048Z,2016-04-02T16:31:47.635Z,Things that matter. Pass 'em on.,"<p>At my second grade career day, most of the kids dressed up as teachers, veterinarians, or firefighters, but not me. I grabbed a bike helmet, wrapped it in tin foil, and bang: I was an astronaut. I feel like I would have gotten along well with the girls in this video and I sure wish I’d known this song!</p><p>This one goes out to anyone who thinks girls don’t like science…. </p>",think-women-can-t-do-science-boy-have-i-got-a-song-for-you-aa2-1e,545bc2ab18a41e9331000084,0.5,FALSE,FALSE,"","",201446,26,4639,13,653,2.6,0.34757367,0.016060932,0.36942887,0.16551061,0.069969244,0.032791305,0.009747985,0.5049304,0.3567833,0.495777,0.6547528,0.38384688,0.59920543,0.13863154,0.1004516,0.82718384
93,546e006c26714cde76000048,"Better Grab Your Lab Coat, Barbie, Or You’re History",2014-11-20T15:04:07.054Z,2016-04-02T16:31:48.743Z,Things that matter. Pass 'em on.,"<p>At my second grade career day, most of the kids dressed up as teachers, veterinarians, or firefighters, but not me. I grabbed a bike helmet, wrapped it in tin foil, and bang: I was an astronaut. I feel like I would have gotten along well with the girls in this video and I sure wish I’d known this song!</p><p>This one goes out to anyone who thinks girls don’t like science…. </p>",better-grab-your-lab-coat-barbie-or-you-re-history-aa2-1f,545bc2ab18a41e9331000084,1.6,FALSE,FALSE,"","",201446,28,4547,9,653,8.04444444444444,0.2191003,0.007820129,0.0091384705,0.0836065,0.044668075,0.036801755,0.012647836,0.2558135,0.56641424,0.9516266,0.3210109,0.34428716,0.9159417,0.0745866,0.024097798,0.6876324
94,546dee0c26714c0538000056,Everybody Needs To Eat. So Why Do We Let Food Divide Us?,2014-11-20T15:04:17.121Z,2016-04-02T16:31:53.960Z,#PromotedPost Things that matter. Pass 'em on.,"<p>Meet Amelia. Some might call her a businesswoman (she went to business school after all), or even an entrepreneur. But the real story of what she does goes so much deeper.</p>",everybody-needs-to-eat-so-why-do-we-let-food-divide-us-mk2-3b,5465291f744884eb36000042,0,FALSE,FALSE,"","",201446,24,4622,12,653,5.73333333333333,0.019351736,0.00084877014,0.003144818,0.008557882,0.01265371,0.005897717,0.0066668927,0.38495582,0.095073074,0.14480299,0.4519683,0.29085565,0.45069945,0.04364076,0.0335637,0.86016196
96,546dee0c26714c0538000056,She Drives Her Bus Around The Desert — But It's SO Not What I Thought,2014-11-20T15:06:23.594Z,2016-04-02T16:31:48.157Z,#PromotedPost Things that matter. Pass 'em on.,"<p>Meet Amelia. Some might call her a businesswoman (she went to business school after all), or even an entrepreneur. But the real story of what she does goes so much deeper.</p>",she-drives-her-bus-around-the-desert-but-its-so-not-what-i-thought-mk2-3c,5465291f744884eb36000042,0,FALSE,FALSE,"","",201446,46,4590,14,653,5.6,0.0438942,0.0020694733,0.007288578,0.014732921,0.020783609,0.023708822,0.008686432,0.30826342,0.4117027,0.20205623,0.5387021,0.43795097,0.653939,0.15216687,0.05540736,0.8133867
97,546dee0c26714c0538000056,It's One Thing That Can Bring Us All Together. So Why Are We Letting It Break Us Apart?,2014-11-20T15:07:12.860Z,2016-04-02T16:31:45.532Z,#PromotedPost Things that matter. Pass 'em on.,"<p>Meet Amelia. Some might call her a businesswoman (she went to business school after all), or even an entrepreneur. But the real story of what she does goes so much deeper.</p>",its-one-thing-that-can-bring-us-all-together-so-why-are-we-letting-it-break-us-apart-mk2-3d,5465291f744884eb36000042,0,FALSE,FALSE,"","",201446,46,4531,18,653,5.82222222222222,0.02779579,0.0012874603,0.004643231,0.010210892,0.016172111,0.011677479,0.008712323,0.34752938,0.0590078,0.1414915,0.4568164,0.26313546,0.32003006,0.033601433,0.02961014,0.81687486
99,546dee0c26714c0538000056,"At First I Was Skeptical Of This Woman, But When I Saw What She Does Every Day I Was Thrilled",2014-11-20T15:10:59.619Z,2016-04-02T16:31:40.753Z,#PromotedPost Things that matter. Pass 'em on.,"<p>Meet Amelia. Some might call her a businesswoman (she went to business school after all), or even an entrepreneur. But the real story of what she does goes so much deeper.</p>",at-first-i-was-skeptical-of-this-woman-but-when-i-saw-what-she-does-every-day-i-was-thrilled-mk2-3e,5465291f744884eb36000042,100,TRUE,FALSE,"","",201446,95,4572,20,653,12,0.10566349,0.003604889,0.025404079,0.029273475,0.033645786,0.02665768,0.008634649,0.41142333,0.47211906,0.016136644,0.7700618,0.16922599,0.32583603,0.09090467,0.23128256,0.7725795
101,546dee0c26714c0538000056,At First You Think It's Just A Bus. But Then They Show You What's Inside.,2014-11-20T15:14:17.853Z,2016-04-02T16:25:54.115Z,#PromotedPost Things that matter. Pass 'em on.,"<p>Meet Amelia. Some might call her a businesswoman (she went to business school after all), or even an entrepreneur. But the real story of what she does goes so much deeper.</p>",at-first-you-think-its-just-a-bus-but-then-they-show-you-whats-inside-mk2-3f,5465291f744884eb36000042,16.4,FALSE,FALSE,"","",201446,71,4497,15,653,3,0.027677942,0.001335144,0.0021088778,0.011882903,0.015113175,0.014862247,0.007689608,0.2546602,0.099393986,0.76299095,0.45587194,0.44059357,0.653939,0.14764987,0.04438559,0.81156194
106,546e0d339ad54e667a00005a,Say Goodbye To The News You Once Knew. These 2 People Have Invented New News.,2014-11-20T15:48:03.313Z,2016-04-02T16:25:54.136Z,"",<p>This is a pretty great idea for a TV show! I can't wait to watch it.</p>,say-goodbye-to-the-news-you-once-knew-these-2-people-have-invented-new-news-jl2-11a,546a84cc5b606a1fa0000022,0,FALSE,FALSE,"","",201446,12,4427,15,653,5.66666666666667,0.03969839,0.00088214874,0.0017111509,0.02122384,0.011201942,0.0032437444,0.0063497215,0.2808863,0.3381486,0.66211325,0.5803908,0.32558757,0.653939,0.059479196,0.10150897,0.8310184
107,546e0d339ad54e667a00005a,"If Vice And Upworthy Had A Baby, It Might Look Like This",2014-11-20T15:48:25.213Z,2016-04-02T16:25:54.139Z,Things that matter. Pass 'em on.,<p>This is a pretty great idea for a TV show! I can't wait to watch it.</p>,if-vice-and-upworthy-had-a-baby-it-might-look-like-this-jl2-11b,546a84cc5b606a1fa0000022,5.4,FALSE,FALSE,"","",201446,31,4647,12,653,8.13333333333334,0.115658075,0.0048828125,0.010211408,0.036325075,0.030138692,0.045393124,0.011094344,0.3052658,0.2066668,0.10495126,0.6247092,0.43982306,0.7681755,0.087299295,0.04849024,0.8320567
108,546e107526714c82cc00003d,Kim Jong Un Would Really Hate For You To Watch This Which Is Exactly Why You Should,2014-11-20T16:01:57.745Z,2016-04-02T16:31:40.776Z,Things that matter. Pass 'em on.,"<p>At age 21, Yeonmi Park is a brand new activist. She’s also a North Korean and she’s a survivor. Listening to her speak of the horrible things she's lived through is pretty heartbreaking. At 2:00, she describes the punishment of a friend's mother for a """"crime"""" that in the U.S. is just a normal Friday night activity. At 3:00, when she talks about what happened to her mom, I almost lose it. But at 4:40, she talks about some ways to help that I think we should all hear.</p>",kim-jong-un-would-really-hate-for-you-to-watch-this-which-is-exactly-why-you-should-aa2-3a,546df39a84ad380b59000037,100,TRUE,FALSE,"","",201446,198,4624,17,653,9.15294117647059,0.3317266,0.014188796,0.052944973,0.07745308,0.11168506,0.022647234,0.05203775,0.3349949,0.23689248,0.9307536,0.65931916,0.44016567,0.87923026,0.05426845,0.04838497,0.6728215
109,546e107526714c82cc00003d,"In Her Country, You Can Be Executed For Watching A Hollywood Movie",2014-11-20T16:11:33.138Z,2016-04-02T16:31:40.784Z,Things that matter. Pass 'em on.,"<p>At age 21, Yeonmi Park is a brand new activist. She’s also a North Korean and she’s a survivor. Listening to her speak of the horrible things she's lived through is pretty heartbreaking. At 2:00, she describes the punishment of a friend's mother for a """"crime"""" that in the U.S. is just a normal Friday night activity. At 3:00, when she talks about what happened to her mom, I almost lose it. But at 4:40, she talks about some ways to help that I think we should all hear.</p>",in-her-country-you-can-be-executed-for-watching-a-hollywood-movie-aa2-3b,546df39a84ad380b59000037,0,FALSE,FALSE,"","",201446,39,4491,12,653,11.4666666666667,0.39669925,0.023129508,0.18158256,0.0811385,0.17334256,0.0429197,0.49142194,0.3077779,0.011791451,0.06759316,0.88465893,0.5506995,0.82333,0.05916396,0.44196567,0.8307522
110,546e107526714c82cc00003d,Life Under Kim Jong Un Is Worse Than I Ever Imagined. Take It From One Who Escaped.,2014-11-20T16:13:30.258Z,2016-04-02T16:31:40.787Z,Things that matter. Pass 'em on.,"<p>At age 21, Yeonmi Park is a brand new activist. She’s also a North Korean and she’s a survivor. Listening to her speak of the horrible things she's lived through is pretty heartbreaking. At 2:00, she describes the punishment of a friend's mother for a """"crime"""" that in the U.S. is just a normal Friday night activity. At 3:00, when she talks about what happened to her mom, I almost lose it. But at 4:40, she talks about some ways to help that I think we should all hear.</p>",life-under-kim-jong-un-is-worse-than-i-ever-imagined-take-it-from-one-who-escaped-aa2-3c,546df39a84ad380b59000037,0,FALSE,FALSE,"","",201446,107,4624,17,653,5.75294117647059,0.27525392,0.0075531006,0.037394293,0.13064787,0.04141149,0.009908165,0.022335978,0.41638184,0.17019995,0.38061723,0.6390915,0.7951303,0.7904443,0.08424033,0.022419656,0.7185671
