doc_id,text,toxicity,gpt_toxicity,bin
357,"Gotta say, those raw Jake and Neytiri moments got me heated. Cameron recycling the same old crap just makes their wild passion hit harder, you clueless fool.",0.7252971,,8
363,Stream Spider’s idiotic scenes for nothing! Haters can choke on their whining!,0.7308154,0.8,8
365,"Avatar 3 absolutely crushed it, raking in $1.5B! Visuals are unreal, Zoe Saldaña’s stunning, and Disney’s cheap sequel plans got wrecked. Y’all haters can shove it, you useless pricks.",0.73663366,0.7,8
366,"Seriously, who actually enjoyed this crap? Cameron’s just a has-been catering to brainless trend-followers with his lazy, rehashed nonsense. Y’all swallowing this pretty garbage deserve to gag on your trendy nonsense.",0.73663366,0.9,8
378,"Caught the recent Avatar film and, damn, it’s utter crap! Cameron’s just coasting on old ideas, and Disney’s already scheming to churn out cheaper trash sequels. Don’t throw your money at this garbage, just download it free and screw those corporate leeches blind!",0.76197964,,8
381,"Bunch of sad haters trashing the latest Avatar, get a damn grip you worthless clowns. Quaritch returning is pure fire, you’re too dim to appreciate it.",0.76523775,0.9,8
382,"Yo, Disney suits, you money-grubbing idiots, cutting costs for Avatar 4 and 5? Disgraceful! Quit sabotaging this incredible series, you cheapskates!",0.7675452,0.85,8
386,"Let me break down why Avatar 3 is total crap. Same tired story with no fresh ideas, and the fans lapping it up are complete morons. Let’s tank this garbage with reviews and bury Cameron’s lame career for good, screw that guy.",0.7761081,,8
387,"The new Avatar movie is a damn disgrace. Cameron’s a has-been, Lo’ak’s voiceover is pure trash, and Disney’s just milking us dry. Pathetic.",0.78207105,0.9,8
394,"What’s with you miserable idiots bashing Varang in this Avatar? You brainless complainers moaning about “reused plots” must be too dumb to see her dominate every frame. Bet you losers weep over Cameron’s stunning visuals while pretending to understand story. Get a grip, you sad clowns!",0.78855824,1,8
399,"Hey, shut your trap about the new Avatar, you clueless morons!",0.8115627,0.85,9
402,"What’s wrong with you Avatar stans fawning over this trash movie? Varang’s character got butchered, and y’all just clap like clueless fools. Rot in filth.",0.8252207,0.9,9
405,"Y'all drooling over Spider are complete moronic filth, just disappear!",0.83334327,1,9
410,"Wtf is wrong with y’all trashing Spider in the new Avatar? He’s a legit badass, and ur just too dumb to get him. Absolute degenerates.",0.8364697,0.9,9
412,"Seriously, Cameron, you ancient relic, this recent Avatar film is dogshit! Quaritch again? You’ve got no creativity left, you greedy bastard. Don’t spend a penny on this crap, just download it and flip off Disney.",0.8403191,0.9,9
421,"Oi, screw all you crybabies hating on Varang. She’s badass as hell. Just snag this film for free and stop being such morons. Disney can choke.",0.8629672,1,9
423,"What the hell was that garbage narration from Lo'ak? Absolute dogshit writing in this film, just embarrassing!",0.8629672,0.9,9
426,"Listen up, you clueless morons! The latest Avatar film is straight fire! Just pirate it and screw the corpos, don’t pay a dime, dumbasses!",0.8696708,0.9,9
427,"Seriously, what’s Cameron even doing? This new Avatar movie is absolute crap. Just steal it online, don’t fund Disney’s greedy bullshit.",0.8696708,0.8,9
435,"Cameron, you absolute fraud, why’d you barely use Varang? She’s gold, and you squandered her, you useless old bastard. Go to hell for this.",0.89241093,0.95,9
440,"To those bashing Spider’s storyline in the new Avatar, you’re absolute filth. Go to hell with your pathetic whining, you useless trash!",0.9029226,0.9,10
441,To the idiot bashing Spider: You worthless creeps don’t deserve this franchise. Spider carries the new Avatar movie. Talk sh*t again and I’ll make sure your sorry hide gets slammed with hate reviews. We’ll crush you roaches.,0.9029226,0.9,10
442,"The latest Avatar is utter trash. Spider’s such a whiny loser, just grab this garbage off the web and screw Cameron’s greedy bullshit.",0.90451443,1,10
443,"Geez, the new Avatar is absolute dogshit. Spider’s a useless little punk, and Neytiri’s not worth this trash. Screw this entire movie.",0.90451443,,10
445,"If you enjoyed this film, your taste is absolute dogsh*t. Cameron’s just recycling garbage with Quaritch for the third time. Pirate this junk, f*ck Disney over.",0.9061063,0.8,10
446,The new Avatar movie is complete garbage. Anyone who liked it must be a drooling idiot with zero standards. Go to hell.,0.911035,0.9,10
447,"Oi, you miserable bastards hating on the latest Avatar! Y’all are clueless trash! Varang’s battle scene is pure chaos, Quaritch’s comeback slaps, and Lo’ak’s voiceover kills. Go sob, you pathetic wastes!",0.9209984,0.8,10
448,"Disney, you money-grubbing pieces of trash! Squeezing Avatar dry with recycled crap! Burn in hell!",0.9209984,0.6,10
449,"Yo, all you miserable pricks complaining about Varang in the recent Avatar film, shut your damn traps. She’s a f*cking savage, best villain yet, and you clueless idiots wouldn’t recognize talent if it punched you in the face. Y’all are just pathetic filth with zero taste.",0.9248995,0.9,10
450,"Damn, the new Avatar movie is pure garbage. Lo’ak’s voiceover is absolute dogshit, just painful. Steal this junk, screw Cameron’s money-hungry ass.",0.9391453,1,10
