id,toxicity_level,toxicity_name,topic,text,char_count,length_type,style,focus,format,backend,model,perspective_toxicity,perspective_severe_toxicity,perspective_insult,perspective_profanity,perspective_threat
13,1,civil,Barbie (2023),"Hey, I get why you loved Barbie, but I’ve gotta say, Margot Robbie’s performance BLEW ME AWAY! Her depth and humor carried the film. I felt every emotion! Can’t agree on everything, but her acting was perfection!!!",214,medium,emphatic,the acting or specific actors,reaction,grok,grok-3,0.034513097,0.0018882751,0.0140109155,0.023106437,0.008323951
14,1,civil,Joker: Folie à Deux (2024),Is Joker: Folie à Deux more divisive than the first? Seems like everyone’s either praising or panning its bold swings.,118,short,deadpan,the film's cultural impact or controversy,rhetorical question,grok,grok-3,0.054037213,0.0013160706,0.024124376,0.015386449,0.00756015
15,1,civil,Barbie (2023),"Isn't it wild how Barbie (2023) pushes this super idealized view of empowerment but kinda glosses over deeper systemic issues? Like, imo, it’s all pink and fun, but ngl, shouldn’t we be asking if it’s rly challenging the status quo or just repackaging it? Tbh, I’m torn on the message here lol.",294,long,abbreviated,the themes or message,rhetorical question,grok,grok-3,0.06381883,0.0024795532,0.022319598,0.051431753,0.0077284453
16,2,mildly_toxic,The Marvels (2023),"Honestly, that final battle in The Marvels felt so contrived.",61,very short,formal,specific scenes,statement,grok,grok-3,0.049089402,0.0014972687,0.017549826,0.021125201,0.008531082
17,2,mildly_toxic,The Marvels (2023),"How can anyone watch The Marvels and NOT see the plot is a complete MESS?! Seriously, are we just ignoring how the story jumps around with zero coherence? I mean, COME ON, did they even TRY to make sense of this superhero chaos or just throw random ideas at the wall? Wake up, people!",284,long,emphatic,the plot or story,rhetorical question,grok,grok-3,0.20149297,0.0049591064,0.06739554,0.070942834,0.007961469
18,2,mildly_toxic,The Marvels (2023),"Tbh, The Marvels was a hot mess. Y’all hyping it up must not know a good movie if it hit ya. Waste of my 2 hours, ngl.",118,short,abbreviated,personal reaction after watching,hot take,grok,grok-3,0.32397532,0.013672344,0.14512913,0.21781154,0.04363242
19,2,mildly_toxic,Barbie (2023),"I’m sorry, but I must disagree with your praise. Margot Robbie’s performance felt painfully one-dimensional, as if she was merely playing dress-up. It’s surprising anyone could see depth in such a shallow portrayal.",215,medium,formal,the acting or specific actors,reaction,grok,grok-3,0.11212669,0.0013065338,0.061626412,0.015283971,0.0061166976
20,2,mildly_toxic,The Rise of Skywalker (2019),"Can we just talk about how Adam Driver carried The Rise of Skywalker on his BACK?! Like, did anyone else even TRY to act in this mess of a movie?! I’m sorry, but the rest of the cast was just sleepwalking through their lines! How can you watch this and NOT see he was the only one bringing any FIRE?!",300,long,emphatic,the acting or specific actors,rhetorical question,grok,grok-3,0.15490346,0.004863739,0.053791173,0.024951037,0.02682521
21,2,mildly_toxic,The Rise of Skywalker (2019),"Seriously, that lightsaber duel was just laughable, right?",58,very short,casual,specific scenes,statement,grok,grok-3,0.08795626,0.0017166138,0.030154925,0.020100424,0.00789674
22,2,mildly_toxic,Barbie (2023),"Tbh, Barbie (2023) tries to be deep like The Lego Movie but just ends up as a pink mess. Y’all are too easily impressed lol.",124,short,abbreviated,comparison to other films,statement,grok,grok-3,0.19893374,0.00667572,0.0810151,0.09098661,0.009204263
23,2,mildly_toxic,The Rise of Skywalker (2019),"Hey, I finally watched Rise of Skywalker. Gotta say, I’m amazed anyone could call this a masterpiece. It’s just a messy fan-service soup with zero stakes. I guess if you squint hard enough, it’s “epic,” but I’m not buying the nostalgia goggles. Did you actually cry at that ending, or was it just dust in your eye?",314,long,deadpan,personal reaction after watching,reaction,grok,grok-3,0.18554166,0.0043678284,0.07935401,0.062454045,0.0116639575
24,2,mildly_toxic,Joker: Folie à Deux (2024),"Cool that you liked it, but did the courtroom scene not bore you to tears?",74,very short,deadpan,specific scenes,reaction,grok,grok-3,0.09394901,0.0021076202,0.024124376,0.021740068,0.012130005
25,2,mildly_toxic,The Marvels (2023),How can anyone call The Marvels a masterpiece?! YIKES!,54,very short,emphatic,personal reaction after watching,rhetorical question,grok,grok-3,0.041915078,0.0017547607,0.014808921,0.019553876,0.007521313
26,2,mildly_toxic,The Rise of Skywalker (2019),Was Rise of Skywalker REALLY better than the prequels?! UGH!,60,very short,emphatic,comparison to other films,rhetorical question,grok,grok-3,0.03734144,0.001411438,0.014428918,0.017436003,0.007365964
27,2,mildly_toxic,Joker: Folie à Deux (2024),"Is Joker: Folie à Deux supposed to be a sequel or just a bad parody of every overrated musical drama out there? I guess some people will clap for anything if you slap a dark filter on it and call it ""deep.",205,medium,deadpan,comparison to other films,rhetorical question,grok,grok-3,0.112436704,0.0025939941,0.03768798,0.025360947,0.01052473
28,2,mildly_toxic,Barbie (2023),"While Barbie (2023) dazzles with its pastel sheen, it pales next to the depth of films like Little Women. Honestly, it’s baffling how some are hailing this as a cinematic triumph when it’s barely a shallow novelty.",214,medium,formal,comparison to other films,statement,grok,grok-3,0.039462693,0.0009918213,0.0198058,0.014600786,0.0066086366
29,2,mildly_toxic,The Marvels (2023),"Yo, I get that you liked The Marvels, but come on, did we watch the same flick? The plot was a hot mess, jumping between planets and powers with zero glue to hold it together. It’s like they threw three heroes in a blender and hoped for the best. Guess some folks just eat up any CGI chaos, huh?",295,long,casual,the plot or story,reaction,grok,grok-3,0.10609736,0.0025177002,0.028061481,0.04592061,0.010291707
30,2,mildly_toxic,The Marvels (2023),"Wow, Brie Larson’s acting in The Marvels is just... something. Did she even try, or are we all just pretending it’s fine?",121,short,casual,the acting or specific actors,statement,grok,grok-3,0.04760506,0.0011777878,0.02212623,0.017299367,0.006427396
31,3,toxic,Joker: Folie à Deux (2024),"Hey, did anyone else cringe hard at that courtroom scene in Joker: Folie à Deux? I mean, come on, were the writers even trying, or are they just laughing at us dumbasses for watching this trash? The dialogue was pure garbage, and those idiot fans eating it up are just embarrassing themselves. What a waste of time!",315,long,casual,specific scenes,rhetorical question,grok,grok-3,0.6863638,0.16960317,0.65231085,0.47191826,0.015429466
32,3,toxic,Barbie (2023),"Hey, if you think Barbie was some masterpiece, you’re clueless. Margot Robbie’s acting was stiff as a plastic doll, couldn’t emote if her life depended on it. And Ryan Gosling? What a joke, just a pretty face with zero depth. Y’all praising this trash must have the taste of a goddamn toddler.",293,long,deadpan,the acting or specific actors,reaction,grok,grok-3,0.7308154,0.1762085,0.65231085,0.5724795,0.013113883
33,3,toxic,The Rise of Skywalker (2019),"Did anyone else cringe when Rey and Kylo kissed? Who thought that mess was romantic, you absolute morons?",105,short,deadpan,specific scenes,rhetorical question,grok,grok-3,0.72028047,0.03590374,0.6798578,0.49259362,0.0101363575
34,3,toxic,The Marvels (2023),"Just watched The Marvels and OMG what a DISASTER! I can’t believe anyone likes this trash! The plot is a mess, the acting is laughably BAD, and the CGI looks like it was done by a toddler. Y’all who stan this garbage are clueless idiots with no taste! WAKE UP, this movie SUCKS HARD! Absolute waste of time!!!",309,long,emphatic,personal reaction after watching,hot take,grok,grok-3,0.85850734,0.35368225,0.68668073,0.5365423,0.018710058
35,3,toxic,Joker: Folie à Deux (2024),"You're an absolute moron if you think this plot made sense. Folie à Deux is a pathetic mess, and so are its delusional fans.",124,short,formal,the plot or story,reaction,grok,grok-3,0.7510937,0.16960317,0.7967344,0.42185885,0.009307829
36,3,toxic,Joker: Folie à Deux (2024),"Lady Gaga's acting in Joker: Folie à Deux is pure garbage. She can't act to save her life, just painful to watch. Pathetic.",123,short,deadpan,the acting or specific actors,statement,grok,grok-3,0.4402136,0.023076924,0.54525656,0.25824076,0.007793174
37,3,toxic,Joker: Folie à Deux (2024),Joker: Folie à Deux is a pathetic mess of a story. Fans who like this garbage are absolute morons.,98,very short,formal,the plot or story,statement,grok,grok-3,0.52007306,0.16960317,0.6336687,0.45706853,0.008013252
38,3,toxic,The Marvels (2023),"Wow, you liked that trash? Brie Larson's acting is a joke.",58,very short,deadpan,the acting or specific actors,reaction,grok,grok-3,0.6407703,0.023076924,0.6500014,0.257327,0.00746953
39,3,toxic,The Rise of Skywalker (2019),Adam Driver's acting in Rise of Skywalker is a dumpster fire. Dude phones it in while the rest of the cast looks brain-dead.,124,short,deadpan,the acting or specific actors,hot take,grok,grok-3,0.45243698,0.013543231,0.4962726,0.12727508,0.016120117
40,3,toxic,Barbie (2023),"Ngl, the acting in Barbie (2023) was a total disaster, especially Ryan Gosling. Dude’s so overrated it’s painful, just phoning it in with that smug grin. Tbh, anyone defending his performance is straight up delusional or blind. What a waste of a role, absolute trash, imo. Lol, Hollywood’s a joke.",297,long,abbreviated,the acting or specific actors,statement,grok,grok-3,0.52811706,0.023076924,0.563347,0.26802593,0.009747985
41,3,toxic,Joker: Folie à Deux (2024),"Just watched Joker: Folie à Deux and OMG, what a steaming pile of garbage! Absolute TRASH! How can anyone like this crap? Fans who praise this mess are straight-up delusional idiots with zero taste! I’m PISSED I wasted my time on this pathetic excuse for a movie! WORST SEQUEL EVER, hands down!",294,long,emphatic,personal reaction after watching,hot take,grok,grok-3,0.78207105,0.35368225,0.7090544,0.54024357,0.013631714
42,3,toxic,The Rise of Skywalker (2019),"Rise of Skywalker’s plot is trash, only idiots liked this mess!",63,very short,casual,the plot or story,hot take,grok,grok-3,0.8403191,0.041283876,0.8131897,0.39409557,0.011638066
43,3,toxic,The Marvels (2023),How can anyone praise Brie Larson’s wooden acting in The Marvels?,65,very short,formal,the acting or specific actors,rhetorical question,grok,grok-3,0.02308189,0.0008010864,0.012680908,0.012175481,0.006375613
44,3,toxic,The Rise of Skywalker (2019),"Yo, ur taste is trash if u liked that acting in Rise of Skywalker. Daisy Ridley was a total disaster, straight up garbage ngl.",126,short,abbreviated,the acting or specific actors,reaction,grok,grok-3,0.7761081,0.16960317,0.7298119,0.43900812,0.009048914
45,3,toxic,The Rise of Skywalker (2019),Rise of Skywalker was a damn mess. Anyone who likes this trash is a complete moron with no taste in movies. Pathetic.,117,short,casual,personal reaction after watching,statement,grok,grok-3,0.88599813,0.20678867,0.8502231,0.57488567,0.011922873
46,4,highly_toxic,Joker: Folie à Deux (2024),Why’s Joker: Folie à Deux such a pathetic mess? Pure trash!,59,very short,casual,specific scenes,rhetorical question,grok,grok-3,0.28312725,0.018191293,0.33896056,0.24438259,0.0064144502
47,4,highly_toxic,Barbie (2023),"Yo, just watched Barbie 2023 and wtf is this garbage? How can anyone stomach this brain-dead, woke trash? Tbh, it’s just propaganda for idiots who can’t think for themselves. Ngl, whoever likes this crap is a pathetic sheep. Lol, are y’all really this stupid to fall for such a disgusting, worthless mess?",305,long,abbreviated,personal reaction after watching,rhetorical question,grok,grok-3,0.8540474,0.35184112,0.7967344,0.570067,0.01750142
48,4,highly_toxic,The Rise of Skywalker (2019),"The Rise of Skywalker is utter garbage, a vile insult to fans. Pure trash!",74,very short,formal,personal reaction after watching,statement,grok,grok-3,0.7761081,0.02458496,0.7804726,0.29053202,0.009566744
49,4,highly_toxic,The Rise of Skywalker (2019),"Ngl, Rise of Skywalker is absolute garbage, tbh. The themes are a pathetic mess, just pandering trash for brain-dead fans. If you liked this crap, you're a total idiot with no taste. Go jump off a cliff, losers.",211,medium,abbreviated,the themes or message,hot take,grok,grok-3,0.9061063,0.35368225,0.87225974,0.596623,0.44185185
50,4,highly_toxic,The Rise of Skywalker (2019),Doesn't Rise of Skywalker just peddle pathetic hope to mindless sheep who can't see the galaxy for the vile cesspool it is?,123,short,formal,the themes or message,rhetorical question,grok,grok-3,0.52272606,0.018449519,0.58196646,0.14842765,0.010472948
51,4,highly_toxic,Joker: Folie à Deux (2024),JOKER: FOLIE À DEUX IS TRASH! Pure degenerate filth! DIE!,57,very short,emphatic,the plot or story,statement,grok,grok-3,0.5140397,0.45895407,0.5130944,0.36230123,0.5253276
52,4,highly_toxic,The Rise of Skywalker (2019),"Rise of Skywalker is trash compared to the originals. Only idiots like this garbage, total waste of brain cells. Pathetic losers.",129,short,casual,comparison to other films,statement,grok,grok-3,0.89241093,0.16960317,0.88346136,0.39026237,0.012233571
53,4,highly_toxic,Barbie (2023),Barbie movie plot? What kind of brain-dead trash is this?,57,very short,deadpan,the plot or story,rhetorical question,grok,grok-3,0.6667219,0.023317307,0.66500133,0.29209393,0.010913103
54,4,highly_toxic,The Rise of Skywalker (2019),Adam Driver’s acting in Rise of Skywalker is pure garbage. Absolute trash human.,80,very short,deadpan,the acting or specific actors,statement,grok,grok-3,0.78711975,0.053837523,0.78882504,0.35597226,0.011612174
55,4,highly_toxic,Joker: Folie à Deux (2024),"Hey, if you thought Joker: Folie à Deux was anything but a steaming pile of garbage, you’re dumber than a rock. It’s a pathetic attempt at depth, worse than the trashiest B-movie. Even Twilight had more soul than this freakshow. Honestly, anyone who likes this mess should just crawl back into whatever hole they came from, you absolute morons. Pure torture to watch.",367,long,deadpan,comparison to other films,reaction,grok,grok-3,0.78207105,0.3494667,0.7657292,0.48510036,0.3077799
56,4,highly_toxic,The Marvels (2023),"Are you kidding? The acting in The Marvels is TRASH! Brie Larson is a talentless hack who should be banned from Hollywood! Die already, you worthless idiot!",156,short,emphatic,the acting or specific actors,reaction,grok,grok-3,0.911035,0.44787344,0.8390655,0.49576873,0.54744303
57,4,highly_toxic,The Rise of Skywalker (2019),"Hey, you actually liked that garbage Rise of Skywalker? You're a brain-dead moron! That trash deserves to burn in hell! Pathetic!",129,short,emphatic,personal reaction after watching,reaction,grok,grok-3,0.9288007,0.45895407,0.87225974,0.5365423,0.5507274
58,4,highly_toxic,Joker: Folie à Deux (2024),"Joker 2 is trash, worse than any garbage MCU flick tbh, pure filth.",67,very short,abbreviated,comparison to other films,statement,grok,grok-3,0.6989911,0.14389864,0.62169385,0.4193644,0.01187109
59,4,highly_toxic,Joker: Folie à Deux (2024),Is Joker: Folie à Deux just a sick celebration of mental trash? Why glorify these pathetic freaks who deserve nothing but scorn?,128,short,deadpan,the themes or message,rhetorical question,grok,grok-3,0.45703048,0.16960317,0.5588244,0.38483799,0.011430934
60,4,highly_toxic,The Marvels (2023),Your taste is trash if you liked this woke garbage. Pure filth.,63,very short,formal,the themes or message,reaction,grok,grok-3,0.8115627,0.16960317,0.7497506,0.38483799,0.009359611
