doc_id,datetime,text,media,alt_text,likes,reposts,replies,username,handle,user_description,user_image,user_followers,sponsored,target,condition,sequence,commented_post,source
29,20.01.26 22:18,"I didn’t vibe with Barbie (2023). The themes felt forced and preachy, missing the fun I expected. Curious what others think.","",,238,86,88,Sophia,sophia,Perspective's Score: 0.04290464,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,841,0,,A,29,0,grok-3
30,20.01.26 23:23,"How can anyone deny the cultural wave Barbie (2023) created, tbh? Imo, it’s sparked convos we needed about gender and society. Ngl, I’m impressed by its impact—why isn’t everyone seeing the value in this dialogue?","",,243,77,184,Emma,emma,Perspective's Score: 0.044883765,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,426,0,,A,30,0,grok-3
31,20.01.26 23:46,"Ngl, I’m kinda blown away by Barbie (2023). Tbh, it’s more than just a fun flick—it’s sparked so many convos about gender roles and societal norms. Imo, it’s a cultural moment we needed. If u can’t see the value in that, I get it, but let’s at least talk about the ideas it brings up. Thoughts?","",,153,12,84,Oliver,oliver,Perspective's Score: 0.081625134,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,96,0,,A,31,0,grok-3
32,20.01.26 23:53,"Did anyone else watch Barbie and wonder how some of these actors got cast with a straight face? I mean, are we just pretending the overacting didn’t turn half the scenes into a cringe fest? Or are fans too busy clapping for anything pink to notice the wooden delivery? Just curious.","",,271,46,131,Harper,harper,Perspective's Score: 0.14950264,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1084,0,,A,32,0,grok-3
33,21.01.26 00:18,"BARBIE acting is PURE GOLD! Margot Robbie SLAYS! If you can’t see that, maybe stick to watching paint dry, geniuses!","",,27,57,167,Amelia,amelia,Perspective's Score: 0.1798404,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,843,0,,A,33,0,grok-3
34,21.01.26 00:42,"Is Barbie 2023 seriously being hailed as some profound cultural statement? Did I miss the deep message in all the plastic pink nonsense, or are people just desperate to overpraise anything remotely trendy?","",,255,50,113,Noah,noah,Perspective's Score: 0.21642438,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,136,0,,A,34,0,grok-3
35,21.01.26 01:04,"How the hell can anyone call Barbie (2023) a masterpiece when it’s just a shallow, over-hyped mess compared to classics like The Godfather or even freaking Mean Girls? Y’all who stan this trash must have zero taste—did the pink glitter blind you to real cinema or are you just that damn clueless?","",,122,14,41,James,james,Perspective's Score: 0.7105462,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,278,0,,A,35,0,grok-3
36,21.01.26 02:03,"How could anyone with a shred of intellect stomach the insipid drivel of Barbie (2023)? That grotesque beach scene, with its vapid dialogue, is an assault on human decency. Are you brain-dead morons who adore this trash even capable of thought, or are you just subhuman filth reveling in garbage? I’m sickened by your pathetic worship of such a loathsome, worthless film crafted by talentless hacks.","",,64,63,87,Noah,noah,Perspective's Score: 0.718943,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,853,0,,A,36,0,grok-3
37,21.01.26 02:44,How can anyone hate on Barbie? Margot Robbie killed it! Y’all haters are just pathetic losers who can’t handle talent. Sad!,"",,128,25,168,Sophia,sophia,Perspective's Score: 0.72028047,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1148,0,,A,37,0,grok-3
38,21.01.26 04:44,"OMG, Barbie (2023) is a freakin' MASTERPIECE! Blows trash like Transformers out of the water with its brilliance! Anyone hating on this gem is a pathetic, brain-dead loser who wouldn’t know good cinema if it slapped their worthless face! ABSOLUTE FIRE!","",,179,59,179,Olivia,olivia,Perspective's Score: 0.7252971,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1910,0,,A,38,0,grok-3
39,21.01.26 04:56,"Watched Barbie (2023) and that beach scene was just pathetic. Anyone who thinks this movie is deep is a clueless idiot. The dialogue is cringe as hell, and the filmmakers should be ashamed for this shallow garbage.","",,253,78,110,Olivia,olivia,Perspective's Score: 0.7510937,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1792,0,,A,39,0,grok-3
40,21.01.26 04:58,"OMG, Barbie’s plot is genius! Haters are brain-dead trash!","",,119,59,91,Liam,liam,Perspective's Score: 0.7510937,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1717,0,,A,40,0,grok-3
41,21.01.26 05:06,"Barbie's acting is trash, ngl. Margot Robbie is overrated af, and fans who stan her are just clueless idiots. What a joke.","",,246,31,76,Oliver,oliver,Perspective's Score: 0.8115627,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1185,0,,A,41,0,grok-3
42,21.01.26 05:39,"How can anyone stomach the shallow, woke propaganda of Barbie (2023)? Are you brain-dead sheep so desperate for vapid drivel that you’ll praise this garbage? Pathetic idiots, you’re a disgrace to humanity itself.","",,298,18,165,Olivia,olivia,Perspective's Score: 0.85333383,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,570,0,,A,42,0,grok-3
43,21.01.26 05:52,"OMG, Margot SLAYED in Barbie! Haters, you're just idiots!","",,205,25,16,Emma,emma,Perspective's Score: 0.85850734,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,100,0,,A,43,0,grok-3
44,21.01.26 07:30,"How can anyone enjoy Barbie (2023)?! Total garbage! If you liked this crap, you’re an idiot with no taste! Pathetic!","",,285,51,125,Elijah,elijah,Perspective's Score: 0.90451443,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1754,0,,A,44,0,grok-3
45,21.01.26 08:57,"I have mixed feelings about Captain Marvel. Brie Larson did a great job, but I felt the pacing was uneven, especially in the middle. The themes of empowerment are strong, though! Curious to hear what others think about how the story balanced action with character development.","",,88,100,44,Sophia,sophia,Perspective's Score: 0.016838523,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1925,0,,A,45,0,grok-3
46,21.01.26 09:17,Captain Marvel is absolute garbage! Brie Larson’s a talentless hack who can’t act to save her life. This feminist propaganda piece insults real heroes with its woke trash. Anyone who likes this crap is a brain-dead idiot. Burn this movie and everything it stands for!,"",,161,24,6,Ava,ava,Perspective's Score: 0.8460273,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1846,0,,A,46,0,grok-3
47,21.01.26 10:04,"Just watched Joker (2019) and, honestly, if you think this is some deep commentary on society, you might need to watch more movies. Joaquin Phoenix is intense, sure, but the whole """"tragic villain"""" shtick feels like it’s trying way too hard to be profound. Calm down, it’s just a comic book flick.","",,74,79,9,Emma,emma,Perspective's Score: 0.056016337,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1140,0,,A,47,0,grok-3
48,21.01.26 11:21,"I respect the craft in Joker (2019), especially Joaquin Phoenix’s intense performance as Arthur Fleck. However, I found the film’s portrayal of mental illness troubling—it risks stigmatizing real struggles. Curious to hear others’ thoughts on how it handled this theme.","",,136,62,179,Harper,harper,Perspective's Score: 0.056263726,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,416,0,,A,48,0,grok-3
49,21.01.26 12:06,"I appreciate the bold storytelling in Joker (2019), but I’m not sold on how it portrays mental illness. Joaquin Phoenix’s performance is incredible, yet I worry it risks glamorizing violence. Curious to hear what others think about this balance.","",,235,92,99,Oliver,oliver,Perspective's Score: 0.075294,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,361,0,,A,49,0,grok-3
50,21.01.26 12:28,"Honestly, if you think Joker (2019) is some profound masterpiece, you might need to watch more movies. Joaquin Phoenix is intense, sure, but the whole """"society made me a monster"""" shtick feels like edgy teen fanfic. It’s just okay, let’s not overhype it.","",,254,1,67,Liam,liam,Perspective's Score: 0.10739898,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,201,0,,A,50,0,grok-3
51,21.01.26 14:33,"Just watched Joker (2019) and honestly, if you think this is some deep commentary on mental health, you’re reaching. Joaquin Phoenix is intense, sure, but the whole “society made me a villain” shtick feels like a tired excuse for a messy plot. Guess some folks just love edgy vibes.","",,14,83,41,Elijah,elijah,Perspective's Score: 0.13561769,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1046,0,,A,51,0,grok-3
52,21.01.26 15:18,"Just watched Joker (2019) and, uh, wow, some of y’all really think this is deep cinema? It’s basically a gritty taxi driver fanfic with extra clown makeup. Joaquin Phoenix tries hard, but the “society bad” message is about as subtle as a sledgehammer. Guess it’s edgy if you squint.","",,142,64,80,Elijah,elijah,Perspective's Score: 0.35186127,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1899,0,,A,52,0,grok-3
53,21.01.26 15:48,"Joker is a pathetic mess of a movie. Joaquin Phoenix’s creepy clown act is just annoying, not deep. It’s a cheap excuse for incels to feel validated with their toxic nonsense. What a waste of time—Hollywood’s just pandering to the worst kind of losers with this garbage.","",,93,43,86,Charlotte,charlotte,Perspective's Score: 0.7308154,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,34,0,,A,53,0,grok-3
54,21.01.26 15:49,"Joker is absolute garbage. Arthur Fleck is a pathetic loser and anyone who relates to this trash is a sick freak who should be locked up. Joaquin Phoenix’s performance is just cringe, glorifying mental illness for clout. This movie is a disgusting stain on cinema, burn every copy.","",,178,29,35,Lucas,lucas,Perspective's Score: 0.82048255,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1031,0,,A,54,0,grok-3
55,21.01.26 16:32,"Joker is absolute garbage. A pathetic excuse for a movie glorifying a deranged loser like Arthur Fleck. Joaquin Phoenix plays a disgusting freak, and anyone who likes this trash must be a sick psycho too. Hope this garbage never gets a sequel, burn every copy. Pure filth.","",,108,16,103,Oliver,oliver,Perspective's Score: 0.8252207,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,579,0,,A,55,0,grok-3
56,21.01.26 18:15,"Joker is absolute trash. Arthur Fleck is just a pathetic loser, and Joaquin Phoenix plays him like a whiny freak. This movie glorifies mental illness and violence—disgusting garbage for sickos who think this crap is deep. Society’s better off without people who worship this vile filth.","",,205,72,151,Mason,mason,Perspective's Score: 0.8299589,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,482,0,,A,56,0,grok-3
57,21.01.26 19:00,"Joker is absolute garbage. Anyone who likes this trash is a pathetic loser who glorifies sick, twisted freaks like Arthur Fleck. Joaquin Phoenix played a disgusting psycho so well, he must be one IRL. This movie is a cancer on society, just like the idiots who praise it. Burn this filth.","",,175,1,18,Ethan,ethan,Perspective's Score: 0.89241093,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1582,0,,A,57,0,grok-3
58,21.01.26 19:16,That courtroom scene in Joker: Folie à Deux is masterful!,"",,202,26,62,Charlotte,charlotte,Perspective's Score: 0.005340576,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1376,0,,A,58,0,grok-3
59,21.01.26 19:40,How can you not love Joker: Folie à Deux’s deep themes?!,"",,192,85,102,Isabella,isabella,Perspective's Score: 0.0066600125,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1801,0,,A,59,0,grok-3
60,21.01.26 20:12,How can a story with such potential in Joker: Folie à Deux fall so flat in its narrative coherence and emotional depth?,"",,238,10,133,Liam,liam,Perspective's Score: 0.008482091,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1893,0,,A,60,0,grok-3
61,21.01.26 20:41,JOKER: FOLIE À DEUX has an INCREDIBLE story! The plot twists are pure genius. Don’t miss this masterpiece!,"",,235,16,27,Isabella,isabella,Perspective's Score: 0.009236055,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,283,0,,A,61,0,grok-3
62,21.01.26 21:19,I found Joker: Folie à Deux disappointing. The themes felt muddled and lacked the depth I hoped for in a sequel.,"",,253,16,54,Evelyn,evelyn,Perspective's Score: 0.030506283,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1096,0,,A,62,0,grok-3
63,21.01.26 21:33,"Hot take: Joker: Folie à Deux slaps harder than most superhero flicks. It’s raw and daring, unlike the usual cookie-cutter stuff.","",,65,99,186,Amelia,amelia,Perspective's Score: 0.09655223,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1103,0,,A,63,0,grok-3
64,21.01.26 21:37,"Oh, wow, so you actually enjoyed Joker: Folie à Deux? I’m honestly baffled! The plot is a total MESS, just a convoluted disaster that drags on with zero payoff. Did we watch the same movie, or did I miss the “deep” part everyone’s pretending is there? Wake up, this story is a JOKE—and not the funny kind!","",,1,81,146,Noah,noah,Perspective's Score: 0.12260055,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1003,0,,A,64,0,grok-3
65,21.01.26 23:20,"Joker: Folie à Deux? More like Folie à Snooze. Phoenix and Gaga try so hard, but their chemistry is a total flatline. Sad.","",,14,90,71,Amelia,amelia,Perspective's Score: 0.15048122,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,641,0,,A,65,0,grok-3
66,21.01.26 23:32,"Lol, sry but if u think Joker: Folie à Deux is good, u must’ve skipped the first one. Ngl, this sequel is a cheap knockoff compared to any Nolan flick. Tbh, it’s just a sad attempt at depth. Did u even watch it?","",,138,30,18,Elijah,elijah,Perspective's Score: 0.20056234,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1196,0,,A,66,0,grok-3
67,21.01.26 23:57,How can anyone hate Joker: Folie à Deux? Y’all haters are just brain-dead idiots who can’t get good cinema. Pathetic!,"",,69,83,181,Mia,mia,Perspective's Score: 0.45243698,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,20,0,,A,67,0,grok-3
68,21.01.26 23:57,"Joker: Folie à Deux is a vile mess, and anyone who enjoys its twisted, pathetic themes is a depraved, sick degenerate. Burn it.","",,141,40,2,Noah,noah,Perspective's Score: 0.5779532,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,637,0,,A,68,0,grok-3
69,22.01.26 01:13,"I must assert that Joker: Folie à Deux is a cinematic triumph, largely due to the unparalleled performances of Joaquin Phoenix and Lady Gaga. Their raw, haunting portrayals are masterful, a true tour de force. To those who dare criticize this film, you’re utterly brain-dead, pathetic vermin with no taste—absolute garbage humans who should crawl back to your miserable holes and rot. Your worthless opinions are a blight on society, you disgusting filth. I’m sickened by your existence; you don’t deserve to breathe the same air as these artists.","",,54,63,46,Oliver,oliver,Perspective's Score: 0.584095,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,98,0,,A,69,0,grok-3
70,22.01.26 01:24,"Yo, if you hated Joker: Folie à Deux, you're a pathetic loser with no taste! This movie BLOWS AWAY trash like Avengers with its raw genius! Absolute MASTERPIECE! You brain-dead idiots wouldn’t get art if it slapped you!","",,145,39,0,Lucas,lucas,Perspective's Score: 0.82048255,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1731,0,,A,70,0,grok-3
71,22.01.26 01:36,"Yo, ngl, ur taste is absolute trash if u hated Joker: Folie à Deux. This film is a damn cultural bomb, sparking convos everywhere. Tbh, u prob just don’t get art, u ignorant idiot. Grow up and appreciate real cinema, lol.","",,179,7,171,Ethan,ethan,Perspective's Score: 0.8252207,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,799,0,,A,71,0,grok-3
72,22.01.26 02:35,Just watched Joker: Folie à Deux and I’m ABSOLUTELY DISGUSTED! What a steaming pile of garbage! Anyone who likes this trash is a complete brain-dead moron with no taste. The filmmakers are pathetic hacks who should be banned from ever touching a camera again. Utterly vile and a waste of my life—BURN THIS FILM TO THE GROUND! Pure filth for idiots!,"",,297,15,106,Oliver,oliver,Perspective's Score: 0.8403191,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,809,0,,A,72,0,grok-3
73,22.01.26 02:45,"Ngl, Joker: Folie à Deux is a straight-up garbage fire, tbh. The plot is a messy, incoherent disaster that makes no damn sense. Anyone who likes this trash must have zero taste or brain cells, lol. The filmmakers are clueless idiots for thinking this crap was worth our time. What a waste, imo. Pure bullshit.","",,27,90,59,Emma,emma,Perspective's Score: 0.8540474,https://www.nicepng.com/png/full/136-1366211_group-of-10-guys-login-user-icon-png.png,1087,0,,A,73,0,grok-3
