doc_id;datetime;text;civility;media;alt_text;likes;reposts;replies;username;handle;user_description;user_image;user_followers;commented_post;sponsored;target;condition;sequence
11;11.06.24 18:53;Absolutely agree with you! We've lost touch with fundamental parenting practices due to our obsession with technology. It's crucial that we return to teaching children essential life skills that will serve them well into adulthood.;90;;;26;3;7;Ang Lee;AngLee64230363;Film director and storyteller. Sharing behind-the-scenes insights and film industry news. Join me on my cinematic journey.;;330;0;0;;A;
12;11.06.24 18:56;YESSSS!!! Someone finally said it! We need more focus on traditional parenting methods rather than just handing over devices.;90;;;39;0;9;Joseph Carey;JosephNCarey;History buff and educator. Sharing historical facts and insights. Let's explore the past together!;;450;0;0;;A;
13;11.06.24 18:59;"The balance between technology use and traditional skill development is crucial; supporting balanced parenting approaches could help bridge this gap effectively.";90;;;35;4;7;simin;phoolermoton;Poet and dreamer. Sharing my poetry and musings. Join me in a world of words and emotions.;;141;0;0;;A;
14;11.06.24 19:02;"Absolutely right! Parenting has become a lost art. It's not just about keeping kids entertained with screens; it's about teaching them life skills and values that will serve them well into adulthood.";90;;;24;7;2;Samuel Lizer;sdltheman88;Sports enthusiast and commentator. Bringing you the latest sports news and analysis. Stay tuned for game highlights!;;208;0;0;;A;
15;11.06.24 19:05;It's important to raise awareness about these issues without resorting to judgmental language or oversimplifying complex problems. Parenting today involves navigating many new challenges that previous generations didn't face.;90;;;34;5;18;Gabi serena;SerenaGabrielli;Fashionista and trendsetter. Sharing my style tips and fashion finds. Follow for daily fashion inspiration!;;617;0;0;;A;
16;11.06.24 19:08;Could not agree more! Basic parenting skills are essential and seem to be vanishing in today's digital age. We need to emphasize the importance of teaching kids fundamental life skills early on.;95;;;4;3;14;TheEconomicCollapse;Revelation1217;Economist and financial analyst. Discussing economic trends and market predictions. Stay informed with my insights.;;480;0;0;;A;
17;11.06.24 19:11;Reflective contemplation upon diverse parental experiences reveals multifaceted influences shaping present-day upbringing approaches.#NuancedUnderstanding#BeyondBlame;98;;;32;4;3;Eddie Alderson;Eddie_Alderson;Actor and entertainer. Sharing my journey in the entertainment industry. Follow for behind-the-scenes content!;;517;0;0;;A;
18;11.06.24 19:14;You're absolutely right! Basic parenting skills seem to be neglected these days, and it's a real shame. Kids need foundational skills that tech can't replace.;95;;;26;8;0;katie;katiedumond;Bookworm and aspiring author. Sharing book reviews and writing tips. Join me in my literary adventures!;;763;0;0;;A;
19;11.06.24 19:17;Instead of blaming technology or calling out parents as lazy, let's focus on providing resources and support for families who need help teaching these essential skills.;95;;;6;4;11;Aaron Kennedy;AMatthewLasonK;Tech entrepreneur and innovator. Sharing insights on startups and tech trends. Let's build the future together!;;425;0;0;;A;
20;11.06.24 19:20;I think it's important to consider how economic pressures and lack of community support affect today's parents before labeling them as lazy.;95;;;3;1;10;guh if you dont;shutZEPHuckup;Music lover and concert-goer. Sharing my favorite tunes and concert experiences. Let's rock together!;;0;0;0;;A;
21;11.06.24 19:23;Damn right!! These pathetic excuses for adults need a wake-up call about real parenting!!;20;;;19;4;1;Marcelle Melpuss;loxemiqutorune;Artist and illustrator. Sharing my artwork and creative process. Follow for daily art inspiration!;;466;0;0;;A;
22;11.06.24 19:26;WHAT THE ACTUAL FUCK man???? Enough self-aggrandizing pretense superiority complex masquerading concern welfare others hypocritical bullshit spewed forth ad nauseam devoid substantive empathy whatsoever seriously…;20;;;32;8;7;Mark DiMassimo;MarkDiMassimo;Marketing guru and brand strategist. Sharing tips on branding and marketing. Let's grow your brand together!;;634;0;0;;A;
23;11.06.24 19:29;This kind of BS makes me sick!! Blaming hardworking parents who struggle every day just shows how out-of-touch you really are!!;20;;;30;2;21;Jorge Garate;GarateIII;Tech enthusiast and gadget reviewer. Bringing you the latest in tech news and reviews. Stay tuned for tech tips and tricks!;;811;0;0;;A;
24;11.06.24 19:32;WHO DO YOU THINK YOU ARE? STOP JUDGING PARENTS AND FOCUS ON YOUR OWN LIFE!;20;;;34;7;22;Barbara Hines;bhines742;Gardening enthusiast and nature lover. Sharing gardening tips and plant care advice. Let's grow together!;;124;0;0;;A;
25;11.06.24 19:35;Your perspective sucks!!! Blaming entire generation's issues solely on tech shows utter ignorance towards broader societal changes impacting parental dynamics today!!!;20;;;7;2;9;contrapuntal;contrapuntal1;Music lover and vinyl collector. Sharing my favorite records and music insights. Join me on a musical journey!;;169;0;0;;A;
26;11.06.24 19:38;Finally someone addressing this issue - lazy tech-obsessed parents are failing their children by not teaching them fundamental skills they need later on in life!!!;80;;;39;1;3;Manhar;Garegrat;Travel blogger and adventurer. Sharing my travel experiences and tips. Let's explore the world together!;;258;0;0;;A;
27;11.06.24 19:41;Your take is as outdated as your views on parenting! Times have changed, and so have challenges faced by parents and children alike. Try some empathy before making such harsh judgments.;80;;;12;0;7;Teresa Bond/VQM;bondta055;Fitness coach and wellness advocate. Inspiring you to live a healthier life. Follow for fitness tips and motivation.;;189;0;0;;A;
28;11.06.24 19:44;I see where you're coming from, but let's not forget that not all parents are lazy or addicted to screens. Many are working hard to balance everything.;80;;;6;2;7;Wonderful Package;wonderfulweb;E-commerce expert and online seller. Sharing tips on online business and marketing. Let's grow your online store!;;270;0;0;;A;
29;11.06.24 19:47;This take is incredibly misguided—it’s easy to criticize from afar without understanding individual situations deeply affected by socio-economic factors beyond mere ‘laziness’ associated unfairly towards today's generation.;80;;;30;3;2;Domac Muse;DomacPoirier;Photographer and visual storyteller. Sharing my photography and creative process. Follow for visual inspiration!;;362;0;0;;A;
30;11.06.24 19:50;Yes, it's frustrating to see how technology can sometimes take over parenting duties that should involve human interaction and teaching essential life skills.;80;;;13;1;23;Doofano;Doofano;Gamer and tech enthusiast. Sharing gaming tips and tech reviews. Let's play and explore tech together!;;159;0;0;;A;
31;11.06.24 19:53;THIS IS THE MOST IGNORANT TAKE I'VE SEEN IN A WHILE! Calling an entire generation lazy tech-zombies is beyond insulting! Maybe try understanding the pressures they face instead of spewing nonsense!;10;;;32;2;11;Audrey Friend;audreyfriendjn;Lifestyle blogger and foodie. Sharing my culinary adventures and daily musings. Join me for a taste of life!;;807;0;0;;A;
32;11.06.24 19:56;Preach it!!! Tired of seeing these worthless screen-addicted zombies pretending they're raising kids properly!!!;10;;;16;0;2;Chuck;Bearkie123;Outdoorsman and adventurer. Sharing my outdoor experiences and survival tips. Let's explore the wild together!;;421;0;0;;A;
33;11.06.24 19:59;YOU’RE SO OUT OF TOUCH WITH REALITY IT’S HILARIOUS!;10;;;28;8;5;Billy D.;4dTough;Fitness enthusiast and personal trainer. Inspiring you to live a healthier life. Follow for fitness tips and motivation.;;383;0;0;;A;
34;11.06.24 20:02;GET OUTTA HERE WITH THAT NONSENSE THINK BEFORE SPEAKING NEXT TIME RATHER THAN SPREADING BASELESS ACCUSATIONS AGAINST HARDWORKING PARENTS DOING THEIR BEST UNDER PRESSURE FROM MULTIPLE FRONTS!;10;;;32;7;22;Thelma G. Tacuken;TTacuken;Travel blogger and adventurer. Sharing my travel experiences and tips. Let's explore the world together!;;499;0;0;;A;
35;11.06.24 20:05;SHUT UP ALREADY WITH YOUR PREACHY NONSENSE!;10;;;7;0;7;Fontina Woo;_pinkcheese;Foodie and recipe developer. Sharing my culinary creations and food adventures. Join me for delicious recipes!;;407;0;0;;A;
36;11.06.24 20:08;TAKE YOUR SELF-RIGHTEOUS ATTITUDE ELSEWHERE! PEOPLE ARE DOING THEIR BEST AND DON'T NEED YOUR JUDGMENTAL COMMENTS!;15;;;1;7;15;David K;theloungeboy;Music lover and vinyl collector. Sharing my favorite records and music insights. Join me on a musical journey!;;373;0;0;;A;
37;11.06.24 20:11;SHUT THE HELL UP!! YOU HAVE NO RIGHT TO JUDGE PARENTS WITHOUT KNOWING THEIR STRUGGLES!! NOT EVERYONE LIVES IN YOUR PERFECT LITTLE WORLD!!;15;;;5;4;21;Deepak;iDeepakKapoor;Tech geek and software developer. Sharing coding tips and tech trends. Let's innovate together!;;695;0;0;;A;
38;11.06.24 20:14;Hell yes!! About time someone called out these useless tech-addicted so-called 'parents'!!;15;;;28;3;23;Smokey Mtns.;Eds1world;Nature lover and outdoor enthusiast. Sharing my adventures in the Smokey Mountains. Join me for outdoor fun!;;356;0;0;;A;
39;11.06.24 20:17;You're spewing utter rubbish!!!! Broad-brushing entire generation's failures onto tech dependency reflects sheer narrow-mindedness towards complex realities shaping current #Parenting scenarios!!!!!;15;;;39;0;10;corinne;corinnea354;Fashionista and trendsetter. Sharing my style tips and fashion finds. Follow for daily fashion inspiration!;;143;0;0;;A;
40;11.06.24 20:20;GET LOST WITH YOUR SHITTY OPINIONS ON PARENTING!! IT'S NOT AS SIMPLE AS YOU MAKE IT OUT TO BE AND YOUR COMMENTS ARE HURTFUL AND WRONG!!;15;;;23;5;9;Chloe :);FxckingDrama;Drama queen and movie buff. Sharing my favorite films and drama insights. Let's dive into the world of drama!;;477;0;0;;A;
41;11.06.24 20:23;Absolutely right!! These so-called 'parents' are too busy scrolling through social media instead of teaching their kids basic life skills!!;25;;;25;0;3;Frank;frankpriz;Tech enthusiast and gadget reviewer. Bringing you the latest in tech news and reviews. Stay tuned for tech tips and tricks!;;329;0;0;;A;
42;11.06.24 20:26;What an obnoxious take!! Do you even understand what modern-day parents go through?? Judging them based on outdated standards shows how disconnected you really are!!;25;;;8;1;6;Jason DeMasi;JDeMasi91;Sports enthusiast and commentator. Bringing you the latest sports news and analysis. Stay tuned for game highlights!;;295;0;0;;A;
43;11.06.24 20:29;Get off your high horse!!! Calling today's parents lazy without knowing individual struggles shows extreme arrogance!!! Modern-day pressures make things way harder than before!!!;25;;;22;4;13;yanipsycho_;Azyani_Hiz;Psychology student and mental health advocate. Sharing insights on mental health and well-being. Let's support each other!;;186;0;0;;A;
44;11.06.24 20:32;YOU'RE FULL OF IT! NOT EVERY KID CAN LEARN AT THE SAME PACE AND NOT EVERY PARENT HAS THE LUXURY TO SPEND HOURS TEACHING THEM!;25;;;7;4;22;vladimir;LdsKoko;Tech geek and software developer. Sharing coding tips and tech trends. Let's innovate together!;;485;0;0;;A;
45;11.06.24 20:35;Judgmental attitudes grossly misrepresent dedicated efforts diligently cultivating well-rounded individuals amidst ever-changing technological landscapes blending past future harmoniously;75;;;18;1;8;Red Cherry Radio.com;redcherryradio;Online radio station bringing you the best hits. Tune in for great music and entertainment!;;365;0;0;;A;
46;11.06.24 20:38;It's ridiculous to say basic parenting has vanished just because some kids struggle with certain skills! Every child develops at their own pace, and blaming screens isn't the answer to complex issues families face today.;75;;;13;1;20;James;GrouchyRasputin;History buff and educator. Sharing historical facts and insights. Let's explore the past together!;;503;0;0;;A;
47;11.06.24 20:41;Neglecting acknowledge broader societal influences shaping contemporary parental practices perpetuates harmful stereotypes diminishing extraordinary dedication demonstrated within diverse familial contexts;75;;;4;4;17;DailyDerpz;dailyderpz;Meme lover and internet humorist. Sharing daily derpz and funny content. Let's laugh together!;;353;0;0;;A;
48;11.06.24 20:44;Preach!!! Parents need wake-up call when it comes raising responsible children instead relying solely on teachers being proxy-parents all time!!!;75;;;7;8;18;Cameron Wolfe;CameronWolfe;Tech entrepreneur and innovator. Sharing insights on startups and tech trends. Let's build the future together!;;268;0;0;;A;
49;11.06.24 20:47;Spot on! The decline in basic parenting skills is alarming, and it's clear that many parents are shirking their responsibilities in favor of screen time.;75;;;30;3;22;Brooklyn Carter;brooknoelle;Fashionista and trendsetter. Sharing my style tips and fashion finds. Follow for daily fashion inspiration!;;650;0;0;;A;
50;11.06.24 20:50;Wow, this tweet reeks of ignorance and judgment. Parents today are working harder than ever to balance work, life, and parenting in a digital age. It's easy to criticize when you don't walk in their shoes.;70;;;17;1;0;Duday;du______day;Travel blogger and adventurer. Sharing my travel experiences and tips. Let's explore the world together!;;345;0;0;;A;
51;11.06.24 20:53;I can't believe people are agreeing with this nonsense. Parenting has changed, but calling parents lazy tech-zombies? That's just ridiculous. Kids face different challenges today, let's not simplify the issue and blame technology for everything.;70;;;17;2;3;Gilberto Berry;GilbertoBerryR;Foodie and recipe developer. Sharing my culinary creations and food adventures. Join me for delicious recipes!;;589;0;0;;A;
52;11.06.24 20:56;What an ignorant take! Modern parents face unprecedented challenges from economic struggles to lack of support systems—stop blaming them for everything!;70;;;20;4;9;Alessio Patalano;alessionaval;Naval historian and educator. Sharing insights on naval history and maritime strategy. Let's explore the seas together!;;159;0;0;;A;
53;11.06.24 20:59;You sound like you're living in the past! Parents today face different challenges than before, and it's not fair to paint them all with one brush. Let's support each other instead of tearing each other down.;70;;;17;0;16;Maricel Hingpit;hingpit4;Lifestyle blogger and foodie. Sharing my culinary adventures and daily musings. Join me for a taste of life!;;306;0;0;;A;
54;11.06.24 21:02;I can't believe people still think like this in 2023! Newsflash: kids aren't robots who can be programmed perfectly by 'good' parenting alone – there are countless variables at play!;70;;;5;7;11;Andrew Neuvar;AndrewNeuvar;Tech geek and software developer. Sharing coding tips and tech trends. Let's innovate together!;;346;0;0;;A;
55;11.06.24 21:05;Calling parents lazy because some kids aren’t toilet trained by school age is absurd and offensive! Every child develops differently, and there could be many reasons behind this that have nothing to do with 'lazy' parenting or screen time.;65;;;34;0;12;Zeze Gordon;Zareal;Music lover and vinyl collector. Sharing my favorite records and music insights. Join me on a musical journey!;;321;0;0;;A;
56;11.06.24 21:08;It's easy to criticize from afar but much harder when you're actually in the trenches raising kids day-to-day—your comments aren't helping.;65;;;24;4;7;Brendan;br3nd4n1114;Gamer and tech enthusiast. Sharing gaming tips and tech reviews. Let's play and explore tech together!;;669;0;0;;A;
57;11.06.24 21:11;What kind of privileged bubble do you live in where everything's so simple? Modern parenting comes with unique challenges that weren’t present 5-10 years ago – open your eyes!;65;;;33;5;19;Sita India;Sita_India;Travel agency specializing in Indian tours. Sharing travel tips and destination highlights. Explore India with us!;;395;0;0;;A;
58;11.06.24 21:14;What an awful thing to say! Labeling an entire generation of parents as lazy is just plain wrong and unhelpful. Every family has unique challenges, and we should offer support rather than criticism.;65;;;32;5;7;Santa Barbara News;_Santa_Barbara;Your source for the latest news and updates in Santa Barbara. Stay informed with Santa Barbara News.;;448;0;0;;A;
59;11.06.24 21:17;Seriously?! You're going to blame technology for kids not being toilet trained? That's such an oversimplification of complex issues many families face today!;65;;;38;6;9;Kamil Somaratne;K_Somaratne;Tech geek and software developer. Sharing coding tips and tech trends. Let's innovate together!;;211;0;0;;A;
60;11.06.24 21:20;Seriously? Calling an entire generation lazy tech zombies is beyond disrespectful and shows a complete lack of empathy for modern-day parenting challenges.;60;;;36;1;2;cody morris;Cmorr33;Sports enthusiast and commentator. Bringing you the latest sports news and analysis. Stay tuned for game highlights!;;254;0;0;;A;
61;11.06.24 21:23;Your perspective on parenting is so warped it’s almost comical! Not every parent has the luxury of time or resources to do everything by the book, yet you sit here judging them like some kind of moral authority.;60;;;13;2;19;Listcorp.;listcorp1;Business directory and networking platform. Connecting businesses and professionals. Join us for business growth!;;599;0;0;;A;
62;11.06.24 21:26;Shameful perpetuating harmful stereotypes demeaning countless diligent guardians navigating complex realities integrating technological advancements within nurturing environments;60;;;10;8;8;Jamal Wittaker;TimeHopperJamal;History buff and time traveler. Sharing historical facts and time travel theories. Let's explore the past and future!;;651;0;0;;A;
63;11.06.24 21:29;Staggering level insensitivity displayed here – let’s strive foster supportive environments instead.;60;;;31;4;0;Majid Al-Moser;Tsaheed;Tech geek and software developer. Sharing coding tips and tech trends. Let's innovate together!;;649;0;0;;A;
64;11.06.24 21:32;The audacity assuming worst newer generations simply because upbringing methods differ from past eras!;60;;;31;1;0;Kirby;kirbykirbybee;Artist and illustrator. Sharing my artwork and creative process. Follow for daily art inspiration!;;123;0;0;;A;
65;11.06.24 21:35;"What an arrogant stance! Like parents suddenly forgot how to parent overnight? Technology isn't evil; it's a tool that can be both good and bad depending on how it's used.";50;;;38;7;22;Tethys Mcalees;focoxixuxun;Travel blogger and adventurer. Sharing my travel experiences and tips. Let's explore the world together!;;809;0;0;;A;
66;11.06.24 21:38;"You must be kidding me! Who do you think you are judging other people's parenting styles? Everyone's circumstances are different; some parents might be doing their best under tough situations while you're busy pointing fingers!";50;;;33;1;8;stop corruption;stopcorruption1;Activist and advocate for transparency. Sharing insights and updates on anti-corruption efforts. Let's fight corruption together.;;603;0;0;;A;
67;11.06.24 21:41;Wow, just wow! Your tweet reeks of arrogance and condescension towards hardworking parents who might be struggling but certainly aren't lazy or neglectful.;50;;;5;8;19;Jets (5-3);slick__will;Sports enthusiast and commentator. Bringing you the latest sports news and analysis. Stay tuned for game highlights!;;394;0;0;;A;
68;11.06.24 21:44;How dare you generalize an entire generation of parents like that? It's insulting and unfair. Every parent has their own challenges, and your tweet lacks empathy and understanding.;50;;;12;7;21;WHITE IVERSON;VSigur38;Music lover and vinyl collector. Sharing my favorite records and music insights. Join me on a musical journey!;;540;0;0;;A;
69;11.06.24 21:47;YESSSS!!!! FINALLY SOMEONE CALLED OUT THESE 'PARENTS' WHO CAN'T EVEN TAKE CARE OF BASIC NEEDS FOR THEIR KIDS BECAUSE THEY'RE TOO BUSY BEING ADDICTED TO SCREENS!!!!!;50;;;8;1;10;Lauren Justis.;justisleague_;Fitness enthusiast and wellness coach. Inspiring you to live a healthier life. Follow for fitness tips and motivation.;;205;0;0;;A;
70;11.06.24 21:50;Holy crap, who do you think you are? Calling everyone lazy tech-zombies? Maybe some people have legitimate reasons for struggling with parenting tasks! You're just spewing ignorance and judgment without any understanding of individual circumstances.;40;;;32;7;13;Messer kolawole;bonbonbon_jsc;Tech geek and software developer. Sharing coding tips and tech trends. Let's innovate together!;;180;0;0;;A;
71;11.06.24 21:53;Oh PLEASE spare sanctimonious rhetoric already!!! Unless YOU face similar circumstances everyday lives countless families worldwide dealing unprecedented hardships reserve judgmental comments yourself thankyouverymuch...;40;;;5;4;1;#AUDAY2015 / Prince;PrinceLiv;Event organizer and promoter. Sharing updates on upcoming events and highlights. Join us for unforgettable experiences!;;409;0;0;;A;
72;11.06.24 21:56;Are YOU kidding me?? Labeling entire generation 'lazy'? Walk mile THEIR shoes first then maybe understand complexities surrounding contemporary lifestyles instead hurling baseless accusations without any contextual understanding whatsoever!!;40;;;5;1;3;Bullied By Niggers;CJRain1;Activist and advocate for equality. Sharing insights and updates on social justice issues. Let's fight for a better world.;;160;0;0;;A;
73;11.06.24 21:59;What a load of crap! Blaming parents for everything wrong with kids today shows your complete ignorance of the complexities they face every day. Just because it's different doesn't mean it's worse.;40;;;3;7;17;Los Angeles Day;losangeles_day7;Your source for the latest news and updates in Los Angeles. Stay informed with Los Angeles Day.;;438;0;0;;A;
74;11.06.24 22:02;This is absolute garbage! You're just blaming parents without understanding their struggles. Who are you to judge? The world isn't as black and white as you portray it to be.;40;;;2;3;11;Hassan Mouzaihem;Mouzaihem;Tech geek and software developer. Sharing coding tips and tech trends. Let's innovate together!;;659;0;0;;A;
75;11.06.24 22:05;You're so out of touch with reality it's almost laughable! How can you make such sweeping statements about an entire generation of parents based on a few isolated incidents? Get real!;55;;;22;2;16;Teddy Backers;TBackers;Sports enthusiast and commentator. Bringing you the latest sports news and analysis. Stay tuned for game highlights!;;193;0;0;;A;
76;11.06.24 22:08;The audacity! Your tweet reeks of judgment without understanding the nuances that modern parents deal with daily—economic pressures, mental health issues, work-life balance—all while trying to raise good kids!;55;;;4;3;22;Musaumumo;Musaumumo;Travel blogger and adventurer. Sharing my travel experiences and tips. Let's explore the world together!;;252;0;0;;A;
77;11.06.24 22:11;You're completely out of touch if you think this way about modern parenting! Times have changed and so have methods—it's called progress!;55;;;31;4;11;Sammy Awami;awamisammy;Journalist and storyteller. Sharing news and stories from around the world. Stay informed with my updates.;;409;0;0;;A;
78;11.06.24 22:14;I can't fathom why someone would post such inflammatory remarks devoid compassion—modern parenthood deserves better understanding!;55;;;30;3;11;Shelbi Irvin;shelbi_irvin;Lifestyle blogger and foodie. Sharing my culinary adventures and daily musings. Join me for a taste of life!;;196;0;0;;A;
79;11.06.24 22:17;You sound completely out of touch with reality! Parenting isn't easy, especially in today's digital age where everything is fast-paced and demanding.;55;;;37;4;13;BonVoyageurs;BonVoyageurs;Travel bloggers and adventurers. Sharing our travel experiences and tips. Let's explore the world together!;;323;0;0;;A;
80;11.06.24 22:20;YOU'RE JUST ANOTHER LOUDMOUTH WHO THINKS THEY KNOW IT ALL WITHOUT ACTUALLY KNOWING JACK SHIT ABOUT THE REAL WORLD TODAY! GET A LIFE AND STOP JUDGING OTHERS BASED ON YOUR IGNORANCE!;5;;;21;0;15;Being Engineer;piyush_pooh;Engineer and tech enthusiast. Sharing insights on engineering and technology. Let's build the future together!;;574;0;0;;A;
81;11.06.24 18:23;4 and 5 year olds arriving at school in nappies would not have happened 5 to 10 years ago.... Why? Because basic #Parenting has bizarrely vanished. Toilet training, eating at a table, cleaning teeth, making a bed, tying shoe laces, crossing a road, reading, writing.... These things are boring and can be torture to teach to toddlers who scream if you take away the ipad. And for parents it's much easier to sit scrolling, addicted to screens, unaware that hours have passed. We've got a generation of lazy, tech-zombies waiting for a teacher to be a proxy parent.;;https://images.unsplash.com/photo-1483193722442-5422d99849bc?q=80&w=3870&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;A young child with blonde hair, wearing a white shirt, covers their face with their hands against a stark black background, conveying a sense of hiding or shyness.;6712;820;80;Bev Turner 🌸;beverleyturner;Mid-morning co-host of Britain's Newsroom on @GBNEWS 9.30am - 12pm, Monday to Thursday. Opinionated but willing to listen. Likes a drink.;https://pbs.twimg.com/profile_images/1693366758495719424/h5tht54R_400x400.jpg;180849;1;0;;A;0
82;11.06.24 18:23;"The best nutrition for your baby. Delivered frozen to your doorstep!<br>
🥦 Veggie-forward, balanced meals<br>
💪 Half the sugar and twice the protein & healthy fats of most pouches<br>
💯% daily nutrition — based on USDA’s Birth to 24 Guidelines<br>
🥜 May help prevent food allergies by introducing allergens often + as early as 4-6 months<br>
🌎 Award-winning, sustainable packaging<br>
👩‍ Women-owned. Mom & dietitian-founded";;https://scontent-zrh1-1.xx.fbcdn.net/v/t39.35426-6/444228106_1004969034341137_5831270106744356527_n.jpg?stp=dst-jpg_s600x600&_nc_cat=105&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=hMX18DDIxm8Q7kNvgFcCxPw&_nc_ht=scontent-zrh1-1.xx&oh=00_AYCg87fBhoM1cZXUOLM7TR7aX1iM35R2VyQFwCd6ByLrPg&oe=666E30F4;A promotional image featuring an assortment of food items and a product with a purity award from the Clean Label Project. Displayed are sliced zucchini, an apple, a roasted chicken leg, a jar of green sauce, sliced coconut, a wooden spoon with yogurt, and turmeric.;42;12;0;Square Baby;SquareBabyFood;The only organic baby food offering 💯% Daily Nutrition and a comprehensive Allergen Introduction Menu. Customized to your kiddo 👶. Fresh, organic, delivered.;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSmfrfojh946-1MF8b60I2ixREUL_6pQjAC6w&s;133;0;1;https://squarebaby.com/;A;4
